date,doy,ndvi_mean
2019-01-01,1,0.3234
2019-01-14,14,0.1751
2019-01-16,16,0.4015
2019-01-19,19,0.2166
2019-02-08,39,0.2847
2019-02-10,41,0.4494
2019-02-13,44,0.0508
2019-02-15,46,0.4643
2019-02-20,51,0.4678
2019-03-02,61,0.4928
2019-03-05,64,0.4938
2019-03-10,69,0.4693
2019-03-12,71,0.4392
2019-03-17,76,0.3674
2019-03-25,84,0.3392
2019-03-30,89,0.336
2019-04-06,96,0.3605
2019-04-11,101,0.3116
2019-04-14,104,0.3258
2019-04-16,106,0.309
2019-04-26,116,0.2777
2019-04-29,119,0.2493
2019-05-01,121,0.2344
2019-05-09,129,0.2055
2019-05-11,131,0.177
2019-05-16,136,0.1899
2019-05-31,151,0.1348
2019-06-03,154,0.1506
2019-06-05,156,0.1484
2019-06-13,164,0.1431
2019-06-15,166,0.1392
2019-06-18,169,0.1481
2019-06-23,174,0.1441
2019-06-25,176,0.1423
2019-06-28,179,0.1467
2019-06-30,181,0.1493
2019-07-03,184,0.1605
2019-07-05,186,0.1569
2019-07-10,191,0.1631
2019-07-13,194,0.185
2019-07-15,196,0.1218
2019-07-18,199,0.1836
2019-07-20,201,0.1888
2019-07-23,204,0.2018
2019-07-25,206,0.1885
2019-07-28,209,0.202
2019-07-30,211,0.1873
2019-08-04,216,0.1925
2019-08-07,219,0.1764
2019-08-09,221,0.1863
2019-08-12,224,0.2007
2019-08-14,226,0.1562
2019-08-17,229,0.1812
2019-08-19,231,0.1507
2019-08-22,234,0.1778
2019-08-24,236,0.1631
2019-08-27,239,0.1773
2019-09-06,249,0.1803
2019-09-08,251,0.1746
2019-09-13,256,0.2091
2019-09-16,259,0.2504
2019-09-21,264,0.2848
2019-09-23,266,0.2799
2019-09-28,271,0.4308
2019-10-01,274,0.456
2019-10-06,279,0.4373
2019-10-11,284,0.3279
2019-10-16,289,0.4704
2019-10-18,291,0.4227
2019-10-26,299,0.2472
2019-10-31,304,0.2098
2019-11-02,306,0.273
2019-11-05,309,0.2606
2019-11-07,311,0.311
2019-11-20,324,0.2814
2019-11-27,331,0.2891
2019-11-30,334,0.2689
2019-12-02,336,0.2677
2019-12-05,339,0.3381
2019-12-07,341,0.3213
2019-12-12,346,0.3128
2019-12-22,356,0.3251
2019-12-25,359,0.3164
2019-12-27,361,0.3215
2020-01-06,6,0.3569
2020-01-09,9,0.4129
2020-01-11,11,0.3612
2020-01-14,14,0.4455
2020-01-16,16,0.4455
2020-01-19,19,0.4284
2020-01-24,24,0.3799
2020-01-29,29,0.461
2020-02-08,39,0.5049
2020-02-10,41,0.5147
2020-02-23,54,0.4943
2020-02-25,56,0.4609
2020-02-28,59,0.3818
2020-03-01,61,0.3508
2020-03-14,74,0.2477
2020-03-16,76,0.3488
2020-04-05,96,0.4233
2020-04-08,99,0.3964
2020-04-10,101,0.261
2020-04-18,109,0.3739
2020-04-23,114,0.4095
2020-04-30,121,0.3932
2020-05-03,124,0.3407
2020-05-05,126,0.3661
2020-05-08,129,0.3639
2020-05-10,131,0.3536
2020-05-20,141,0.2255
2020-05-23,144,0.2566
2020-05-25,146,0.2355
2020-05-28,149,0.2357
2020-06-02,154,0.2247
2020-06-04,156,0.2108
2020-06-07,159,0.2143
2020-06-12,164,0.238
2020-06-14,166,0.2257
2020-06-17,169,0.2387
2020-06-22,174,0.2397
2020-06-24,176,0.2192
2020-06-29,181,0.2164
2020-07-02,184,0.2277
2020-07-04,186,0.2082
2020-07-07,189,0.2204
2020-07-09,191,0.2207
2020-07-12,194,0.2102
2020-07-14,196,0.2053
2020-07-19,201,0.092
2020-07-22,204,0.2426
2020-07-24,206,0.2062
2020-07-27,209,0.2353
2020-07-29,211,0.2302
2020-08-01,214,0.2265
2020-08-03,216,0.2089
2020-08-06,219,0.2271
2020-08-08,221,0.2294
2020-08-11,224,0.2394
2020-08-13,226,0.2186
2020-08-16,229,0.2249
2020-08-18,231,0.2144
2020-08-21,234,0.2068
2020-08-23,236,0.2188
2020-08-26,239,0.2375
2020-08-28,241,0.2339
2020-09-07,251,0.1792
2020-09-15,259,0.2493
2020-09-17,261,0.2452
2020-09-25,269,0.0341
2020-09-27,271,0.1322
2020-09-30,274,0.2992
2020-10-02,276,0.3275
2020-10-10,284,0.3398
2020-10-15,289,0.3
2020-10-17,291,0.3504
2020-10-20,294,0.3382
2020-10-22,296,0.3285
2020-10-25,299,0.3126
2020-10-30,304,0.3247
2020-11-01,306,0.3433
2020-11-06,311,0.3051
2020-11-09,314,0.3477
2020-11-11,316,0.3463
2020-11-14,319,0.3608
2020-11-26,331,0.4358
2020-12-01,336,0.4452
2020-12-04,339,0.4627
2020-12-14,349,0.4895
2020-12-16,351,0.5122
2020-12-24,359,0.5875
2020-12-29,364,0.6027
2020-12-31,366,0.5974
2021-01-03,3,0.5885
2021-01-08,8,0.4557
2021-01-15,15,0.6243
2021-01-20,20,0.6603
2021-01-30,30,0.6932
2021-02-02,33,0.7123
2021-02-09,40,0.7092
2021-02-12,43,0.7547
2021-02-17,48,0.7547
2021-02-19,50,0.7485
2021-02-24,55,0.7503
2021-02-27,58,0.5853
2021-03-01,60,0.7142
2021-03-06,65,0.5715
2021-03-11,70,0.5476
2021-03-14,73,0.5425
2021-03-26,85,0.579
2021-03-29,88,0.5658
2021-03-31,90,0.5428
2021-04-03,93,0.534
2021-04-13,103,0.5205
2021-04-25,115,0.5259
2021-04-28,118,0.5067
2021-05-08,128,0.468
2021-05-10,130,0.4095
2021-05-13,133,0.4339
2021-05-15,135,0.4016
2021-05-18,138,0.3855
2021-05-20,140,0.346
2021-05-23,143,0.3302
2021-05-25,145,0.3144
2021-05-30,150,0.338
2021-06-04,155,0.3415
2021-06-07,158,0.3057
2021-06-09,160,0.3373
2021-06-12,163,0.3542
2021-06-14,165,0.338
2021-06-19,170,0.3198
2021-06-22,173,0.2577
2021-07-02,183,0.2915
2021-07-04,185,0.2835
2021-07-07,188,0.3311
2021-07-09,190,0.2517
2021-07-12,193,0.3022
2021-07-14,195,0.3076
2021-07-19,200,0.2775
2021-07-22,203,0.3319
2021-07-24,205,0.3304
2021-07-29,210,0.3019
2021-08-01,213,0.3201
2021-08-03,215,0.2739
2021-08-06,218,0.3325
2021-08-08,220,0.2589
2021-08-13,225,0.256
2021-08-16,228,0.3408
2021-08-18,230,0.3029
2021-08-21,233,0.327
2021-08-23,235,0.3156
2021-08-26,238,0.2068
2021-08-28,240,0.3395
2021-08-31,243,0.2737
2021-09-05,248,0.324
2021-09-07,250,0.0892
