date,doy,ndvi_mean
2019-01-01,1,0.7429
2019-01-14,14,0.4274
2019-01-16,16,0.711
2019-01-19,19,0.6313
2019-02-08,39,0.3143
2019-02-10,41,0.6885
2019-02-13,44,0.2936
2019-02-15,46,0.6546
2019-02-20,51,0.6333
2019-03-02,61,0.5835
2019-03-05,64,0.5757
2019-03-10,69,0.5571
2019-03-12,71,0.4873
2019-03-17,76,0.5455
2019-03-25,84,0.5714
2019-03-30,89,0.5413
2019-04-06,96,0.5851
2019-04-11,101,0.4763
2019-04-14,104,0.5405
2019-04-16,106,0.5282
2019-04-26,116,0.3904
2019-04-29,119,0.5153
2019-05-01,121,0.5109
2019-05-09,129,0.4991
2019-05-11,131,0.4932
2019-05-16,136,0.5233
2019-05-31,151,0.155
2019-06-03,154,0.5603
2019-06-05,156,0.5162
2019-06-13,164,0.5057
2019-06-15,166,0.4269
2019-06-18,169,0.5206
2019-06-23,174,0.4368
2019-06-25,176,0.4756
2019-06-28,179,0.4957
2019-06-30,181,0.4747
2019-07-03,184,0.5095
2019-07-05,186,0.4802
2019-07-10,191,0.414
2019-07-13,194,0.4538
2019-07-15,196,0.4423
2019-07-18,199,0.4546
2019-07-20,201,0.4718
2019-07-23,204,0.4893
2019-07-25,206,0.4581
2019-07-28,209,0.4761
2019-07-30,211,0.4349
2019-08-04,216,0.4197
2019-08-07,219,0.3999
2019-08-09,221,0.441
2019-08-12,224,0.4845
2019-08-14,226,0.4325
2019-08-17,229,0.4858
2019-08-19,231,0.4445
2019-08-22,234,0.4917
2019-08-24,236,0.4635
2019-08-27,239,0.5053
2019-09-06,249,0.4214
2019-09-08,251,0.5326
2019-09-13,256,0.5472
2019-09-16,259,0.5596
2019-09-21,264,0.5042
2019-09-23,266,0.3874
2019-09-28,271,0.6595
2019-10-01,274,0.627
2019-10-06,279,0.5994
2019-10-11,284,0.2929
2019-10-16,289,0.4919
2019-10-18,291,0.6681
2019-10-26,299,0.5834
2019-10-31,304,0.6643
2019-11-02,306,0.7749
2019-11-05,309,0.6949
2019-11-07,311,0.7753
2019-11-20,324,0.7786
2019-11-27,331,0.8016
2019-11-30,334,0.6384
2019-12-02,336,0.6621
2019-12-05,339,0.7938
2019-12-07,341,0.7909
2019-12-12,346,0.8058
2019-12-22,356,0.7437
2019-12-25,359,0.7983
2019-12-27,361,0.5143
2020-01-06,6,0.105
2020-01-09,9,0.3581
2020-01-11,11,0.594
2020-01-14,14,0.7564
2020-01-16,16,0.7615
2020-01-19,19,0.7377
2020-01-24,24,0.5412
2020-01-29,29,0.7135
2020-02-08,39,0.6511
2020-02-10,41,0.6753
2020-02-23,54,0.5982
2020-02-25,56,0.6317
2020-02-28,59,0.5822
2020-03-01,61,0.5936
2020-03-14,74,0.3197
2020-03-16,76,0.5593
2020-04-05,96,0.5651
2020-04-08,99,0.5666
2020-04-10,101,0.2824
2020-04-18,109,0.5534
2020-04-23,114,0.2814
2020-04-30,121,0.6257
2020-05-03,124,0.5968
2020-05-05,126,0.5836
2020-05-08,129,0.5638
2020-05-10,131,0.5639
2020-05-20,141,0.4932
2020-05-23,144,0.5829
2020-05-25,146,0.5604
2020-05-28,149,0.5644
2020-06-02,154,0.544
2020-06-04,156,0.5151
2020-06-07,159,0.4793
2020-06-12,164,0.5357
2020-06-14,166,0.5134
2020-06-17,169,0.5172
2020-06-22,174,0.1419
2020-06-24,176,0.5225
2020-06-29,181,0.5187
2020-07-02,184,0.5198
2020-07-04,186,0.3063
2020-07-07,189,0.5061
2020-07-09,191,0.5157
2020-07-12,194,0.4806
2020-07-14,196,0.488
2020-07-19,201,0.4751
2020-07-22,204,0.5258
2020-07-24,206,0.4719
2020-07-27,209,0.5147
2020-07-29,211,0.5077
2020-08-01,214,0.4848
2020-08-03,216,0.451
2020-08-06,219,0.4726
2020-08-08,221,0.4286
2020-08-11,224,0.513
2020-08-13,226,0.4629
2020-08-16,229,0.4571
2020-08-18,231,0.488
2020-08-21,234,0.4537
2020-08-23,236,0.5401
2020-08-26,239,0.5452
2020-08-28,241,0.5495
2020-09-07,251,0.5452
2020-09-15,259,0.4823
2020-09-17,261,0.5369
2020-09-25,269,0.0231
2020-09-27,271,0.4555
2020-09-30,274,0.559
2020-10-02,276,0.6452
2020-10-10,284,0.6673
2020-10-15,289,0.5809
2020-10-17,291,0.7222
2020-10-20,294,0.6877
2020-10-22,296,0.6956
2020-10-25,299,0.667
2020-10-30,304,0.5114
2020-11-01,306,0.7625
2020-11-06,311,0.3261
2020-11-09,314,0.6782
2020-11-11,316,0.7011
2020-11-14,319,0.7109
2020-11-26,331,0.848
2020-12-01,336,0.8271
2020-12-04,339,0.8177
2020-12-14,349,0.8031
2020-12-16,351,0.8191
2020-12-24,359,0.8302
2020-12-29,364,0.8226
2020-12-31,366,0.8045
2021-01-03,3,0.7773
2021-01-08,8,0.5281
2021-01-15,15,0.7672
2021-01-20,20,0.7786
2021-01-30,30,0.7514
2021-02-02,33,0.7157
2021-02-09,40,0.7226
2021-02-12,43,0.708
2021-02-17,48,0.6931
2021-02-19,50,0.6878
2021-02-24,55,0.6613
2021-02-27,58,0.5863
2021-03-01,60,0.6675
2021-03-06,65,0.5953
2021-03-11,70,0.6466
2021-03-14,73,0.5718
2021-03-26,85,0.6515
2021-03-29,88,0.6124
2021-03-31,90,0.6273
2021-04-03,93,0.5786
2021-04-13,103,0.548
2021-04-25,115,0.5965
2021-04-28,118,0.5814
2021-05-08,128,0.6229
2021-05-10,130,0.5576
2021-05-13,133,0.6132
2021-05-15,135,0.6065
2021-05-18,138,0.5649
2021-05-20,140,0.5305
