date,doy,ndvi_mean
2019-01-01,1,0.6657
2019-01-14,14,0.3905
2019-01-16,16,0.6928
2019-01-19,19,0.5561
2019-02-08,39,0.2619
2019-02-10,41,0.7003
2019-02-13,44,0.3553
2019-02-15,46,0.6789
2019-02-20,51,0.6552
2019-03-02,61,0.615
2019-03-05,64,0.6244
2019-03-10,69,0.604
2019-03-12,71,0.3351
2019-03-17,76,0.5578
2019-03-25,84,0.5617
2019-03-30,89,0.5142
2019-04-06,96,0.5522
2019-04-11,101,0.4441
2019-04-14,104,0.5038
2019-04-16,106,0.4942
2019-04-26,116,0.4061
2019-04-29,119,0.4761
2019-05-01,121,0.4688
2019-05-09,129,0.4533
2019-05-11,131,0.4489
2019-05-16,136,0.4719
2019-05-31,151,0.4335
2019-06-03,154,0.4822
2019-06-05,156,0.4474
2019-06-13,164,0.4278
2019-06-15,166,0.36
2019-06-18,169,0.43
2019-06-23,174,0.3622
2019-06-25,176,0.3869
2019-06-28,179,0.4016
2019-06-30,181,0.3828
2019-07-03,184,0.4169
2019-07-05,186,0.3941
2019-07-10,191,0.3439
2019-07-13,194,0.3821
2019-07-15,196,0.3113
2019-07-18,199,0.3772
2019-07-20,201,0.3899
2019-07-23,204,0.4052
2019-07-25,206,0.3768
2019-07-28,209,0.3975
2019-07-30,211,0.3595
2019-08-04,216,0.3557
2019-08-07,219,0.3395
2019-08-09,221,0.3653
2019-08-12,224,0.4103
2019-08-14,226,0.3613
2019-08-17,229,0.411
2019-08-19,231,0.368
2019-08-22,234,0.4187
2019-08-24,236,0.3871
2019-08-27,239,0.4364
2019-09-06,249,0.3879
2019-09-08,251,0.4403
2019-09-13,256,0.4599
2019-09-16,259,0.4718
2019-09-21,264,0.418
2019-09-23,266,0.2709
2019-09-28,271,0.554
2019-10-01,274,0.5342
2019-10-06,279,0.5046
2019-10-11,284,0.3943
2019-10-16,289,0.5481
2019-10-18,291,0.5806
2019-10-26,299,0.4649
2019-10-31,304,0.6144
2019-11-02,306,0.703
2019-11-05,309,0.6024
2019-11-07,311,0.7126
2019-11-20,324,0.7164
2019-11-27,331,0.7535
2019-11-30,334,0.568
2019-12-02,336,0.6601
2019-12-05,339,0.7504
2019-12-07,341,0.7521
2019-12-12,346,0.7704
2019-12-22,356,0.7459
2019-12-25,359,0.7636
2019-12-27,361,0.4725
2020-01-06,6,0.3401
2020-01-09,9,0.5573
2020-01-11,11,0.2054
2020-01-14,14,0.738
2020-01-16,16,0.7056
2020-01-19,19,0.7248
2020-01-24,24,0.522
2020-01-29,29,0.7042
2020-02-08,39,0.651
2020-02-10,41,0.6653
2020-02-23,54,0.6183
2020-02-25,56,0.6147
2020-02-28,59,0.5679
2020-03-01,61,0.5758
2020-03-14,74,0.4639
2020-03-16,76,0.5132
2020-04-05,96,0.5511
2020-04-08,99,0.5557
2020-04-10,101,0.4578
2020-04-18,109,0.5217
2020-04-23,114,0.0713
2020-04-30,121,0.5886
2020-05-03,124,0.5257
2020-05-05,126,0.5096
2020-05-08,129,0.4989
2020-05-10,131,0.4851
2020-05-20,141,0.4836
2020-05-23,144,0.4821
2020-05-25,146,0.4746
2020-05-28,149,0.4688
2020-06-02,154,0.4475
2020-06-04,156,0.4297
2020-06-07,159,0.3957
2020-06-12,164,0.4419
2020-06-14,166,0.4149
2020-06-17,169,0.4104
2020-06-22,174,0.3977
2020-06-24,176,0.4213
2020-06-29,181,0.4196
2020-07-02,184,0.4274
2020-07-04,186,0.3753
2020-07-07,189,0.4139
2020-07-09,191,0.4162
2020-07-12,194,0.393
2020-07-14,196,0.3928
2020-07-19,201,0.3986
2020-07-22,204,0.4332
2020-07-24,206,0.3848
2020-07-27,209,0.4261
2020-07-29,211,0.4166
2020-08-01,214,0.403
2020-08-03,216,0.37
2020-08-06,219,0.4256
2020-08-08,221,0.4181
2020-08-11,224,0.423
2020-08-13,226,0.3843
2020-08-16,229,0.399
2020-08-18,231,0.3987
2020-08-21,234,0.3765
2020-08-23,236,0.4366
2020-08-26,239,0.4448
2020-08-28,241,0.4451
2020-09-07,251,0.4962
2020-09-15,259,0.1005
2020-09-17,261,0.4329
2020-09-25,269,0.0203
2020-09-27,271,0.1348
2020-09-30,274,0.4501
2020-10-02,276,0.5206
2020-10-10,284,0.5315
2020-10-15,289,0.4599
2020-10-17,291,0.5752
2020-10-20,294,0.5491
2020-10-22,296,0.5666
2020-10-25,299,0.5646
2020-10-30,304,0.4201
2020-11-01,306,0.6221
2020-11-06,311,0.4765
2020-11-09,314,0.5676
2020-11-11,316,0.5965
2020-11-14,319,0.5926
2020-11-26,331,0.7438
2020-12-01,336,0.7276
2020-12-04,339,0.72
2020-12-14,349,0.7211
2020-12-16,351,0.7402
2020-12-24,359,0.7547
2020-12-29,364,0.7568
2020-12-31,366,0.7392
2021-01-03,3,0.7149
2021-01-08,8,0.487
2021-01-15,15,0.7159
2021-01-20,20,0.7335
2021-01-30,30,0.7085
2021-02-02,33,0.6735
2021-02-09,40,0.6641
2021-02-12,43,0.6624
2021-02-17,48,0.6456
2021-02-19,50,0.647
2021-02-24,55,0.6078
2021-02-27,58,0.4938
2021-03-01,60,0.6049
2021-03-06,65,0.5365
2021-03-11,70,0.5653
2021-03-14,73,0.5368
2021-03-26,85,0.5638
2021-03-29,88,0.5363
2021-03-31,90,0.5422
2021-04-03,93,0.5177
2021-04-13,103,0.5217
2021-04-25,115,0.5455
2021-04-28,118,0.5335
2021-05-08,128,0.5645
2021-05-10,130,0.4968
2021-05-13,133,0.5419
2021-05-15,135,0.5237
2021-05-18,138,0.491
2021-05-20,140,0.463
2021-05-23,143,0.4294
2021-05-25,145,0.4562
2021-05-30,150,0.4536
2021-06-04,155,0.4567
2021-06-07,158,0.1364
2021-06-09,160,0.4372
2021-06-12,163,0.4784
2021-06-14,165,0.4246
2021-06-19,170,0.4032
2021-06-22,173,0.3256
2021-07-02,183,0.3582
2021-07-04,185,0.3616
2021-07-07,188,0.412
2021-07-09,190,0.3281
2021-07-12,193,0.3738
2021-07-14,195,0.3979
2021-07-19,200,0.2996
2021-07-22,203,0.42
2021-07-24,205,0.4173
2021-07-29,210,0.3828
2021-08-01,213,0.4082
2021-08-03,215,0.3644
2021-08-06,218,0.4278
2021-08-08,220,0.3414
2021-08-13,225,0.3379
2021-08-16,228,0.4148
2021-08-18,230,0.3884
2021-08-21,233,0.4192
2021-08-23,235,0.4106
2021-08-26,238,0.2889
2021-08-28,240,0.4524
2021-08-31,243,0.3613
2021-09-05,248,0.4207
2021-09-07,250,0.4353
2021-09-12,255,0.1782
2021-09-25,268,0.2786
2021-09-30,273,0.4428
2021-10-02,275,0.4978
2021-10-15,288,0.3383
2021-10-17,290,0.6217
2021-10-20,293,0.1335
2021-11-11,315,0.6641
2021-11-14,318,0.6513
2021-11-19,323,0.0127
2021-11-24,328,0.6475
2021-11-26,330,0.6904
2021-12-14,348,0.7566
2021-12-19,353,0.6582
2021-12-21,355,0.3275
2021-12-24,358,0.6944
2021-12-31,365,0.7888
2022-01-03,3,0.7318
2022-01-05,5,0.7106
2022-01-15,15,0.7395
2022-01-20,20,0.717
2022-01-23,23,0.7065
2022-01-28,28,0.6915
2022-01-30,30,0.6829
2022-02-04,35,0.6418
2022-02-09,40,0.6651
2022-03-11,70,0.5709
2022-03-14,73,0.5019
2022-03-24,83,0.5659
2022-04-08,98,0.5535
2022-04-10,100,0.557
2022-04-18,108,0.5529
2022-04-23,113,0.5612
2022-04-25,115,0.5306
2022-05-13,133,0.5062
2022-05-15,135,0.4892
2022-05-18,138,0.4529
2022-05-20,140,0.4223
2022-05-23,143,0.4514
2022-05-25,145,0.5334
2022-05-30,150,0.4819
2022-06-02,153,0.735
2022-06-04,155,0.469
2022-06-07,158,0.4565
2022-06-12,163,0.4368
2022-06-14,165,0.4059
2022-06-17,168,0.4284
2022-06-19,170,0.4042
2022-06-22,173,0.3913
2022-06-24,175,0.3842
2022-06-27,178,0.4162
2022-06-29,180,0.3735
2022-07-02,183,0.3844
2022-07-04,185,0.3956
2022-07-07,188,0.443
2022-07-09,190,0.3804
2022-07-12,193,0.4126
2022-07-14,195,0.3366
2022-07-17,198,0.4008
2022-07-19,200,0.3765
2022-07-22,203,0.3949
2022-07-24,205,0.3687
2022-07-27,208,0.3638
2022-07-29,210,0.3874
2022-08-01,213,0.371
2022-08-03,215,0.3519
2022-08-06,218,0.1987
2022-08-08,220,0.3797
2022-08-11,223,0.3774
2022-08-13,225,0.3874
2022-08-21,233,0.1175
2022-08-26,238,0.3898
2022-08-28,240,0.383
2022-09-02,245,0.0416
2022-09-05,248,0.275
2022-09-07,250,0.5045
2022-09-10,253,0.3955
2022-09-12,255,0.4104
2022-09-15,258,0.4241
2022-09-20,263,0.4372
2022-10-02,275,0.4927
2022-10-05,278,0.4732
2022-10-07,280,0.477
2022-10-10,283,0.27
2022-10-15,288,0.4904
2022-10-17,290,0.5066
2022-10-20,293,0.4856
2022-10-22,295,0.5427
2022-10-25,298,0.4905
2022-10-27,300,0.5573
2022-10-30,303,0.5151
2022-11-01,305,0.5611
2022-11-14,318,0.5548
2022-11-16,320,0.5923
2022-11-21,325,0.6267
2022-11-24,328,0.6164
2022-12-04,338,0.6109
2022-12-14,348,0.6427
2022-12-19,353,0.6242
2022-12-21,355,0.6445
2022-12-26,360,0.6524
2023-01-03,3,0.6232
2023-01-05,5,0.5293
2023-01-08,8,0.6113
2023-01-28,28,0.5939
2023-02-04,35,0.1824
2023-02-14,45,0.5673
2023-02-19,50,0.5276
2023-02-22,53,0.5018
2023-02-22,53,0.4987
2023-02-27,58,0.5229
2023-03-24,83,0.4008
2023-03-26,85,0.402
2023-03-29,88,0.3931
2023-04-08,98,0.3927
2023-04-10,100,0.3951
2023-04-15,105,0.3794
2023-04-18,108,0.3802
2023-04-28,118,0.3557
2023-05-28,148,0.3716
2023-06-12,163,0.4173
2023-06-17,168,0.4354
2023-06-22,173,0.3873
2023-06-24,175,0.3918
2023-06-27,178,0.3973
2023-06-29,180,0.3781
2023-07-02,183,0.34
2023-07-04,185,0.3749
2023-07-07,188,0.4048
2023-07-09,190,0.3729
2023-07-12,193,0.3724
2023-07-14,195,0.3511
2023-07-17,198,0.365
2023-07-19,200,0.3597
2023-07-22,203,0.3573
2023-07-24,205,0.3497
2023-07-27,208,0.356
2023-07-29,210,0.3138
2023-08-01,213,0.3465
2023-08-03,215,0.3432
2023-08-08,220,0.3593
2023-08-11,223,0.3358
2023-08-13,225,0.3576
2023-08-16,228,0.3742
2023-08-18,230,0.3442
2023-08-21,233,0.2738
2023-08-23,235,0.3594
2023-08-26,238,0.356
2023-09-07,250,0.3898
2023-09-10,253,0.379
2023-09-12,255,0.3901
2023-09-15,258,0.3839
2023-09-17,260,0.2566
2023-09-22,265,0.3858
2023-09-30,273,0.382
2023-10-02,275,0.3932
2023-10-05,278,0.4109
2023-10-10,283,0.4031
2023-10-12,285,0.4305
2023-10-15,288,0.4069
2023-10-17,290,0.4337
2023-11-04,308,0.448
2023-11-11,315,0.526
2023-11-14,318,0.5416
2023-11-16,320,0.5402
2023-11-19,323,0.5695
2023-11-24,328,0.5879
2023-12-24,358,0.6576
2023-12-26,360,0.6922
2023-12-31,365,0.3382
2024-01-25,25,0.6529
2024-01-30,30,0.6436
2024-02-04,35,0.6541
2024-02-07,38,0.6011
2024-02-14,45,0.4978
2024-02-22,53,0.6458
2024-03-03,63,0.5984
2024-03-13,73,0.6403
2024-03-15,75,0.6182
2024-03-18,78,0.6199
2024-03-20,80,0.6227
2024-03-23,83,0.6102
2024-03-28,88,0.5215
2024-03-30,90,0.4782
2024-04-04,95,0.5568
2024-04-07,98,0.5521
2024-04-27,118,0.494
2024-05-04,125,0.4767
2024-05-07,128,0.4774
2024-05-12,133,0.4844
2024-05-19,140,0.5642
2024-05-22,143,0.4719
2024-05-27,148,0.4396
2024-05-29,150,0.3964
2024-06-06,158,0.4153
2024-06-08,160,0.3868
2024-06-11,163,0.3645
2024-06-21,173,0.3023
2024-06-26,178,0.3975
2024-06-28,180,0.329
2024-07-01,183,0.322
2024-07-03,185,0.3575
2024-07-06,188,0.2758
2024-07-11,193,0.367
2024-07-13,195,0.3529
2024-07-16,198,0.3519
2024-07-18,200,0.3532
2024-07-21,203,0.3754
2024-07-23,205,0.3465
2024-07-26,208,0.3572
2024-07-28,210,0.3551
2024-07-31,213,0.3634
2024-08-05,218,0.361
2024-08-07,220,0.3602
2024-08-10,223,0.3582
2024-08-12,225,0.3491
2024-08-17,230,0.3813
2024-08-20,233,0.3595
2024-08-22,235,0.3794
2024-08-25,238,0.3923
2024-08-27,240,0.3781
2024-08-30,243,0.3777
2024-09-04,248,0.0156
2024-09-06,250,0.3762
2024-09-14,258,0.3894
2024-09-21,265,0.4376
2024-09-24,268,0.4194
2024-09-26,270,0.446
2024-09-29,273,0.4734
2024-10-01,275,0.444
2024-10-04,278,0.4675
2024-10-06,280,0.4636
2024-10-09,283,0.4408
