date,doy,ndvi_mean
2019-01-06,6,0.5255
2019-01-16,16,0.1292
2019-01-21,21,0.5668
2019-02-10,41,0.528
2019-02-10,41,0.5257
2019-02-15,46,0.5084
2019-02-15,46,0.506
2019-02-25,56,0.4736
2019-03-02,61,0.459
2019-03-02,61,0.4419
2019-03-07,66,0.4251
2019-03-12,71,0.4228
2019-03-12,71,0.4061
2019-03-17,76,0.4411
2019-03-17,76,0.4188
2019-04-06,96,0.3257
2019-04-06,96,0.3361
2019-04-11,101,0.5126
2019-04-11,101,0.4954
2019-04-16,106,0.4623
2019-04-16,106,0.4608
2019-04-26,116,0.4344
2019-04-26,116,0.501
2019-05-01,121,0.5534
2019-05-01,121,0.5551
2019-05-06,126,0.4965
2019-05-06,126,0.4946
2019-05-11,131,0.4607
2019-05-11,131,0.4701
2019-05-16,136,0.4856
2019-05-16,136,0.4931
2019-05-31,151,0.5023
2019-05-31,151,0.499
2019-06-05,156,0.4691
2019-06-05,156,0.4661
2019-06-10,161,0.2682
2019-06-15,166,0.361
2019-06-15,166,0.3601
2019-06-25,176,0.4235
2019-06-25,176,0.3928
2019-06-30,181,0.4082
2019-06-30,181,0.4252
2019-07-05,186,0.4313
2019-07-05,186,0.4294
2019-07-10,191,0.4136
2019-07-10,191,0.4015
2019-07-15,196,0.3415
2019-07-15,196,0.337
2019-07-20,201,0.4189
2019-07-20,201,0.4179
2019-07-25,206,0.4053
2019-07-25,206,0.4143
2019-07-30,211,0.3421
2019-07-30,211,0.3393
2019-08-04,216,0.4051
2019-08-04,216,0.4035
2019-08-09,221,0.4154
2019-08-09,221,0.3956
2019-08-14,226,0.395
2019-08-14,226,0.4292
2019-08-19,231,0.39
2019-08-19,231,0.3875
2019-08-24,236,0.4209
2019-08-24,236,0.4195
2019-09-03,246,0.4329
2019-09-03,246,0.4302
2019-09-13,256,0.419
2019-09-13,256,0.4242
2019-09-18,261,0.418
2019-09-23,266,0.0819
2019-09-28,271,0.4793
2019-09-28,271,0.4901
2019-10-18,291,0.4968
2019-10-18,291,0.5041
2019-11-02,306,0.5186
2019-11-02,306,0.5057
2019-11-07,311,0.561
2019-11-07,311,0.5967
2019-11-17,321,0.4122
2019-11-27,331,0.5618
2019-11-27,331,0.5214
2019-12-02,336,0.0888
2019-12-02,336,0.0839
2019-12-07,341,0.5184
2019-12-07,341,0.5257
2019-12-12,346,0.5585
2019-12-12,346,0.589
2019-12-22,356,0.5201
2019-12-27,361,0.5456
2019-12-27,361,0.5603
2020-01-01,1,0.5986
2020-01-06,6,0.5266
2020-01-06,6,0.5036
2020-01-16,16,0.5755
2020-01-26,26,0.285
2020-01-26,26,0.2846
2020-01-31,31,0.4937
2020-01-31,31,0.4613
2020-02-10,41,0.4682
2020-02-10,41,0.4989
2020-02-15,46,0.4506
2020-02-15,46,0.4528
2020-02-20,51,0.4732
2020-02-20,51,0.4709
2020-02-25,56,0.435
2020-02-25,56,0.4328
2020-03-01,61,0.4257
2020-03-01,61,0.4278
2020-03-26,86,0.4445
2020-03-26,86,0.4265
2020-04-05,96,0.4444
2020-04-05,96,0.4329
2020-04-10,101,0.4129
2020-04-30,121,0.4474
2020-04-30,121,0.4384
2020-05-05,126,0.4185
2020-05-05,126,0.4125
2020-05-10,131,0.3965
2020-05-10,131,0.3983
2020-05-20,141,0.4072
2020-05-20,141,0.4061
2020-05-25,146,0.3938
2020-05-25,146,0.3928
2020-05-30,151,0.4232
2020-05-30,151,0.422
2020-06-04,156,0.3957
2020-06-04,156,0.394
2020-06-09,161,0.296
2020-06-09,161,0.2832
2020-06-14,166,0.3894
2020-06-14,166,0.3879
2020-06-19,171,0.3407
2020-06-19,171,0.3395
2020-06-24,176,0.4022
2020-06-24,176,0.4037
2020-06-29,181,0.3895
2020-06-29,181,0.3885
2020-07-04,186,0.386
2020-07-04,186,0.3956
2020-07-09,191,0.398
2020-07-09,191,0.3966
2020-07-14,196,0.3614
2020-07-14,196,0.3603
2020-07-19,201,0.4233
2020-07-19,201,0.4214
2020-07-24,206,0.3896
2020-07-24,206,0.388
2020-07-29,211,0.4167
2020-07-29,211,0.4149
2020-08-03,216,0.3314
2020-08-03,216,0.333
2020-08-08,221,0.4094
2020-08-08,221,0.4073
2020-08-13,226,0.3326
2020-08-13,226,0.3322
2020-08-18,231,0.362
2020-08-18,231,0.3604
2020-08-23,236,0.3987
2020-08-23,236,0.3999
2020-08-28,241,0.4081
2020-08-28,241,0.4069
2020-09-02,246,0.3473
2020-09-07,251,0.4476
2020-09-07,251,0.4541
2020-09-12,256,0.4163
2020-09-17,261,0.4785
2020-09-17,261,0.5109
2020-09-27,271,0.5292
2020-09-27,271,0.5176
2020-10-02,276,0.5252
2020-10-02,276,0.53
2020-10-17,291,0.5242
2020-10-17,291,0.5073
2020-10-22,296,0.4912
2020-10-22,296,0.4808
2020-10-27,301,0.561
2020-11-01,306,0.5111
2020-11-01,306,0.5049
2020-11-06,311,0.1623
2020-11-06,311,0.1537
2020-11-11,316,0.3921
2020-11-11,316,0.3892
2020-11-26,331,0.6232
2020-11-26,331,0.6415
2020-12-01,336,0.5471
2020-12-01,336,0.5928
2020-12-06,341,0.6306
2020-12-06,341,0.5972
2020-12-11,346,0.5921
2020-12-11,346,0.5603
2020-12-16,351,0.5917
2020-12-16,351,0.5529
2020-12-31,366,0.5927
2020-12-31,366,0.6448
2021-01-15,15,0.5955
2021-01-15,15,0.582
2021-01-20,20,0.5963
2021-01-30,30,0.4708
2021-01-30,30,0.4573
2021-02-04,35,0.3982
2021-02-09,40,0.5262
2021-02-09,40,0.5509
2021-02-19,50,0.5374
2021-02-19,50,0.5097
2021-03-01,60,0.4785
2021-03-01,60,0.484
2021-03-06,65,0.4853
2021-03-06,65,0.4836
2021-03-11,70,0.5211
2021-03-11,70,0.4903
2021-03-26,85,0.4921
2021-03-26,85,0.4733
2021-03-31,90,0.4542
2021-03-31,90,0.4596
2021-04-25,115,0.4859
2021-04-25,115,0.4846
2021-05-10,130,0.4122
2021-05-10,130,0.4137
2021-05-15,135,0.4631
2021-05-15,135,0.4615
2021-05-20,140,0.435
2021-05-20,140,0.4428
2021-05-25,145,0.3774
2021-05-25,145,0.3664
2021-05-30,150,0.3853
2021-05-30,150,0.3869
2021-06-04,155,0.4007
2021-06-04,155,0.4001
2021-06-09,160,0.4377
2021-06-09,160,0.4361
2021-06-14,165,0.4175
2021-06-14,165,0.4082
2021-06-19,170,0.4001
2021-06-19,170,0.3295
2021-06-24,175,0.1154
2021-06-29,180,0.3128
2021-07-04,185,0.3191
2021-07-04,185,0.3178
2021-07-09,190,0.2703
2021-07-14,195,0.359
2021-07-14,195,0.3277
2021-07-19,200,0.3658
2021-07-19,200,0.3647
2021-07-24,205,0.3868
2021-07-24,205,0.3808
2021-07-29,210,0.3851
2021-07-29,210,0.377
2021-08-03,215,0.312
2021-08-03,215,0.3093
2021-08-08,220,0.3299
2021-08-08,220,0.3307
2021-08-13,225,0.3236
2021-08-13,225,0.3228
2021-08-18,230,0.28
2021-08-18,230,0.2787
2021-08-23,235,0.4153
2021-08-23,235,0.4023
2021-08-28,240,0.2067
2021-08-28,240,0.2138
2021-09-02,245,0.3315
2021-09-02,245,0.3304
2021-09-07,250,0.4076
2021-09-07,250,0.4309
2021-09-12,255,0.4433
2021-09-12,255,0.4332
2021-09-17,260,0.2453
2021-09-27,270,0.2862
2021-10-07,280,0.4602
2021-10-07,280,0.4694
2021-10-12,285,0.4893
2021-10-12,285,0.4655
2021-10-17,290,0.4579
2021-10-17,290,0.4845
2021-11-11,315,0.5306
2021-11-11,315,0.4694
2021-11-26,330,0.5414
2021-12-01,335,0.5553
2021-12-01,335,0.553
2021-12-16,350,0.4948
2021-12-21,355,0.5264
2021-12-21,355,0.4968
2021-12-31,365,0.4698
2021-12-31,365,0.5191
