date,doy,ndvi_mean
2019-01-06,6,0.5225
2019-01-16,16,0.1624
2019-01-21,21,0.5343
2019-02-10,41,0.4557
2019-02-10,41,0.4538
2019-02-15,46,0.4405
2019-02-15,46,0.4384
2019-02-25,56,0.436
2019-03-02,61,0.4237
2019-03-02,61,0.4152
2019-03-07,66,0.4025
2019-03-12,71,0.3973
2019-03-12,71,0.3895
2019-03-17,76,0.4133
2019-03-17,76,0.4021
2019-04-06,96,0.3067
2019-04-06,96,0.3181
2019-04-11,101,0.4772
2019-04-11,101,0.4657
2019-04-16,106,0.4198
2019-04-16,106,0.4186
2019-04-26,116,0.4031
2019-04-26,116,0.4481
2019-05-01,121,0.527
2019-05-01,121,0.5286
2019-05-06,126,0.4699
2019-05-06,126,0.468
2019-05-11,131,0.4458
2019-05-11,131,0.4541
2019-05-16,136,0.4509
2019-05-16,136,0.4567
2019-05-31,151,0.4435
2019-05-31,151,0.4415
2019-06-05,156,0.4169
2019-06-05,156,0.4149
2019-06-10,161,0.2774
2019-06-15,166,0.3289
2019-06-15,166,0.3279
2019-06-25,176,0.4088
2019-06-25,176,0.3794
2019-06-30,181,0.3967
2019-06-30,181,0.4099
2019-07-05,186,0.4272
2019-07-05,186,0.4254
2019-07-10,191,0.4109
2019-07-10,191,0.3997
2019-07-15,196,0.1606
2019-07-15,196,0.1562
2019-07-20,201,0.4258
2019-07-20,201,0.4249
2019-07-25,206,0.4155
2019-07-25,206,0.4244
2019-07-30,211,0.3781
2019-07-30,211,0.3759
2019-08-04,216,0.4206
2019-08-04,216,0.4191
2019-08-09,221,0.4369
2019-08-09,221,0.4164
2019-08-14,226,0.4067
2019-08-14,226,0.4468
2019-08-19,231,0.4125
2019-08-19,231,0.4082
2019-08-24,236,0.4347
2019-08-24,236,0.4333
2019-09-03,246,0.4701
2019-09-03,246,0.4671
2019-09-13,256,0.4384
2019-09-13,256,0.444
2019-09-18,261,0.4146
2019-09-23,266,0.0894
2019-09-28,271,0.4559
2019-09-28,271,0.4634
2019-10-18,291,0.4799
2019-10-18,291,0.4865
2019-11-02,306,0.4955
2019-11-02,306,0.4835
2019-11-07,311,0.5674
2019-11-07,311,0.6053
2019-11-17,321,0.5023
2019-11-27,331,0.5722
2019-11-27,331,0.5301
2019-12-02,336,0.1996
2019-12-02,336,0.1887
2019-12-07,341,0.5174
2019-12-07,341,0.525
2019-12-12,346,0.5602
2019-12-12,346,0.5914
2019-12-22,356,0.5385
2019-12-27,361,0.5338
2019-12-27,361,0.5453
2020-01-01,1,0.6037
2020-01-06,6,0.5174
2020-01-06,6,0.5006
2020-01-16,16,0.5287
2020-01-26,26,0.2273
2020-01-26,26,0.2212
2020-01-31,31,0.4467
2020-01-31,31,0.425
2020-02-10,41,0.422
2020-02-10,41,0.439
2020-02-15,46,0.4049
2020-02-15,46,0.4078
2020-02-20,51,0.414
2020-02-20,51,0.412
2020-02-25,56,0.3994
2020-02-25,56,0.3974
2020-03-01,61,0.3925
2020-03-01,61,0.3935
2020-03-26,86,0.4433
2020-03-26,86,0.4322
2020-04-05,96,0.4336
2020-04-05,96,0.4244
2020-04-10,101,0.4081
2020-04-30,121,0.4217
2020-04-30,121,0.4142
2020-05-05,126,0.4055
2020-05-05,126,0.4001
2020-05-10,131,0.3831
2020-05-10,131,0.3849
2020-05-20,141,0.3914
2020-05-20,141,0.3903
2020-05-25,146,0.3928
2020-05-25,146,0.3917
2020-05-30,151,0.394
2020-05-30,151,0.3929
2020-06-04,156,0.3927
2020-06-04,156,0.3909
2020-06-09,161,0.4488
2020-06-09,161,0.4458
2020-06-14,166,0.3826
2020-06-14,166,0.381
2020-06-19,171,0.3378
2020-06-19,171,0.3365
2020-06-24,176,0.4057
2020-06-24,176,0.4071
2020-06-29,181,0.3964
2020-06-29,181,0.3953
2020-07-04,186,0.3929
2020-07-04,186,0.4029
2020-07-09,191,0.4154
2020-07-09,191,0.4137
2020-07-14,196,0.3747
2020-07-14,196,0.3736
2020-07-19,201,0.425
2020-07-19,201,0.4215
2020-07-24,206,0.3936
2020-07-24,206,0.392
2020-07-29,211,0.4237
2020-07-29,211,0.4219
2020-08-03,216,0.3403
2020-08-03,216,0.3419
2020-08-08,221,0.4169
2020-08-08,221,0.4149
2020-08-13,226,0.3434
2020-08-13,226,0.3428
2020-08-18,231,0.365
2020-08-18,231,0.3633
2020-08-23,236,0.4047
2020-08-23,236,0.4059
2020-08-28,241,0.4097
2020-08-28,241,0.4086
2020-09-02,246,0.3059
2020-09-07,251,0.4454
2020-09-07,251,0.452
2020-09-12,256,0.433
2020-09-17,261,0.4541
2020-09-17,261,0.4899
2020-09-27,271,0.4983
2020-09-27,271,0.4866
2020-10-02,276,0.508
2020-10-02,276,0.5131
2020-10-17,291,0.5446
2020-10-17,291,0.5245
2020-10-22,296,0.4774
2020-10-22,296,0.4773
2020-10-27,301,0.5587
2020-11-01,306,0.5177
2020-11-01,306,0.5087
2020-11-06,311,0.0579
2020-11-06,311,0.0576
