date,doy,ndvi_mean
2019-01-09,9,0.0828
2019-01-14,14,0.7575
2019-01-19,19,0.6066
2019-01-29,29,0.7456
2019-02-08,39,0.6201
2019-02-13,44,0.6491
2019-02-23,54,0.5302
2019-02-28,59,0.5959
2019-03-05,64,0.5161
2019-03-15,74,0.4924
2019-03-25,84,0.1727
2019-03-30,89,0.5426
2019-04-14,104,0.5657
2019-04-24,114,0.4518
2019-04-29,119,0.5099
2019-05-09,129,0.4895
2019-06-03,154,0.4463
2019-06-13,164,0.3143
2019-06-13,164,0.4143
2019-06-18,169,0.4523
2019-06-23,174,0.4428
2019-06-28,179,0.4245
2019-07-03,184,0.4048
2019-07-08,189,0.3519
2019-07-13,194,0.3907
2019-07-23,204,0.4067
2019-07-28,209,0.4067
2019-08-02,214,0.3337
2019-08-07,219,0.3462
2019-08-12,224,0.462
2019-08-17,229,0.4507
2019-08-22,234,0.4624
2019-08-27,239,0.4905
2019-09-01,244,0.4168
2019-09-06,249,0.4341
2019-09-16,259,0.5232
2019-09-21,264,0.417
2019-09-26,269,0.4923
2019-10-01,274,0.587
2019-10-06,279,0.5304
2019-10-11,284,0.5284
2019-10-16,289,0.504
2019-10-21,294,0.4952
2019-10-31,304,0.5809
2019-11-05,309,0.5497
2019-11-20,324,0.6131
2019-11-30,334,0.6087
2019-12-05,339,0.8187
2019-12-15,349,0.8233
2019-12-20,354,0.8187
2019-12-25,359,0.6651
2019-12-30,364,0.2859
2020-01-04,4,0.7046
2020-01-14,14,0.6635
2020-01-19,19,0.7729
2020-01-24,24,0.5049
2020-01-29,29,0.8166
2020-02-18,49,0.5654
2020-02-23,54,0.6635
2020-02-28,59,0.4945
2020-03-04,64,0.4061
2020-03-09,69,0.4745
2020-03-14,74,0.4861
2020-04-08,99,0.3812
2020-04-23,114,0.5531
2020-04-28,119,0.515
2020-05-03,124,0.5125
2020-05-08,129,0.3846
2020-05-18,139,0.4789
2020-05-23,144,0.5091
2020-05-28,149,0.4967
2020-06-02,154,0.5107
2020-06-07,159,0.2727
2020-06-12,164,0.4647
2020-06-22,174,0.4702
2020-07-02,184,0.3922
2020-07-07,189,0.4688
2020-07-12,194,0.4347
2020-07-17,199,0.3956
2020-07-22,204,0.4825
2020-07-27,209,0.4912
