date,doy,ndvi_mean
2019-01-09,9,0.0931
2019-01-14,14,0.819
2019-01-19,19,0.6518
2019-01-29,29,0.7375
2019-02-08,39,0.6448
2019-02-13,44,0.6662
2019-02-23,54,0.5347
2019-02-28,59,0.6092
2019-03-05,64,0.5301
2019-03-15,74,0.5043
2019-03-25,84,0.157
2019-03-30,89,0.5572
2019-04-14,104,0.572
2019-04-24,114,0.4475
2019-04-29,119,0.5141
2019-05-09,129,0.5181
2019-06-03,154,0.534
2019-06-13,164,0.3709
2019-06-13,164,0.4922
2019-06-18,169,0.5521
2019-06-23,174,0.5408
2019-06-28,179,0.5275
2019-07-03,184,0.4954
2019-07-08,189,0.4283
2019-07-13,194,0.4699
2019-07-23,204,0.4924
2019-07-28,209,0.4921
2019-08-02,214,0.3964
2019-08-07,219,0.4161
2019-08-12,224,0.5597
2019-08-17,229,0.5465
2019-08-22,234,0.5588
2019-08-27,239,0.5907
2019-09-01,244,0.4135
2019-09-06,249,0.5203
2019-09-16,259,0.6162
2019-09-21,264,0.4868
2019-09-26,269,0.5576
2019-10-01,274,0.6694
2019-10-06,279,0.6047
2019-10-11,284,0.6015
2019-10-16,289,0.5751
2019-10-21,294,0.5665
2019-10-31,304,0.6676
2019-11-05,309,0.6351
2019-11-20,324,0.6921
2019-11-30,334,0.6755
2019-12-05,339,0.8456
2019-12-15,349,0.8419
2019-12-20,354,0.8303
2019-12-25,359,0.7058
2019-12-30,364,0.3882
2020-01-04,4,0.7451
2020-01-14,14,0.7109
2020-01-19,19,0.8119
2020-01-24,24,0.569
2020-01-29,29,0.8999
2020-02-18,49,0.6387
2020-02-23,54,0.7395
2020-02-28,59,0.5691
2020-03-04,64,0.5044
2020-03-09,69,0.5114
2020-03-14,74,0.5734
2020-04-08,99,0.5267
2020-04-23,114,0.6527
2020-04-28,119,0.5852
2020-05-03,124,0.5678
2020-05-08,129,0.4283
2020-05-18,139,0.5554
2020-05-23,144,0.5971
2020-05-28,149,0.5841
2020-06-02,154,0.5988
2020-06-07,159,0.3311
2020-06-12,164,0.5449
2020-06-22,174,0.5526
2020-07-02,184,0.4485
2020-07-07,189,0.5489
2020-07-12,194,0.5072
2020-07-17,199,0.4529
2020-07-22,204,0.5595
2020-07-27,209,0.5683
2020-08-01,214,0.5294
2020-08-06,219,0.5579
2020-08-06,219,0.5746
2020-08-11,224,0.5555
2020-08-16,229,0.4442
2020-08-21,234,0.4135
2020-08-26,239,0.556
2020-08-31,244,0.2708
2020-09-15,259,0.2043
2020-09-30,274,0.4701
2020-10-10,284,0.6333
2020-10-15,289,0.5641
2020-10-20,294,0.6167
2020-10-30,304,0.7435
2020-11-09,314,0.6094
2020-11-14,319,0.7556
2020-11-24,329,0.7106
2020-11-29,334,0.588
2020-12-04,339,0.8188
2020-12-14,349,0.7081
2020-12-24,359,0.7071
2020-12-29,364,0.723
2021-01-08,8,0.5661
2021-01-13,13,0.8165
2021-01-18,18,0.8319
2021-01-23,23,0.8206
2021-01-28,28,0.7284
2021-02-02,33,0.6583
2021-02-12,43,0.6517
2021-02-17,48,0.7598
2021-02-27,58,0.6704
2021-03-14,73,0.3017
2021-03-24,83,0.5046
2021-03-29,88,0.4697
2021-04-08,98,0.4925
2021-04-13,103,0.4844
2021-04-28,118,0.4235
2021-05-08,128,0.5541
2021-05-13,133,0.5674
2021-05-18,138,0.4442
2021-05-23,143,0.5201
2021-05-28,148,0.383
2021-06-07,158,0.5211
2021-06-12,163,0.309
2021-06-22,173,0.4037
2021-07-02,183,0.3877
2021-07-07,188,0.449
2021-07-12,193,0.432
2021-07-17,198,0.5324
2021-07-22,203,0.5157
2021-07-27,208,0.5078
2021-08-01,213,0.4936
2021-08-06,218,0.5271
2021-08-11,223,0.4855
2021-08-16,228,0.6166
2021-08-21,233,0.5235
2021-09-05,248,0.4303
2021-09-10,253,0.4724
2021-09-15,258,0.4625
2021-09-25,268,0.2666
2021-09-30,273,0.6123
2021-10-05,278,0.5173
2021-10-10,283,0.6338
2021-10-15,288,0.6696
2021-10-20,293,0.3379
2021-11-14,318,0.7078
2021-11-19,323,0.7999
2021-11-24,328,0.69
2021-11-29,333,0.7537
2021-12-04,338,0.7083
2021-12-09,343,0.8312
2021-12-14,348,0.731
2021-12-19,353,0.7194
2021-12-24,358,0.798
2022-01-03,3,0.7524
2022-01-08,8,0.7534
2022-01-18,18,0.7001
2022-01-28,28,0.6985
2022-02-07,38,0.6422
2022-02-12,43,0.6783
2022-02-22,53,0.8004
2022-03-04,63,0.6279
2022-03-14,73,0.6853
2022-03-24,83,0.4265
2022-03-29,88,0.4767
2022-04-08,98,0.6315
2022-04-18,108,0.5513
2022-04-23,113,0.4938
2022-05-13,133,0.5349
2022-05-18,138,0.5155
2022-05-23,143,0.5567
2022-05-28,148,0.0375
2022-06-02,153,0.4303
2022-06-12,163,0.5134
2022-06-17,168,0.5131
2022-06-22,173,0.5414
2022-06-27,178,0.5142
2022-07-02,183,0.5272
2022-07-07,188,0.6371
2022-07-12,193,0.6493
2022-07-17,198,0.5046
2022-07-22,203,0.5629
2022-07-27,208,0.2796
2022-08-01,213,0.6141
2022-08-06,218,0.5357
2022-08-11,223,0.5824
2022-08-16,228,0.5122
2022-08-21,233,0.5315
2022-08-26,238,0.5489
2022-08-31,243,0.6937
2022-09-05,248,0.7682
2022-09-10,253,0.6388
2022-09-15,258,0.6042
2022-09-30,273,0.5859
2022-10-05,278,0.7203
2022-10-15,288,0.5993
2022-10-20,293,0.5501
2022-10-25,298,0.5978
2022-10-30,303,0.6923
2022-11-14,318,0.7373
2022-11-19,323,0.0042
2022-11-24,328,0.6961
2022-12-04,338,0.6498
2022-12-14,348,0.6874
2022-12-19,353,0.6868
2022-12-24,358,0.2243
2023-01-03,3,0.7198
2023-01-08,8,0.6784
2023-01-13,13,0.6733
2023-01-18,18,0.5908
2023-01-23,23,0.6347
2023-01-28,28,0.6061
2023-02-02,33,0.6666
2023-02-07,38,0.5858
2023-02-22,53,0.4514
2023-03-09,68,0.5235
2023-03-24,83,0.479
2023-03-29,88,0.5056
2023-04-08,98,0.432
2023-04-18,108,0.4939
2023-04-23,113,0.4747
2023-04-28,118,0.4872
2023-05-03,123,0.4807
2023-05-18,138,0.4887
2023-06-07,158,0.4913
2023-06-12,163,0.6415
2023-06-17,168,0.5931
2023-06-22,173,0.4945
2023-06-27,178,0.5215
2023-07-02,183,0.3984
2023-07-07,188,0.4737
2023-07-12,193,0.5187
2023-07-17,198,0.4805
2023-07-22,203,0.4823
2023-07-27,208,0.5487
2023-08-01,213,0.5369
2023-08-06,218,0.5022
2023-08-11,223,0.4201
