date,doy,ndvi_mean
2019-01-09,9,0.1074
2019-01-14,14,0.7271
2019-01-19,19,0.5853
2019-01-29,29,0.6517
2019-02-08,39,0.6231
2019-02-13,44,0.6545
2019-02-23,54,0.5499
2019-02-28,59,0.6086
2019-03-05,64,0.5411
2019-03-15,74,0.4828
2019-03-25,84,0.1499
2019-03-30,89,0.4965
2019-04-14,104,0.5213
2019-04-24,114,0.4292
2019-04-29,119,0.4897
2019-05-09,129,0.4645
2019-06-03,154,0.471
2019-06-13,164,0.3366
2019-06-13,164,0.4164
2019-06-18,169,0.4778
2019-06-23,174,0.4655
2019-06-28,179,0.4611
2019-07-03,184,0.4321
2019-07-08,189,0.3791
2019-07-13,194,0.4022
2019-07-23,204,0.4404
2019-07-28,209,0.4249
2019-08-02,214,0.3552
2019-08-07,219,0.3672
2019-08-12,224,0.4799
2019-08-17,229,0.4704
2019-08-22,234,0.4702
2019-08-27,239,0.4866
2019-09-01,244,0.2249
2019-09-06,249,0.439
2019-09-16,259,0.4987
2019-09-21,264,0.4109
2019-09-26,269,0.3534
2019-10-01,274,0.5444
2019-10-06,279,0.5097
2019-10-11,284,0.5064
2019-10-16,289,0.4839
2019-10-21,294,0.473
2019-10-31,304,0.5648
2019-11-05,309,0.5287
2019-11-20,324,0.5781
2019-11-30,334,0.5768
2019-12-05,339,0.7012
2019-12-15,349,0.6734
2019-12-20,354,0.6858
2019-12-25,359,0.6093
2019-12-30,364,0.4616
2020-01-04,4,0.6267
2020-01-14,14,0.6109
2020-01-19,19,0.6756
2020-01-24,24,0.5
2020-01-29,29,0.7722
2020-02-18,49,0.5619
2020-02-23,54,0.6042
2020-02-28,59,0.5079
2020-03-04,64,0.4286
2020-03-09,69,0.4931
2020-03-14,74,0.4998
2020-04-08,99,0.4672
2020-04-23,114,0.5511
2020-04-28,119,0.4995
2020-05-03,124,0.48
2020-05-08,129,0.3898
2020-05-18,139,0.4877
2020-05-23,144,0.5272
2020-05-28,149,0.5183
2020-06-02,154,0.5288
2020-06-07,159,0.3214
2020-06-12,164,0.4807
2020-06-22,174,0.4961
2020-07-02,184,0.4046
2020-07-07,189,0.4839
2020-07-12,194,0.4465
2020-07-17,199,0.4075
2020-07-22,204,0.4838
2020-07-27,209,0.4924
2020-08-01,214,0.4644
2020-08-06,219,0.4928
2020-08-06,219,0.5028
2020-08-11,224,0.4771
2020-08-16,229,0.3984
2020-08-21,234,0.3716
2020-08-26,239,0.4777
2020-08-31,244,0.2186
2020-09-15,259,0.146
2020-09-30,274,0.4132
2020-10-10,284,0.5443
2020-10-15,289,0.4979
2020-10-20,294,0.5416
2020-10-30,304,0.6131
2020-11-09,314,0.5158
2020-11-14,319,0.649
2020-11-24,329,0.6396
2020-11-29,334,0.546
2020-12-04,339,0.7151
2020-12-14,349,0.6453
2020-12-24,359,0.6422
2020-12-29,364,0.6501
2021-01-08,8,0.5208
2021-01-13,13,0.7172
2021-01-18,18,0.7207
2021-01-23,23,0.7154
2021-01-28,28,0.0857
2021-02-02,33,0.6005
2021-02-12,43,0.5836
2021-02-17,48,0.654
2021-02-27,58,0.5726
2021-03-14,73,0.1326
2021-03-24,83,0.4933
2021-03-29,88,0.4293
2021-04-08,98,0.4455
2021-04-13,103,0.442
2021-04-28,118,0.4216
2021-05-08,128,0.4951
2021-05-13,133,0.5075
2021-05-18,138,0.4033
2021-05-23,143,0.4638
2021-05-28,148,0.3502
2021-06-07,158,0.4523
2021-06-12,163,0.2308
2021-06-22,173,0.3544
2021-07-02,183,0.3493
2021-07-07,188,0.3907
2021-07-12,193,0.3828
2021-07-17,198,0.4674
2021-07-22,203,0.458
2021-07-27,208,0.4395
2021-08-01,213,0.4369
2021-08-06,218,0.4591
2021-08-11,223,0.4271
2021-08-16,228,0.5257
2021-08-21,233,0.4508
2021-09-05,248,0.384
2021-09-10,253,0.4124
2021-09-15,258,0.4114
2021-09-25,268,0.2511
2021-09-30,273,0.5278
2021-10-05,278,0.4772
2021-10-10,283,0.5438
2021-10-15,288,0.5729
2021-10-20,293,0.48
2021-11-14,318,0.6062
2021-11-19,323,0.6738
2021-11-24,328,0.6029
2021-11-29,333,0.6386
2021-12-04,338,0.6091
2021-12-09,343,0.6967
2021-12-14,348,0.6281
2021-12-19,353,0.6297
2021-12-24,358,0.651
2022-01-03,3,0.6436
2022-01-08,8,0.6467
2022-01-18,18,0.6087
2022-01-28,28,0.6117
2022-02-07,38,0.5621
2022-02-12,43,0.5758
2022-02-22,53,0.6247
2022-03-04,63,0.5489
2022-03-14,73,0.5832
2022-03-24,83,0.4097
2022-03-29,88,0.4175
2022-04-08,98,0.5592
2022-04-18,108,0.5099
2022-04-23,113,0.4599
2022-05-13,133,0.4683
2022-05-18,138,0.4558
2022-05-23,143,0.487
2022-05-28,148,-0.0138
2022-06-02,153,0.3857
2022-06-12,163,0.4646
2022-06-17,168,0.4626
2022-06-22,173,0.4889
2022-06-27,178,0.4482
2022-07-02,183,0.451
2022-07-07,188,0.5346
2022-07-12,193,0.5588
2022-07-17,198,0.4525
2022-07-22,203,0.4764
2022-07-27,208,0.1116
2022-08-01,213,0.5066
2022-08-06,218,0.4649
2022-08-11,223,0.5047
2022-08-16,228,0.4396
2022-08-21,233,0.4711
2022-08-26,238,0.4759
2022-08-31,243,0.5415
2022-09-05,248,0.581
2022-09-10,253,0.5059
2022-09-15,258,0.4997
2022-09-30,273,0.4947
2022-10-05,278,0.5651
2022-10-15,288,0.508
2022-10-20,293,0.472
2022-10-25,298,0.4943
2022-10-30,303,0.5535
2022-11-14,318,0.5858
2022-11-19,323,-0.001
2022-11-24,328,0.5594
2022-12-04,338,0.5416
2022-12-14,348,0.567
2022-12-19,353,0.5594
2022-12-24,358,0.2995
2023-01-03,3,0.6057
2023-01-08,8,0.578
2023-01-13,13,0.5848
2023-01-18,18,0.5088
2023-01-23,23,0.5627
2023-01-28,28,0.5334
2023-02-02,33,0.5828
2023-02-07,38,0.5193
2023-02-22,53,0.4339
2023-03-09,68,0.4904
2023-03-24,83,0.4598
2023-03-29,88,0.4787
2023-04-08,98,0.4138
2023-04-18,108,0.4533
2023-04-23,113,0.4421
2023-04-28,118,0.4505
2023-05-03,123,0.4432
2023-05-18,138,0.4292
2023-06-07,158,0.4418
2023-06-12,163,0.5355
2023-06-17,168,0.5201
2023-06-22,173,0.4495
2023-06-27,178,0.4732
2023-07-02,183,0.3695
2023-07-07,188,0.4218
2023-07-12,193,0.4604
2023-07-17,198,0.4393
2023-07-22,203,0.4447
2023-07-27,208,0.4868
2023-08-01,213,0.4891
2023-08-06,218,0.4661
2023-08-11,223,0.392
2023-08-16,228,0.4923
2023-08-21,233,0.4791
2023-08-26,238,0.4977
2023-09-05,248,0.5123
2023-09-10,253,0.5384
2023-09-15,258,0.5669
2023-09-25,268,0.5588
2023-09-30,273,0.546
2023-10-05,278,0.5467
2023-10-10,283,0.5285
2023-10-15,288,0.5555
2023-10-25,298,0.4855
2023-11-04,308,0.5683
2023-11-14,318,0.5821
2023-11-19,323,0.5921
2023-11-29,333,0.635
2023-12-24,358,0.6735
2024-01-03,3,0.5695
2024-01-08,8,0.6282
2024-01-13,13,0.6393
2024-01-18,18,0.5144
2024-01-28,28,0.5
2024-02-07,38,0.6183
2024-03-03,63,0.5009
2024-03-08,68,0.2463
2024-03-13,73,0.5754
2024-03-18,78,0.567
2024-03-23,83,0.5298
2024-03-28,88,0.3541
2024-04-02,93,0.4698
2024-04-07,98,0.5005
2024-04-17,108,0.463
2024-04-22,113,0.4312
2024-04-27,118,0.4901
2024-05-02,123,0.4999
2024-05-07,128,0.4589
2024-05-12,133,0.5508
2024-05-22,143,0.4541
2024-05-27,148,0.4974
2024-06-01,153,0.4698
2024-06-06,158,0.472
2024-06-11,163,0.4411
2024-06-16,168,0.4491
2024-06-21,173,0.3842
2024-06-26,178,0.4235
2024-07-01,183,0.3592
2024-07-06,188,0.2621
2024-07-11,193,0.4209
2024-07-16,198,0.4007
2024-07-21,203,0.4066
2024-07-26,208,0.4297
2024-07-31,213,0.4291
2024-08-05,218,0.4317
2024-08-10,223,0.4275
2024-08-20,233,0.4607
2024-08-25,238,0.4456
2024-08-30,243,0.4132
2024-09-04,248,0.4291
2024-09-09,253,0.4637
2024-09-24,268,0.4742
2024-10-14,288,0.4219
2024-10-19,293,0.6091
2024-10-29,303,0.3854
2024-11-03,308,0.5396
2024-11-08,313,0.5702
2024-11-13,318,0.6044
2024-11-18,323,0.0945
2024-11-23,328,0.6078
2024-12-03,338,0.5895
2024-12-08,343,0.5938
2024-12-13,348,0.599
2024-12-13,348,0.605
2024-12-18,353,0.6051
