date,doy,ndvi_mean
2019-01-09,9,0.154
2019-01-14,14,0.7082
2019-01-19,19,0.5768
2019-01-29,29,0.6459
2019-02-08,39,0.5978
2019-02-13,44,0.6272
2019-02-23,54,0.5319
2019-02-28,59,0.6003
2019-03-05,64,0.53
2019-03-15,74,0.4955
2019-03-25,84,0.177
2019-03-30,89,0.5355
2019-04-14,104,0.5759
2019-04-24,114,0.4703
2019-04-29,119,0.5392
2019-05-09,129,0.529
2019-06-03,154,0.5186
2019-06-13,164,0.3526
2019-06-13,164,0.4549
2019-06-18,169,0.5059
2019-06-23,174,0.4877
2019-06-28,179,0.4637
2019-07-03,184,0.432
2019-07-08,189,0.3702
2019-07-13,194,0.4046
2019-07-23,204,0.4263
2019-07-28,209,0.417
2019-08-02,214,0.3459
2019-08-07,219,0.3608
2019-08-12,224,0.4675
2019-08-17,229,0.4589
2019-08-22,234,0.4654
2019-08-27,239,0.4907
2019-09-01,244,0.1721
2019-09-06,249,0.4363
2019-09-16,259,0.5298
2019-09-21,264,0.4322
2019-09-26,269,0.3875
2019-10-01,274,0.5821
2019-10-06,279,0.5302
2019-10-11,284,0.524
2019-10-16,289,0.5048
2019-10-21,294,0.4866
2019-10-31,304,0.5506
2019-11-05,309,0.5219
2019-11-20,324,0.5748
2019-11-30,334,0.5753
2019-12-05,339,0.7617
2019-12-15,349,0.6965
2019-12-20,354,0.7242
2019-12-25,359,0.6017
2019-12-30,364,0.287
2020-01-04,4,0.6358
2020-01-14,14,0.6068
2020-01-19,19,0.7034
2020-01-24,24,0.4733
2020-01-29,29,0.9087
2020-02-18,49,0.5277
2020-02-23,54,0.585
2020-02-28,59,0.4593
2020-03-04,64,0.3942
2020-03-09,69,0.4477
2020-03-14,74,0.4559
2020-04-08,99,0.4501
2020-04-23,114,0.5547
2020-04-28,119,0.5191
2020-05-03,124,0.5094
2020-05-08,129,0.3962
2020-05-18,139,0.495
2020-05-23,144,0.5305
2020-05-28,149,0.5142
2020-06-02,154,0.528
2020-06-07,159,0.1726
2020-06-12,164,0.4764
2020-06-22,174,0.4799
2020-07-02,184,0.3964
2020-07-07,189,0.4773
2020-07-12,194,0.441
2020-07-17,199,0.4029
2020-07-22,204,0.484
2020-07-27,209,0.4905
2020-08-01,214,0.4559
2020-08-06,219,0.4878
2020-08-06,219,0.5005
2020-08-11,224,0.4817
2020-08-16,229,0.392
2020-08-21,234,0.37
2020-08-26,239,0.4942
2020-08-31,244,0.1866
