date,doy,ndvi_mean
2019-01-09,9,0.2137
2019-01-14,14,0.7059
2019-01-19,19,0.5683
2019-01-29,29,0.6859
2019-02-08,39,0.5856
2019-02-13,44,0.6167
2019-02-23,54,0.5166
2019-02-28,59,0.5903
2019-03-05,64,0.5146
2019-03-15,74,0.4805
2019-03-25,84,0.2152
2019-03-30,89,0.5071
2019-04-14,104,0.5328
2019-04-24,114,0.4409
2019-04-29,119,0.5069
2019-05-09,129,0.4992
2019-06-03,154,0.4961
2019-06-13,164,0.3388
2019-06-13,164,0.4385
2019-06-18,169,0.4859
2019-06-23,174,0.4653
2019-06-28,179,0.4473
2019-07-03,184,0.4209
2019-07-08,189,0.3645
2019-07-13,194,0.3994
2019-07-23,204,0.4186
2019-07-28,209,0.4103
2019-08-02,214,0.3404
2019-08-07,219,0.3549
2019-08-12,224,0.4711
2019-08-17,229,0.4583
2019-08-22,234,0.4679
2019-08-27,239,0.4933
2019-09-01,244,0.2211
2019-09-06,249,0.4361
2019-09-16,259,0.5094
2019-09-21,264,0.4147
2019-09-26,269,0.4648
2019-10-01,274,0.5656
2019-10-06,279,0.5202
2019-10-11,284,0.5146
2019-10-16,289,0.4958
2019-10-21,294,0.4768
2019-10-31,304,0.5636
2019-11-05,309,0.5244
2019-11-20,324,0.5641
2019-11-30,334,0.5659
2019-12-05,339,0.7231
2019-12-15,349,0.706
2019-12-20,354,0.7275
2019-12-25,359,0.6203
2019-12-30,364,0.0816
2020-01-04,4,0.6539
2020-01-14,14,0.6318
2020-01-19,19,0.715
2020-01-24,24,0.4854
2020-01-29,29,0.8383
2020-02-18,49,0.5172
2020-02-23,54,0.5711
2020-02-28,59,0.4552
2020-03-04,64,0.4317
2020-03-09,69,0.4579
2020-03-14,74,0.4561
2020-04-08,99,0.4362
2020-04-23,114,0.556
2020-04-28,119,0.4976
2020-05-03,124,0.4904
2020-05-08,129,0.3818
2020-05-18,139,0.465
2020-05-23,144,0.4993
2020-05-28,149,0.4816
2020-06-02,154,0.4958
2020-06-07,159,0.1274
2020-06-12,164,0.4477
2020-06-22,174,0.4459
2020-07-02,184,0.3764
2020-07-07,189,0.449
2020-07-12,194,0.4132
2020-07-17,199,0.3799
2020-07-22,204,0.4594
2020-07-27,209,0.4628
2020-08-01,214,0.4338
2020-08-06,219,0.4591
2020-08-06,219,0.4711
2020-08-11,224,0.4503
2020-08-16,229,0.3727
2020-08-21,234,0.3489
2020-08-26,239,0.4579
2020-08-31,244,0.2098
2020-09-15,259,0.1311
2020-09-30,274,0.3989
2020-10-10,284,0.521
2020-10-15,289,0.4807
2020-10-20,294,0.5137
2020-10-30,304,0.6147
2020-11-09,314,0.5226
2020-11-14,319,0.642
2020-11-24,329,0.6412
2020-11-29,334,0.7273
2020-12-04,339,0.7493
2020-12-14,349,0.6605
2020-12-24,359,0.6591
2020-12-29,364,0.6929
2021-01-08,8,0.5399
2021-01-13,13,0.7614
2021-01-18,18,0.7566
2021-01-23,23,0.7364
2021-01-28,28,0.005
2021-02-02,33,0.613
2021-02-12,43,0.5777
2021-02-17,48,0.6493
2021-02-27,58,0.5675
2021-03-14,73,0.299
2021-03-24,83,0.4673
2021-03-29,88,0.4139
2021-04-08,98,0.4354
2021-04-13,103,0.4258
2021-04-28,118,0.4055
2021-05-08,128,0.4677
2021-05-13,133,0.4748
2021-05-18,138,0.373
2021-05-23,143,0.4277
2021-05-28,148,0.3362
2021-06-07,158,0.415
2021-06-12,163,0.1923
2021-06-22,173,0.3312
2021-07-02,183,0.3157
2021-07-07,188,0.357
2021-07-12,193,0.349
2021-07-17,198,0.4078
2021-07-22,203,0.3963
2021-07-27,208,0.3935
2021-08-01,213,0.3825
2021-08-06,218,0.407
2021-08-11,223,0.3796
2021-08-16,228,0.4633
2021-08-21,233,0.4134
2021-09-05,248,0.3464
