date,doy,ndvi_mean
2019-01-09,9,0.2437
2019-01-14,14,0.6387
2019-01-19,19,0.5212
2019-01-29,29,0.7455
2019-02-08,39,0.5383
2019-02-13,44,0.5671
2019-02-23,54,0.4814
2019-02-28,59,0.5518
2019-03-05,64,0.4884
2019-03-15,74,0.4631
2019-03-25,84,0.2254
2019-03-30,89,0.508
2019-04-14,104,0.5462
2019-04-24,114,0.452
2019-04-29,119,0.5204
2019-05-09,129,0.5086
2019-06-03,154,0.4986
2019-06-13,164,0.3426
2019-06-13,164,0.4582
2019-06-18,169,0.5031
2019-06-23,174,0.4901
2019-06-28,179,0.466
2019-07-03,184,0.4378
2019-07-08,189,0.3732
2019-07-13,194,0.4117
2019-07-23,204,0.415
2019-07-28,209,0.4052
2019-08-02,214,0.3298
2019-08-07,219,0.3438
2019-08-12,224,0.4501
2019-08-17,229,0.4364
2019-08-22,234,0.4506
2019-08-27,239,0.4716
2019-09-01,244,0.4194
2019-09-06,249,0.4146
2019-09-16,259,0.5036
2019-09-21,264,0.4081
2019-09-26,269,0.4797
2019-10-01,274,0.5599
2019-10-06,279,0.5033
2019-10-11,284,0.4971
2019-10-16,289,0.4862
2019-10-21,294,0.4552
2019-10-31,304,0.5231
2019-11-05,309,0.4869
2019-11-20,324,0.521
2019-11-30,334,0.5134
2019-12-05,339,0.6668
2019-12-15,349,0.6934
2019-12-20,354,0.682
2019-12-25,359,0.5719
2019-12-30,364,0.1059
2020-01-04,4,0.6126
2020-01-14,14,0.5914
2020-01-19,19,0.6662
2020-01-24,24,0.4543
2020-01-29,29,0.6496
2020-02-18,49,0.4347
2020-02-23,54,0.4735
2020-02-28,59,0.388
2020-03-04,64,0.362
2020-03-09,69,0.4008
2020-03-14,74,0.3909
2020-04-08,99,0.3967
2020-04-23,114,0.4764
2020-04-28,119,0.4588
2020-05-03,124,0.4581
2020-05-08,129,0.3601
2020-05-18,139,0.4352
2020-05-23,144,0.4666
2020-05-28,149,0.4517
2020-06-02,154,0.4677
2020-06-07,159,0.0822
2020-06-12,164,0.4225
2020-06-22,174,0.4166
2020-07-02,184,0.3541
2020-07-07,189,0.4182
2020-07-12,194,0.3893
2020-07-17,199,0.3602
2020-07-22,204,0.4362
2020-07-27,209,0.4419
