date,doy,ndvi_mean
2019-01-09,9,0.5689
2019-01-14,14,0.6879
2019-01-19,19,0.5605
2019-01-29,29,0.6382
2019-02-08,39,0.561
2019-02-13,44,0.5854
2019-02-23,54,0.4647
2019-02-28,59,0.5532
2019-03-05,64,0.479
2019-03-15,74,0.4386
2019-03-25,84,0.4254
2019-03-30,89,0.4819
2019-04-14,104,0.4987
2019-04-24,114,0.4007
2019-04-29,119,0.4448
2019-05-09,129,0.4202
2019-06-03,154,0.4289
2019-06-13,164,0.3087
2019-06-18,169,0.4226
2019-06-23,174,0.4111
2019-06-28,179,0.3952
2019-07-03,184,0.3792
2019-07-08,189,0.3312
2019-07-13,194,0.3697
2019-07-23,204,0.3767
2019-07-28,209,0.3717
2019-08-02,214,0.3061
2019-08-07,219,0.3342
2019-08-12,224,0.417
2019-08-17,229,0.419
2019-08-22,234,0.4234
2019-08-22,234,0.5419
2019-08-27,239,0.4451
2019-09-01,244,0.4046
2019-09-06,249,0.4004
2019-09-16,259,0.4848
2019-09-21,264,0.395
2019-09-26,269,0.3876
2019-10-01,274,0.5333
2019-10-06,279,0.4921
2019-10-11,284,0.4825
2019-10-16,289,0.4637
2019-10-21,294,0.4386
2019-10-31,304,0.5526
2019-11-05,309,0.5238
2019-11-20,324,0.5588
2019-11-30,334,0.5523
2019-12-05,339,0.7099
2019-12-15,349,0.6809
2019-12-20,354,0.6754
2019-12-25,359,0.5854
2019-12-30,364,0.5044
2020-01-04,4,0.6104
2020-01-14,14,0.5854
2020-01-19,19,0.6495
2020-01-24,24,0.4759
2020-01-29,29,0.6292
2020-02-18,49,0.5114
2020-02-23,54,0.5591
2020-02-28,59,0.4526
2020-03-04,64,0.4073
2020-03-09,69,0.4746
2020-03-14,74,0.4513
2020-04-08,99,0.3886
2020-04-23,114,0.5335
2020-04-28,119,0.4547
2020-05-03,124,0.4521
2020-05-08,129,0.3521
2020-05-18,139,0.4249
2020-05-23,144,0.4599
2020-05-28,149,0.4432
2020-06-02,154,0.4524
2020-06-07,159,0.2228
2020-06-12,164,0.4167
2020-06-22,174,0.4343
2020-07-02,184,0.3621
2020-07-07,189,0.4178
2020-07-12,194,0.3956
2020-07-17,199,0.3552
2020-07-22,204,0.4236
2020-07-27,209,0.4314
2020-08-01,214,0.4068
2020-08-06,219,0.442
2020-08-11,224,0.431
2020-08-16,229,0.3105
2020-08-21,234,0.3549
2020-08-26,239,0.4427
2020-08-31,244,0.1954
2020-09-15,259,0.4584
2020-09-30,274,0.4277
2020-10-10,284,0.5267
2020-10-15,289,0.4918
2020-10-20,294,0.5268
2020-10-30,304,0.5989
2020-11-09,314,0.5229
2020-11-14,319,0.6232
2020-11-24,329,0.6095
2020-11-29,334,0.6382
2020-12-04,339,0.6937
2020-12-14,349,0.6073
2020-12-24,359,0.5962
2020-12-29,364,0.6094
2021-01-08,8,0.3495
2021-01-13,13,0.6487
2021-01-18,18,0.6483
2021-01-23,23,0.6352
2021-01-28,28,0.5675
2021-02-02,33,0.4129
2021-02-12,43,0.4939
2021-02-17,48,0.5514
2021-02-27,58,0.4868
2021-03-14,73,0.3493
2021-03-24,83,0.3775
2021-03-29,88,0.3765
2021-04-08,98,0.3844
2021-04-13,103,0.3693
2021-04-28,118,0.349
2021-05-08,128,0.4166
2021-05-13,133,0.4214
2021-05-18,138,0.3477
2021-05-23,143,0.3943
2021-05-28,148,0.3184
2021-06-07,158,0.3794
