date,doy,ndvi_mean
2019-01-09,9,0.261
2019-01-14,14,0.2712
2019-01-19,19,0.2407
2019-01-29,29,0.2478
2019-02-08,39,0.2325
2019-02-13,44,0.2395
2019-02-23,54,0.2205
2019-02-28,59,0.2507
2019-03-05,64,0.2361
2019-03-15,74,0.2429
2019-03-25,84,0.2905
2019-03-30,89,0.3345
2019-04-14,104,0.3796
2019-04-24,114,0.3346
2019-04-29,119,0.3529
2019-05-09,129,0.3352
2019-06-03,154,0.3223
2019-06-13,164,0.262
2019-06-18,169,0.3207
2019-06-23,174,0.3115
2019-06-28,179,0.2988
2019-07-03,184,0.2934
2019-07-08,189,0.2648
2019-07-13,194,0.2845
2019-07-23,204,0.2926
2019-07-28,209,0.2825
2019-08-02,214,0.2535
2019-08-07,219,0.2536
2019-08-12,224,0.2908
2019-08-17,229,0.2866
2019-08-22,234,0.2843
2019-08-22,234,0.2878
2019-08-27,239,0.2939
2019-09-01,244,0.2571
2019-09-06,249,0.278
2019-09-16,259,0.3254
2019-09-21,264,0.2857
2019-09-26,269,0.2713
2019-10-01,274,0.3447
2019-10-06,279,0.337
2019-10-11,284,0.3311
2019-10-16,289,0.335
2019-10-21,294,0.3181
2019-10-31,304,0.393
2019-11-05,309,0.3561
2019-11-20,324,0.3721
2019-11-30,334,0.3459
2019-12-05,339,0.4109
2019-12-15,349,0.368
2019-12-20,354,0.3464
2019-12-25,359,0.3058
2019-12-30,364,0.2973
2020-01-04,4,0.3051
2020-01-14,14,0.2843
2020-01-19,19,0.301
2020-01-24,24,0.2382
2020-01-29,29,0.2765
2020-02-18,49,0.2589
2020-02-23,54,0.2718
2020-02-28,59,0.2535
2020-03-04,64,0.2524
2020-03-09,69,0.3177
2020-03-14,74,0.3285
2020-04-08,99,0.3596
2020-04-23,114,0.4306
2020-04-28,119,0.3734
2020-05-03,124,0.3746
2020-05-08,129,0.315
2020-05-18,139,0.3547
2020-05-23,144,0.3752
2020-05-28,149,0.3628
2020-06-02,154,0.3644
2020-06-07,159,0.2958
2020-06-12,164,0.3357
2020-06-22,174,0.3531
2020-07-02,184,0.3069
2020-07-07,189,0.3337
2020-07-12,194,0.3174
2020-07-17,199,0.2843
2020-07-22,204,0.3172
2020-07-27,209,0.3212
2020-08-01,214,0.3109
2020-08-06,219,0.3226
2020-08-11,224,0.3039
2020-08-16,229,0.1132
2020-08-21,234,0.2578
2020-08-26,239,0.2907
2020-08-31,244,0.1871
2020-09-15,259,0.2832
