date,doy,ndvi_mean
2019-01-09,9,0.1807
2019-01-14,14,0.1795
2019-01-19,19,0.1739
2019-01-29,29,0.1684
2019-02-08,39,0.1544
2019-02-13,44,0.1532
2019-02-23,54,0.1561
2019-02-28,59,0.1632
2019-03-05,64,0.1588
2019-03-15,74,0.1583
2019-03-25,84,0.1708
2019-03-30,89,0.1825
2019-04-14,104,0.2435
2019-04-24,114,0.2565
2019-04-29,119,0.2728
2019-05-09,129,0.2931
2019-06-03,154,0.376
2019-06-13,164,0.2927
2019-06-18,169,0.3373
2019-06-23,174,0.3146
2019-06-28,179,0.3082
2019-07-03,184,0.3058
2019-07-08,189,0.2823
2019-07-13,194,0.2989
2019-07-23,204,0.3211
2019-07-28,209,0.3115
2019-08-02,214,0.2891
2019-08-07,219,0.2935
2019-08-12,224,0.3303
2019-08-17,229,0.3293
2019-08-22,234,0.3276
2019-08-22,234,0.3304
2019-08-27,239,0.3373
2019-09-01,244,0.3544
2019-09-06,249,0.3371
2019-09-16,259,0.393
2019-09-21,264,0.3411
2019-09-26,269,0.3711
2019-10-01,274,0.3898
2019-10-06,279,0.3793
2019-10-11,284,0.3575
2019-10-16,289,0.3347
2019-10-21,294,0.3066
2019-10-31,304,0.3372
2019-11-05,309,0.2969
2019-11-20,324,0.2866
2019-11-30,334,0.2633
2019-12-05,339,0.3175
2019-12-15,349,0.2671
2019-12-20,354,0.2626
2019-12-25,359,0.2402
2019-12-30,364,0.2071
2020-01-04,4,0.2367
2020-01-14,14,0.2073
2020-01-19,19,0.2074
2020-01-24,24,0.1822
2020-01-29,29,0.1843
2020-02-18,49,0.1922
2020-02-23,54,0.1893
2020-02-28,59,0.1902
2020-03-04,64,0.2121
2020-03-09,69,0.2319
2020-03-14,74,0.2535
2020-04-08,99,0.3371
2020-04-23,114,0.3568
2020-04-28,119,0.407
2020-05-03,124,0.4044
2020-05-08,129,0.346
2020-05-18,139,0.3764
2020-05-23,144,0.3979
2020-05-28,149,0.3655
2020-06-02,154,0.3554
2020-06-07,159,0.2862
2020-06-12,164,0.3329
2020-06-22,174,0.3496
2020-07-02,184,0.3128
2020-07-07,189,0.3388
2020-07-12,194,0.3306
2020-07-17,199,0.306
2020-07-22,204,0.3406
2020-07-27,209,0.3478
2020-08-01,214,0.3423
2020-08-06,219,0.3516
2020-08-11,224,0.3395
2020-08-16,229,0.1481
2020-08-21,234,0.2918
2020-08-26,239,0.3266
2020-08-31,244,0.2339
2020-09-15,259,0.3186
2020-09-30,274,0.3114
2020-10-10,284,0.3575
2020-10-15,289,0.3424
2020-10-20,294,0.3436
2020-10-30,304,0.3438
2020-11-09,314,0.3071
2020-11-14,319,0.3268
2020-11-24,329,0.3135
2020-11-29,334,0.2951
2020-12-04,339,0.3002
2020-12-14,349,0.2506
2020-12-24,359,0.234
2020-12-29,364,0.2224
2021-01-08,8,0.1614
2021-01-13,13,0.1983
2021-01-18,18,0.2003
2021-01-23,23,0.2042
2021-01-28,28,0.1767
2021-02-02,33,0.1849
2021-02-12,43,0.1733
2021-02-17,48,0.1961
2021-02-27,58,0.1996
