date,doy,ndvi_mean
2019-01-09,9,0.5287
2019-01-14,14,0.529
2019-01-19,19,0.4595
2019-01-29,29,0.4998
2019-02-08,39,0.4638
2019-02-13,44,0.4789
2019-02-23,54,0.4099
2019-02-28,59,0.4743
2019-03-05,64,0.4243
2019-03-15,74,0.3972
2019-03-25,84,0.4294
2019-03-30,89,0.4476
2019-04-14,104,0.4668
2019-04-24,114,0.3894
2019-04-29,119,0.4234
2019-05-09,129,0.4125
2019-06-03,154,0.4327
2019-06-13,164,0.3117
2019-06-18,169,0.4366
2019-06-23,174,0.4273
2019-06-28,179,0.4121
2019-07-03,184,0.3996
2019-07-08,189,0.3431
2019-07-13,194,0.3864
2019-07-23,204,0.4007
2019-07-28,209,0.3902
2019-08-02,214,0.3218
2019-08-07,219,0.3427
2019-08-12,224,0.4344
2019-08-17,229,0.4287
2019-08-22,234,0.4366
2019-08-22,234,0.4446
2019-08-27,239,0.4567
2019-09-01,244,0.4033
2019-09-06,249,0.396
2019-09-16,259,0.4621
2019-09-21,264,0.3785
2019-09-26,269,0.4406
2019-10-01,274,0.4867
2019-10-06,279,0.4468
2019-10-11,284,0.4378
2019-10-16,289,0.4484
2019-10-21,294,0.4327
2019-10-31,304,0.4949
2019-11-05,309,0.4707
2019-11-20,324,0.4975
2019-11-30,334,0.5001
2019-12-05,339,0.6118
2019-12-15,349,0.5516
2019-12-20,354,0.5774
2019-12-25,359,0.5034
2019-12-30,364,0.4527
2020-01-04,4,0.522
2020-01-14,14,0.502
2020-01-19,19,0.5445
2020-01-24,24,0.4068
2020-01-29,29,0.5298
2020-02-18,49,0.4485
2020-02-23,54,0.479
2020-02-28,59,0.4095
2020-03-04,64,0.398
2020-03-09,69,0.4338
2020-03-14,74,0.4161
2020-04-08,99,0.4295
2020-04-23,114,0.4009
2020-04-28,119,0.4311
2020-05-03,124,0.444
2020-05-08,129,0.3644
2020-05-18,139,0.4139
2020-05-23,144,0.4549
2020-05-28,149,0.439
2020-06-02,154,0.4447
2020-06-07,159,0.3232
2020-06-12,164,0.4051
2020-06-22,174,0.4206
2020-07-02,184,0.3456
2020-07-07,189,0.4028
2020-07-12,194,0.3879
2020-07-17,199,0.3394
2020-07-22,204,0.4024
2020-07-27,209,0.405
2020-08-01,214,0.3832
2020-08-06,219,0.4126
2020-08-11,224,0.3934
2020-08-16,229,0.2903
2020-08-21,234,0.3206
2020-08-26,239,0.3925
2020-08-31,244,0.1746
2020-09-15,259,0.4393
2020-09-30,274,0.3559
2020-10-10,284,0.4101
2020-10-15,289,0.4042
2020-10-20,294,0.4109
2020-10-30,304,0.4446
2020-11-09,314,0.4156
2020-11-14,319,0.4697
2020-11-24,329,0.4966
2020-11-29,334,0.5848
2020-12-04,339,0.5206
2020-12-14,349,0.4527
2020-12-24,359,0.4569
2020-12-29,364,0.4564
2021-01-08,8,0.3501
2021-01-13,13,0.458
2021-01-18,18,0.444
2021-01-23,23,0.4407
2021-01-28,28,0.4211
2021-02-02,33,0.4186
2021-02-12,43,0.3641
2021-02-17,48,0.4036
2021-02-27,58,0.3809
2021-03-14,73,0.3455
2021-03-24,83,0.3484
2021-03-29,88,0.3259
2021-04-08,98,0.3356
2021-04-13,103,0.3228
2021-04-28,118,0.3342
2021-05-08,128,0.3775
2021-05-13,133,0.3851
2021-05-18,138,0.3195
2021-05-23,143,0.362
2021-05-28,148,0.2911
2021-06-07,158,0.3405
2021-06-12,163,0.3496
2021-06-22,173,0.3073
2021-07-02,183,0.2803
2021-07-07,188,0.3225
2021-07-12,193,0.3084
2021-07-17,198,0.3544
2021-07-22,203,0.3344
2021-07-27,208,0.3497
2021-08-01,213,0.3376
2021-08-06,218,0.3402
2021-08-11,223,0.3273
2021-08-16,228,0.3807
2021-08-21,233,0.3388
2021-09-05,248,0.3179
2021-09-10,253,0.3467
2021-09-15,258,0.3351
2021-09-25,268,0.276
2021-09-30,273,0.3998
2021-10-05,278,0.2823
2021-10-10,283,0.4274
2021-10-15,288,0.4482
2021-10-20,293,0.4934
2021-11-14,318,0.4776
2021-11-19,323,0.5086
2021-11-24,328,0.474
2021-11-29,333,0.5162
2021-12-04,338,0.4681
2021-12-09,343,0.5166
2021-12-14,348,0.4625
2021-12-19,353,0.4567
2021-12-24,358,0.4714
2022-01-03,3,0.447
2022-01-08,8,0.4388
2022-01-18,18,0.4216
2022-01-28,28,0.4167
2022-02-07,38,0.3887
2022-02-12,43,0.4046
2022-02-17,48,0.0105
2022-02-22,53,0.341
2022-03-04,63,0.412
2022-03-14,73,0.4632
2022-03-24,83,0.3577
2022-03-29,88,0.4006
2022-04-08,98,0.4692
2022-04-18,108,0.4535
2022-04-23,113,0.4344
2022-05-13,133,0.4569
2022-05-18,138,0.4486
2022-05-23,143,0.4624
2022-05-28,148,0.6834
2022-06-02,153,0.3779
2022-06-12,163,0.397
2022-06-17,168,0.402
2022-06-22,173,0.4194
2022-06-27,178,0.4124
2022-07-02,183,0.4246
2022-07-07,188,0.4936
2022-07-12,193,0.5016
2022-07-17,198,0.4081
2022-07-22,203,0.4306
2022-07-27,208,0.0214
2022-08-01,213,0.4569
2022-08-06,218,0.4097
2022-08-11,223,0.4447
2022-08-16,228,0.4086
2022-08-21,233,0.3893
2022-08-26,238,0.4105
2022-08-31,243,0.5199
2022-09-05,248,0.5581
2022-09-10,253,0.305
2022-09-15,258,0.4202
2022-09-30,273,0.4142
2022-10-05,278,0.4835
2022-10-15,288,0.4228
2022-10-20,293,0.406
2022-10-25,298,0.4362
2022-10-30,303,0.4627
2022-11-14,318,0.4704
2022-11-19,323,0.0946
2022-11-24,328,0.4439
2022-12-04,338,0.4349
2022-12-14,348,0.4466
2022-12-19,353,0.4365
2022-12-24,358,0.1958
2023-01-03,3,0.4421
2023-01-08,8,0.4223
