date,doy,ndvi_mean
2019-01-01,1,0.0552
2019-01-06,6,0.1002
2019-01-21,21,0.0823
2019-01-26,26,0.1058
2019-02-10,41,0.1033
2019-02-15,46,0.1079
2019-03-02,61,0.1028
2019-03-07,66,0.099
2019-03-12,71,0.0953
2019-03-17,76,0.0993
2019-04-06,96,0.0972
2019-04-11,101,0.1007
2019-04-16,106,0.1087
2019-04-26,116,0.1208
2019-05-01,121,0.1059
2019-05-06,126,0.1365
2019-05-11,131,0.1239
2019-05-16,136,0.1399
2019-05-26,146,0.0959
2019-05-31,151,0.1237
2019-06-05,156,0.1235
2019-06-10,161,0.1117
2019-06-15,166,0.1024
2019-06-25,176,0.1015
2019-06-30,181,0.0904
2019-07-05,186,0.0939
2019-07-10,191,0.0974
2019-07-15,196,0.0876
2019-07-20,201,0.0809
2019-07-25,206,0.0916
2019-07-30,211,0.0664
2019-08-04,216,0.0769
2019-08-09,221,0.0727
2019-08-14,226,0.0803
2019-08-19,231,0.0816
2019-08-24,236,0.0787
2019-08-29,241,0.0391
2019-09-03,246,0.0855
2019-09-08,251,0.0708
2019-09-13,256,0.0251
2019-09-18,261,0.0699
2019-09-23,266,0.0842
2019-09-28,271,0.0792
2019-10-18,291,0.0715
2019-10-23,296,0.0741
2019-11-02,306,0.0897
2019-11-07,311,0.1249
2019-11-17,321,0.0968
2019-11-27,331,0.0859
2019-12-02,336,0.1038
2019-12-12,346,0.108
2019-12-22,356,0.1049
2019-12-27,361,0.1002
2020-01-01,1,0.1078
2020-01-06,6,0.1025
2020-01-16,16,0.1046
2020-01-31,31,0.0955
2020-02-05,36,0.0869
2020-02-10,41,0.1063
2020-02-15,46,0.0926
2020-02-20,51,0.1025
2020-02-25,56,0.1
2020-03-01,61,0.0979
2020-03-11,71,0.0891
2020-03-21,81,0.0847
2020-03-26,86,0.1147
2020-03-31,91,0.0918
2020-04-05,96,0.0918
2020-04-30,121,0.1004
2020-05-05,126,0.0914
2020-05-10,131,0.0884
2020-05-20,141,0.0921
2020-05-25,146,0.0926
2020-06-04,156,0.0773
