date,doy,ndvi_mean
2019-01-01,1,-0.0298
2019-01-06,6,0.0911
2019-01-14,14,0.0899
2019-01-19,19,0.0908
2019-01-21,21,0.0825
2019-01-26,26,0.0992
2019-01-29,29,0.107
2019-02-03,34,0.0944
2019-02-08,39,0.0944
2019-02-10,41,0.0982
2019-02-13,44,0.0943
2019-02-15,46,0.1017
2019-02-23,54,0.1003
2019-02-28,59,0.1048
2019-03-02,61,0.1106
2019-03-05,64,0.1145
2019-03-07,66,0.1086
2019-03-12,71,0.1068
2019-03-15,74,0.114
2019-03-17,76,0.1168
2019-03-25,84,0.1203
2019-03-30,89,0.1031
2019-04-06,96,0.0951
2019-04-09,99,0.0912
2019-04-11,101,0.0936
2019-04-14,104,0.1144
2019-04-16,106,0.0984
2019-04-24,114,0.1053
2019-04-26,116,0.1088
2019-04-29,119,0.1015
2019-05-01,121,0.1065
2019-05-04,124,0.1072
2019-05-06,126,0.1105
2019-05-09,129,0.1332
2019-05-11,131,0.092
2019-05-16,136,0.1063
2019-05-26,146,0.0968
2019-05-29,149,0.0529
2019-05-31,151,0.0938
2019-06-03,154,0.1034
2019-06-05,156,0.1015
2019-06-10,161,0.0988
2019-06-13,164,0.0928
2019-06-15,166,0.0908
2019-06-18,169,0.0967
2019-06-23,174,0.0979
2019-06-25,176,0.0977
2019-06-28,179,0.095
2019-06-30,181,0.086
2019-07-03,184,0.0779
2019-07-05,186,0.0907
2019-07-08,189,0.1263
2019-07-10,191,0.0947
2019-07-13,194,0.0775
2019-07-15,196,0.0851
2019-07-20,201,0.0782
2019-07-23,204,0.1035
2019-07-25,206,0.0938
2019-07-28,209,0.0731
2019-07-30,211,0.073
2019-08-02,214,0.0757
2019-08-04,216,0.0803
2019-08-07,219,0.0705
2019-08-09,221,0.0725
2019-08-12,224,0.078
2019-08-14,226,0.0827
2019-08-17,229,0.0879
2019-08-19,231,0.0838
2019-08-22,234,0.0726
2019-08-24,236,0.0811
2019-08-27,239,0.0871
2019-08-29,241,0.0296
2019-09-01,244,0.0782
2019-09-03,246,0.0866
2019-09-06,249,0.0836
2019-09-08,251,0.0679
2019-09-13,256,0.0433
2019-09-16,259,0.0842
2019-09-18,261,0.0761
2019-09-21,264,0.0757
2019-09-23,266,0.0905
2019-09-26,269,0.0724
2019-09-28,271,0.0873
2019-10-01,274,0.0979
2019-10-06,279,0.1028
2019-10-11,284,0.1064
2019-10-16,289,0.084
2019-10-18,291,0.0813
2019-10-21,294,0.0738
2019-10-23,296,0.0828
2019-10-31,304,0.0978
2019-11-02,306,0.0982
2019-11-05,309,0.1019
2019-11-07,311,0.13
2019-11-15,319,0.0874
2019-11-17,321,0.103
2019-11-20,324,0.1
2019-11-27,331,0.0898
2019-11-30,334,0.1036
2019-12-02,336,0.1079
2019-12-05,339,0.1066
2019-12-10,344,0.1133
2019-12-12,346,0.1117
2019-12-20,354,0.121
2019-12-22,356,0.1096
2019-12-25,359,0.1109
2019-12-27,361,0.1062
2019-12-30,364,0.1246
2020-01-01,1,0.1142
2020-01-04,4,0.1139
2020-01-06,6,0.1125
2020-01-09,9,0.1169
2020-01-14,14,0.111
2020-01-16,16,0.1139
2020-01-19,19,0.1221
2020-01-24,24,0.1006
2020-01-29,29,0.1146
2020-01-31,31,0.1119
2020-02-05,36,0.1137
2020-02-10,41,0.1248
2020-02-15,46,0.1137
2020-02-18,49,0.1309
2020-02-20,51,0.1251
2020-02-23,54,0.1242
2020-02-25,56,0.127
2020-02-28,59,0.1249
2020-03-01,61,0.125
2020-03-04,64,0.1236
2020-03-09,69,0.131
2020-03-11,71,0.1139
2020-03-14,74,0.1192
2020-03-21,81,0.0994
2020-03-26,86,0.1271
2020-03-31,91,0.101
2020-04-05,96,0.1038
2020-04-08,99,0.0241
2020-04-23,114,0.1164
2020-04-28,119,0.0911
2020-04-30,121,0.1011
2020-05-05,126,0.0984
2020-05-10,131,0.1003
2020-05-20,141,0.106
2020-05-23,144,0.1132
2020-05-25,146,0.1066
2020-06-02,154,0.1046
2020-06-04,156,0.0969
2020-06-09,161,0.098
2020-06-12,164,0.0995
2020-06-14,166,0.0929
2020-06-19,171,0.1017
2020-06-22,174,0.1043
2020-06-24,176,0.0918
2020-06-27,179,0.0785
2020-06-29,181,0.0842
2020-07-02,184,0.0929
2020-07-04,186,0.0843
2020-07-07,189,0.0966
2020-07-09,191,0.0891
2020-07-12,194,0.0752
2020-07-14,196,0.0778
2020-07-17,199,0.0764
2020-07-19,201,0.0494
2020-07-22,204,0.0808
2020-07-24,206,0.0882
2020-07-27,209,0.0872
2020-07-29,211,0.0876
2020-08-01,214,0.0984
2020-08-03,216,0.0915
2020-08-06,219,0.0837
2020-08-08,221,0.0721
2020-08-11,224,0.087
2020-08-13,226,0.073
2020-08-16,229,0.0779
2020-08-18,231,0.0813
2020-08-21,234,0.0808
2020-08-23,236,0.0804
2020-08-26,239,0.0927
2020-08-28,241,0.0913
2020-08-31,244,0.0806
2020-09-07,251,0.1028
2020-09-12,256,0.076
2020-09-15,259,0.0563
2020-09-17,261,0.0928
2020-09-20,264,0.0648
2020-09-27,271,0.0961
2020-09-30,274,0.0891
2020-10-10,284,0.0984
2020-10-15,289,0.1041
2020-10-17,291,0.1195
2020-10-20,294,0.115
2020-10-22,296,0.1014
2020-10-25,299,0.027
2020-10-27,301,0.0921
2020-10-30,304,0.1203
2020-11-01,306,0.1126
2020-11-06,311,0.1276
2020-11-09,314,0.1231
2020-11-11,316,0.1252
2020-11-14,319,0.1091
2020-11-19,324,0.131
2020-11-21,326,0.162
2020-11-24,329,0.15
2020-11-29,334,0.1425
2020-12-01,336,0.1357
2020-12-04,339,0.1483
2020-12-06,341,0.1619
2020-12-11,346,0.1716
2020-12-14,349,0.1585
2020-12-16,351,0.1365
2020-12-24,359,0.1446
2020-12-29,364,0.1357
2020-12-31,366,0.1331
2021-01-03,3,0.1035
2021-01-08,8,0.0971
2021-01-15,15,0.1247
2021-01-18,18,0.12
2021-01-20,20,0.1182
2021-01-28,28,0.1147
2021-01-30,30,0.1143
2021-02-09,40,0.1137
2021-02-12,43,-0.0215
2021-02-14,45,0.0627
2021-02-19,50,0.1298
2021-02-27,58,0.1128
2021-03-01,60,0.0384
2021-03-04,63,0.0903
2021-03-06,65,0.1114
2021-03-09,68,0.0936
2021-03-11,70,0.1199
2021-03-14,73,0.0954
2021-03-16,75,0.1192
2021-03-21,80,0.0864
