date,doy,ndvi_mean
2019-01-01,1,0.2199
2019-01-06,6,0.2423
2019-01-21,21,0.1475
2019-01-26,26,0.146
2019-02-10,41,0.1276
2019-02-15,46,0.1332
2019-03-02,61,0.1316
2019-03-07,66,0.1296
2019-03-12,71,0.1261
2019-03-17,76,0.1355
2019-04-06,96,0.1316
2019-04-11,101,0.122
2019-04-16,106,0.1276
2019-04-26,116,0.1224
2019-05-01,121,0.1193
2019-05-06,126,0.1321
2019-05-11,131,0.119
2019-05-16,136,0.1375
2019-05-26,146,0.1542
2019-05-31,151,0.1453
2019-06-05,156,0.1437
2019-06-10,161,0.1329
2019-06-15,166,0.1218
2019-06-25,176,0.1259
2019-06-30,181,0.1182
2019-07-05,186,0.1302
2019-07-10,191,0.1272
2019-07-15,196,0.1064
2019-07-20,201,0.1075
2019-07-25,206,0.116
2019-07-30,211,0.0927
2019-08-04,216,0.1014
2019-08-09,221,0.0919
2019-08-14,226,0.1102
2019-08-19,231,0.1096
2019-08-24,236,0.1084
2019-08-29,241,0.0882
2019-09-03,246,0.104
2019-09-08,251,0.0959
2019-09-13,256,0.0921
2019-09-18,261,0.0853
2019-09-23,266,0.1058
2019-09-28,271,0.1152
2019-10-18,291,0.1103
2019-10-23,296,0.1142
2019-11-02,306,0.1501
2019-11-07,311,0.1771
2019-11-17,321,0.1517
2019-11-27,331,0.1556
2019-12-02,336,0.1872
2019-12-12,346,0.1604
2019-12-22,356,0.1751
2019-12-27,361,0.1662
2020-01-01,1,0.1888
2020-01-06,6,0.1733
2020-01-16,16,0.1716
2020-01-31,31,0.1819
2020-02-05,36,0.1707
2020-02-10,41,0.2039
2020-02-15,46,0.2021
2020-02-20,51,0.21
2020-02-25,56,0.2283
2020-03-01,61,0.241
2020-03-11,71,0.2668
2020-03-21,81,0.2009
2020-03-26,86,0.2534
2020-03-31,91,0.2085
2020-04-05,96,0.1644
2020-04-30,121,0.2047
2020-05-05,126,0.224
2020-05-10,131,0.2748
2020-05-20,141,0.2408
2020-05-25,146,0.2222
2020-06-04,156,0.2141
2020-06-09,161,0.2372
2020-06-14,166,0.2047
2020-06-19,171,0.1808
2020-06-24,176,0.1937
