date,doy,ndvi_mean
2019-01-16,16,0.2224
2019-01-21,21,0.2131
2019-02-10,41,0.1968
2019-02-15,46,0.1955
2019-03-02,61,0.1938
2019-03-12,71,0.1892
2019-03-17,76,0.1966
2019-04-06,96,0.201
2019-04-11,101,0.1848
2019-04-16,106,0.1893
2019-04-26,116,0.1957
2019-05-01,121,0.2152
2019-05-06,126,0.2029
2019-05-11,131,0.183
2019-05-16,136,0.2074
2019-05-31,151,0.1837
2019-06-05,156,0.1772
2019-06-10,161,0.175
2019-06-15,166,0.1621
2019-06-25,176,0.1688
2019-06-30,181,0.1644
2019-07-05,186,0.1617
2019-07-10,191,0.1589
2019-07-15,196,0.1537
2019-07-20,201,0.1602
2019-07-25,206,0.1571
2019-07-30,211,0.0713
2019-08-04,216,0.1512
2019-08-09,221,0.1526
2019-08-14,226,0.1548
2019-08-19,231,0.146
2019-08-24,236,0.1553
2019-09-03,246,0.1504
2019-09-13,256,0.185
2019-09-28,271,0.2379
2019-10-18,291,0.1976
2019-11-02,306,0.1877
2019-11-07,311,0.2301
2019-11-27,331,0.205
2019-12-02,336,0.21
2019-12-07,341,0.232
2019-12-12,346,0.245
2019-12-27,361,0.2614
2020-01-06,6,0.2607
2020-01-26,26,0.215
2020-01-31,31,0.2574
2020-02-10,41,0.2642
2020-02-15,46,0.265
2020-02-20,51,0.2661
2020-02-25,56,0.2582
2020-03-01,61,0.2485
2020-03-26,86,0.2245
2020-04-05,96,0.2085
2020-04-30,121,0.193
2020-05-05,126,0.1857
2020-05-10,131,0.1783
2020-05-20,141,0.1807
2020-05-25,146,0.1824
2020-05-30,151,0.1812
2020-06-04,156,0.1646
2020-06-09,161,0.1075
2020-06-14,166,0.1639
2020-06-19,171,0.1712
2020-06-24,176,0.1738
2020-06-29,181,0.1612
2020-07-04,186,0.1572
2020-07-09,191,0.1457
2020-07-14,196,0.1474
2020-07-19,201,0.1626
2020-07-24,206,0.1609
2020-07-29,211,0.1618
2020-08-03,216,0.1465
2020-08-08,221,0.1562
2020-08-13,226,0.143
2020-08-18,231,0.1497
2020-08-23,236,0.1567
2020-08-28,241,0.1645
2020-09-07,251,0.1628
2020-09-12,256,0.0345
2020-09-17,261,0.1999
2020-09-27,271,0.2618
2020-10-02,276,0.2624
2020-10-17,291,0.2613
2020-10-22,296,0.2569
2020-11-01,306,0.2352
2020-11-06,311,0.2104
2020-11-11,316,0.2346
2020-11-26,331,0.2403
2020-12-01,336,0.216
2020-12-06,341,0.2398
2020-12-11,346,0.2275
2020-12-16,351,0.2175
2020-12-31,366,0.2545
2021-01-15,15,0.2461
2021-01-30,30,0.2367
2021-02-04,35,0.2294
2021-02-09,40,0.2297
2021-02-19,50,0.2368
2021-03-01,60,0.1864
2021-03-06,65,0.1084
2021-03-11,70,0.2176
2021-03-26,85,0.2045
2021-03-31,90,0.1963
2021-04-25,115,0.1955
2021-05-10,130,0.1737
2021-05-15,135,0.1869
2021-05-20,140,0.1749
2021-05-25,145,0.1631
2021-05-30,150,0.1701
2021-06-04,155,0.1706
2021-06-09,160,0.181
2021-06-14,165,0.1794
2021-06-19,170,0.1557
2021-06-24,175,0.1199
2021-06-29,180,0.151
2021-07-04,185,0.1606
2021-07-09,190,0.1498
2021-07-14,195,0.1506
2021-07-19,200,0.1642
2021-07-24,205,0.1756
2021-07-29,210,0.1716
2021-08-03,215,0.1566
2021-08-08,220,0.1506
2021-08-13,225,0.1522
2021-08-18,230,0.1486
2021-08-23,235,0.1725
2021-08-28,240,0.1557
2021-09-02,245,0.1388
2021-09-07,250,0.1097
2021-09-12,255,0.1595
2021-09-17,260,0.1492
2021-09-27,270,0.1294
2021-10-07,280,0.0061
2021-10-12,285,0.1743
2021-10-17,290,0.17
2021-11-11,315,0.201
2021-11-26,330,0.2331
2021-12-01,335,0.222
2021-12-21,355,0.2308
2021-12-31,365,0.2221
2022-01-05,5,0.2264
2022-01-15,15,0.2666
2022-01-20,20,0.2522
2022-01-30,30,0.239
2022-02-04,35,0.2427
2022-02-09,40,0.2297
2022-03-01,60,0.0498
2022-03-06,65,0.2093
2022-03-11,70,0.1994
2022-04-10,100,0.1887
2022-04-25,115,0.1745
2022-05-10,130,0.116
2022-05-15,135,0.1669
2022-05-20,140,0.1712
2022-05-20,140,0.1711
2022-06-04,155,0.1622
2022-06-14,165,0.1546
2022-06-19,170,0.1502
2022-06-24,175,0.1557
2022-07-04,185,0.1485
2022-07-09,190,0.1536
2022-07-14,195,0.1448
2022-07-19,200,0.1583
2022-07-24,205,0.1599
2022-07-29,210,0.1457
2022-08-03,215,0.0923
2022-08-08,220,0.1469
2022-08-13,225,0.1454
2022-08-18,230,0.1475
2022-08-23,235,0.1421
2022-08-28,240,0.1229
2022-09-02,245,0.1312
2022-09-12,255,0.1369
2022-10-02,275,0.1646
2022-10-07,280,0.1219
2022-10-22,295,0.163
2022-10-27,300,0.1676
2022-11-01,305,0.1603
2022-11-16,320,0.1642
2022-11-16,320,0.1642
2022-11-21,325,0.1649
2022-12-01,335,0.1719
2022-12-16,350,0.1717
2022-12-21,355,0.1737
2022-12-26,360,0.1772
2022-12-31,365,0.1771
2023-01-05,5,0.1684
2023-01-15,15,0.1768
2023-01-20,20,0.1628
2023-02-04,35,0.1706
2023-02-14,45,0.1669
2023-02-19,50,0.1586
2023-03-01,60,0.177
2023-03-16,75,0.1827
2023-03-26,85,0.1944
2023-04-10,100,0.1866
2023-04-25,115,0.179
2023-06-19,170,0.2139
2023-06-24,175,0.1976
2023-06-29,180,0.1853
2023-07-04,185,0.1835
2023-07-09,190,0.1773
2023-07-14,195,0.1967
2023-07-19,200,0.1789
2023-07-24,205,0.18
2023-07-29,210,0.1657
2023-08-03,215,0.1595
2023-08-08,220,0.1814
2023-08-13,225,0.1706
2023-08-18,230,0.1726
2023-08-23,235,0.1622
2023-09-07,250,0.1659
2023-09-12,255,0.1696
2023-09-17,260,0.1776
2023-09-22,265,0.1749
2023-09-27,270,0.1685
2023-10-02,275,0.1784
2023-10-12,285,0.1778
2023-10-17,290,0.1827
2023-10-27,300,0.1743
2023-11-11,315,0.1756
2023-11-16,320,0.177
2023-11-21,325,0.1795
2023-11-26,330,0.1874
2023-12-11,345,0.1709
2023-12-26,360,0.2039
2023-12-31,365,0.1963
2024-01-20,20,0.211
2024-01-25,25,0.2239
2024-01-30,30,0.222
2024-02-04,35,0.2207
2024-02-14,45,0.2222
2024-02-19,50,0.2138
2024-03-15,75,0.1919
2024-03-20,80,0.1975
2024-03-30,90,0.1912
2024-04-04,95,0.2023
2024-04-19,110,0.2009
2024-05-04,125,0.1826
2024-05-19,140,0.1689
2024-05-29,150,0.1714
2024-06-08,160,0.1677
2024-06-13,165,0.1546
2024-06-23,175,0.157
2024-06-28,180,0.1547
2024-07-03,185,0.1613
2024-07-13,195,0.1581
2024-07-18,200,0.1626
2024-07-23,205,0.156
2024-07-28,210,0.1658
2024-08-07,220,0.16
2024-08-12,225,0.1527
2024-08-27,240,0.1666
2024-09-06,250,0.1507
2024-09-11,255,0.1579
2024-09-16,260,0.1589
2024-09-21,265,0.155
2024-09-26,270,0.1766
2024-10-01,275,0.1834
2024-10-06,280,0.1732
2024-11-05,310,0.1982
2024-11-10,315,0.2502
2024-11-15,320,0.2069
2024-11-20,325,0.2397
2024-12-10,345,0.2826
2024-12-10,345,0.2821
