date,doy,ndvi_mean
2019-01-01,1,0.1237
2019-01-06,6,0.1412
2019-01-16,16,0.141
2019-01-26,26,0.1419
2019-02-10,41,0.1429
2019-02-15,46,0.1437
2019-02-25,56,0.136
2019-02-25,56,0.1366
2019-03-02,61,0.1421
2019-03-07,66,0.1366
2019-03-12,71,0.1343
2019-03-17,76,0.1386
2019-04-06,96,0.1272
2019-04-11,101,0.1192
2019-04-16,106,0.1254
2019-04-26,116,0.1346
2019-05-01,121,0.1463
2019-05-06,126,0.1417
2019-05-11,131,0.1222
2019-05-16,136,0.148
2019-05-31,151,0.1276
2019-06-05,156,0.1297
2019-06-10,161,0.0956
2019-06-25,176,0.1251
2019-06-30,181,0.1173
2019-07-05,186,0.1136
2019-07-10,191,0.1172
2019-07-15,196,0.1083
2019-07-20,201,0.1069
2019-07-25,206,0.1158
2019-07-30,211,0.101
2019-08-04,216,0.106
2019-08-09,221,0.1066
2019-08-14,226,0.104
2019-08-19,231,0.1007
2019-08-24,236,0.1059
2019-08-29,241,0.0477
2019-09-03,246,0.1058
2019-09-08,251,0.0634
2019-09-13,256,0.0585
2019-09-28,271,0.1274
2019-10-18,291,0.1306
2019-10-23,296,0.1157
2019-11-02,306,0.1378
2019-11-07,311,0.16
2019-11-17,321,0.1487
2019-11-27,331,0.1444
2019-12-02,336,0.1316
2019-12-12,346,0.158
2019-12-22,356,0.149
2019-12-27,361,0.1529
2020-01-01,1,0.1692
2020-01-06,6,0.1481
2020-01-16,16,0.0344
2020-01-31,31,0.1411
2020-02-05,36,0.1124
2020-02-10,41,0.1562
2020-02-15,46,0.1454
2020-02-20,51,0.1534
2020-02-25,56,0.1526
2020-03-01,61,0.1515
2020-03-11,71,0.0715
2020-03-21,81,0.1241
2020-03-26,86,0.1412
2020-03-31,91,0.1279
2020-04-05,96,0.1376
2020-04-05,96,0.1373
2020-04-10,101,0.1281
2020-04-30,121,0.1297
2020-05-05,126,0.1267
2020-05-10,131,0.1254
2020-05-20,141,0.1293
2020-05-25,146,0.1272
2020-05-30,151,0.1279
2020-06-04,156,0.1145
2020-06-09,161,0.1108
2020-06-14,166,0.1086
2020-06-19,171,0.1226
2020-06-24,176,0.1189
2020-06-29,181,0.1138
2020-07-04,186,0.1138
2020-07-09,191,0.1165
2020-07-14,196,0.1068
2020-07-19,201,0.0936
2020-07-24,206,0.1192
2020-07-29,211,0.121
2020-08-03,216,0.0951
2020-08-08,221,0.116
2020-08-13,226,0.1067
2020-08-18,231,0.1117
2020-08-23,236,0.1103
2020-08-28,241,0.1232
2020-09-07,251,0.1185
2020-09-12,256,0.1139
2020-09-17,261,0.1358
2020-09-27,271,0.1499
2020-10-02,276,0.1445
2020-10-17,291,0.1507
2020-10-22,296,0.1343
2020-11-01,306,0.1341
2020-11-06,311,0.1175
2020-11-06,311,0.1031
2020-11-11,316,0.1368
2020-11-21,326,0.1192
2020-11-26,331,0.1359
2020-12-01,336,0.1296
2020-12-06,341,0.1578
2020-12-11,346,0.1574
2020-12-16,351,0.138
2020-12-31,366,0.1552
2021-01-15,15,0.1569
2021-01-30,30,0.1488
2021-02-09,40,0.1544
2021-02-19,50,0.1595
2021-03-01,60,0.1305
2021-03-06,65,0.1316
2021-03-11,70,0.1371
2021-03-16,75,0.137
2021-03-26,85,0.1387
2021-03-31,90,0.1324
2021-04-25,115,0.1154
2021-04-25,115,0.1117
2021-05-10,130,0.1109
2021-05-15,135,0.1259
2021-05-20,140,0.1154
2021-05-25,145,0.11
2021-05-25,145,0.1105
2021-05-30,150,0.1107
2021-06-04,155,0.1148
2021-06-09,160,0.1181
2021-06-14,165,0.1242
2021-06-19,170,0.1047
2021-06-24,175,0.1057
2021-06-29,180,0.1065
2021-07-04,185,0.1141
2021-07-09,190,0.1093
2021-07-14,195,0.1089
2021-07-19,200,0.1126
2021-07-24,205,0.1227
2021-07-29,210,0.1168
2021-08-03,215,0.1107
2021-08-08,220,0.1062
2021-08-13,225,0.115
2021-08-18,230,0.0976
2021-08-23,235,0.1186
2021-08-28,240,0.1056
2021-09-02,245,0.0986
2021-09-07,250,0.1084
2021-09-12,255,0.0987
2021-09-17,260,0.11
2021-09-22,265,0.089
2021-09-27,270,0.0994
2021-10-07,280,0.1146
2021-10-12,285,0.1236
2021-10-17,290,0.1179
2021-10-22,295,0.0917
2021-11-01,305,0.1072
2021-11-11,315,0.135
2021-12-01,335,0.1318
2021-12-21,355,0.1466
2021-12-31,365,0.1364
2022-01-05,5,0.1406
2022-01-15,15,0.1564
2022-01-20,20,0.1519
2022-01-30,30,0.1416
2022-02-04,35,0.1472
2022-02-09,40,0.1454
2022-03-01,60,0.1368
2022-03-11,70,0.135
2022-03-31,90,0.1234
2022-04-10,100,0.1204
2022-05-15,135,0.1257
2022-05-20,140,0.1224
2022-06-04,155,0.1275
2022-06-14,165,0.1212
2022-06-19,170,0.1173
2022-06-19,170,0.117
2022-06-24,175,0.1245
2022-06-24,175,0.1232
2022-06-29,180,0.1152
2022-07-04,185,0.1173
2022-07-09,190,0.1268
2022-07-09,190,0.121
2022-07-14,195,0.1144
2022-07-19,200,0.1285
2022-07-24,205,0.1295
2022-07-29,210,0.1155
2022-08-03,215,0.0794
2022-08-08,220,0.1182
2022-08-13,225,0.1144
2022-08-18,230,0.1131
2022-08-23,235,0.106
2022-08-28,240,0.1115
2022-09-02,245,0.0984
2022-09-12,255,0.1051
2022-10-02,275,0.1288
2022-10-07,280,0.1011
2022-10-17,290,0.0715
2022-10-22,295,0.1305
2022-10-27,300,0.143
2022-11-01,305,0.1327
2022-11-06,310,0.1265
2022-11-16,320,0.1347
2022-11-21,325,0.1351
