date,doy,ndvi_mean
2019-01-01,1,0.1182
2019-01-06,6,0.1333
2019-01-16,16,0.1339
2019-01-26,26,0.135
2019-02-10,41,0.1412
2019-02-15,46,0.14
2019-02-25,56,0.1285
2019-02-25,56,0.1306
2019-03-02,61,0.1357
2019-03-07,66,0.1304
2019-03-12,71,0.1276
2019-03-17,76,0.1326
2019-04-06,96,0.1219
2019-04-11,101,0.1148
2019-04-16,106,0.1195
2019-04-26,116,0.1286
2019-05-01,121,0.1394
2019-05-06,126,0.1353
2019-05-11,131,0.116
2019-05-16,136,0.1412
2019-05-31,151,0.1212
2019-06-05,156,0.1238
2019-06-10,161,0.092
2019-06-25,176,0.1186
2019-06-30,181,0.1096
2019-07-05,186,0.1075
2019-07-10,191,0.1101
2019-07-15,196,0.1027
2019-07-20,201,0.0997
2019-07-25,206,0.1102
2019-07-30,211,0.095
2019-08-04,216,0.1004
2019-08-09,221,0.0996
2019-08-14,226,0.0971
2019-08-19,231,0.0955
2019-08-24,236,0.1024
2019-08-29,241,0.0731
2019-09-03,246,0.1036
2019-09-08,251,0.0699
2019-09-13,256,0.0429
2019-09-28,271,0.1216
2019-10-18,291,0.1263
2019-10-23,296,0.1088
2019-11-02,306,0.1325
2019-11-07,311,0.1517
2019-11-17,321,0.1401
2019-11-27,331,0.1384
2019-12-02,336,0.1052
2019-12-12,346,0.1547
2019-12-22,356,0.1469
2019-12-27,361,0.1506
2020-01-01,1,0.1544
2020-01-06,6,0.1451
2020-01-16,16,0.0367
2020-01-31,31,0.145
2020-02-05,36,0.1171
2020-02-10,41,0.1601
2020-02-15,46,0.1488
2020-02-20,51,0.1546
2020-02-25,56,0.1534
2020-03-01,61,0.1527
2020-03-11,71,0.0792
2020-03-21,81,0.0964
2020-03-26,86,0.1418
2020-03-31,91,0.1271
2020-04-05,96,0.1365
2020-04-05,96,0.135
2020-04-10,101,0.1267
2020-04-30,121,0.1264
2020-05-05,126,0.1251
2020-05-10,131,0.1252
2020-05-20,141,0.1262
2020-05-25,146,0.1243
2020-05-30,151,0.1277
2020-06-04,156,0.111
2020-06-09,161,0.1049
2020-06-14,166,0.1062
2020-06-19,171,0.1214
2020-06-24,176,0.1156
2020-06-29,181,0.1081
2020-07-04,186,0.1094
