date,doy,ndvi_mean
2019-01-01,1,0.1583
2019-01-06,6,0.1662
2019-01-16,16,0.1662
2019-01-26,26,0.1237
2019-02-10,41,0.1511
2019-02-15,46,0.1507
2019-02-25,56,0.1425
2019-02-25,56,0.1414
2019-03-02,61,0.1471
2019-03-07,66,0.1405
2019-03-12,71,0.14
2019-03-17,76,0.1451
2019-04-06,96,0.1349
2019-04-11,101,0.0798
2019-04-16,106,0.1484
2019-04-26,116,0.1626
2019-05-01,121,0.1759
2019-05-06,126,0.173
2019-05-11,131,0.1447
2019-05-16,136,0.1636
2019-05-31,151,0.1375
2019-06-05,156,0.1354
2019-06-10,161,0.1105
2019-06-25,176,0.1242
2019-06-30,181,0.1154
2019-07-05,186,0.1128
2019-07-10,191,0.1159
2019-07-15,196,0.1069
2019-07-20,201,0.1061
2019-07-25,206,0.1161
2019-07-30,211,0.1006
2019-08-04,216,0.1052
2019-08-09,221,0.1095
2019-08-14,226,0.1085
2019-08-19,231,0.1012
2019-08-24,236,0.1063
2019-08-29,241,0.0241
2019-09-03,246,0.1105
2019-09-08,251,0.0841
2019-09-13,256,0.1061
2019-09-28,271,0.2173
2019-10-18,291,0.1544
2019-10-23,296,0.1362
2019-11-02,306,0.1366
2019-11-07,311,0.1565
2019-11-17,321,0.1474
2019-11-27,331,0.1488
2019-12-02,336,0.1499
2019-12-12,346,0.1743
2019-12-22,356,0.1618
2019-12-27,361,0.169
2020-01-01,1,0.1685
2020-01-06,6,0.17
2020-01-16,16,0.0205
2020-01-31,31,0.1882
2020-02-05,36,0.2098
2020-02-10,41,0.213
2020-02-15,46,0.2074
2020-02-20,51,0.2133
2020-02-25,56,0.2109
2020-03-01,61,0.2036
2020-03-11,71,0.1863
2020-03-21,81,0.1146
2020-03-26,86,0.1808
2020-03-31,91,0.1759
2020-04-05,96,0.1661
2020-04-05,96,0.1662
2020-04-10,101,0.1465
2020-04-30,121,0.1581
2020-05-05,126,0.1532
2020-05-10,131,0.1476
2020-05-20,141,0.1439
2020-05-25,146,0.1393
2020-05-30,151,0.1304
2020-06-04,156,0.1213
2020-06-09,161,0.1065
2020-06-14,166,0.1161
2020-06-19,171,0.1233
2020-06-24,176,0.1182
2020-06-29,181,0.1088
2020-07-04,186,0.1121
2020-07-09,191,0.1149
2020-07-14,196,0.1009
2020-07-19,201,0.1008
2020-07-24,206,0.121
2020-07-29,211,0.12
2020-08-03,216,0.111
2020-08-08,221,0.1164
2020-08-13,226,0.1035
2020-08-18,231,0.111
2020-08-23,236,0.1113
2020-08-28,241,0.124
2020-09-07,251,0.1303
2020-09-12,256,0.134
2020-09-17,261,0.1905
2020-09-27,271,0.2633
2020-10-02,276,0.2624
2020-10-17,291,0.201
2020-10-22,296,0.1819
2020-11-01,306,0.1461
2020-11-06,311,0.1498
2020-11-11,316,0.1541
2020-11-21,326,0.1506
2020-11-26,331,0.1721
2020-12-01,336,0.1503
2020-12-06,341,0.176
2020-12-11,346,0.1619
2020-12-16,351,0.1608
2020-12-31,366,0.1906
2021-01-15,15,0.1949
2021-01-30,30,0.1902
2021-02-09,40,0.1897
2021-02-19,50,0.1884
2021-03-01,60,0.1538
2021-03-06,65,0.1109
2021-03-11,70,0.1349
2021-03-16,75,0.1337
2021-03-26,85,0.142
2021-03-31,90,0.1347
2021-04-25,115,0.1341
2021-04-25,115,0.134
2021-05-10,130,0.1137
2021-05-15,135,0.1288
2021-05-20,140,0.1164
2021-05-25,145,0.1108
2021-05-25,145,0.1108
2021-05-30,150,0.1108
2021-06-04,155,0.1136
2021-06-09,160,0.1172
2021-06-14,165,0.1205
2021-06-19,170,0.1
2021-06-24,175,0.1055
2021-06-29,180,0.1006
2021-07-04,185,0.1099
2021-07-09,190,0.1046
2021-07-14,195,0.1036
2021-07-19,200,0.1056
2021-07-24,205,0.1181
2021-07-29,210,0.1125
2021-08-03,215,0.1037
2021-08-08,220,0.1006
2021-08-13,225,0.1038
2021-08-18,230,0.0912
2021-08-23,235,0.121
2021-08-28,240,0.106
2021-09-02,245,0.0933
2021-09-07,250,0.1059
2021-09-12,255,0.0839
2021-09-17,260,0.107
2021-09-22,265,0.0873
2021-09-27,270,0.0971
2021-10-07,280,0.1107
2021-10-12,285,0.1206
2021-10-17,290,0.1127
2021-10-22,295,0.0834
2021-11-01,305,0.0884
2021-11-11,315,0.1253
2021-12-01,335,0.125
2021-12-21,355,0.1308
2021-12-31,365,0.1269
2022-01-05,5,0.1348
2022-01-15,15,0.1523
2022-01-20,20,0.1442
2022-01-30,30,0.1293
2022-02-04,35,0.1363
2022-02-09,40,0.1353
2022-03-01,60,0.1383
2022-03-11,70,0.1286
2022-03-31,90,0.1177
2022-04-10,100,0.1345
2022-05-15,135,0.1608
2022-05-20,140,0.1379
2022-06-04,155,0.135
2022-06-14,165,0.1263
2022-06-19,170,0.1233
2022-06-19,170,0.1231
2022-06-24,175,0.1276
2022-06-24,175,0.1276
2022-06-29,180,0.1172
2022-07-04,185,0.1213
2022-07-09,190,0.1249
2022-07-09,190,0.1231
2022-07-14,195,0.094
2022-07-19,200,0.1303
2022-07-24,205,0.1313
2022-07-29,210,0.1189
2022-08-03,215,0.1055
2022-08-08,220,0.1205
2022-08-13,225,0.1171
2022-08-18,230,0.1225
2022-08-23,235,0.0825
2022-08-28,240,0.111
2022-09-02,245,0.1027
2022-09-12,255,0.1036
2022-10-02,275,0.1232
2022-10-07,280,0.0653
2022-10-17,290,0.0791
2022-10-22,295,0.1288
2022-10-27,300,0.138
2022-11-01,305,0.1276
2022-11-06,310,0.1011
2022-11-16,320,0.1334
2022-11-21,325,0.1329
2022-12-01,335,0.1329
2022-12-11,345,0.1314
2022-12-16,350,0.1368
2022-12-21,355,0.1351
2022-12-26,360,0.1426
2022-12-31,365,0.1355
2023-01-05,5,0.1388
2023-01-10,10,0.1288
2023-01-15,15,0.1428
2023-01-20,20,0.1216
2023-02-04,35,0.1363
2023-02-14,45,0.1459
2023-02-19,50,0.1331
