date,doy,ndvi_mean
2019-01-01,1,0.1574
2019-01-06,6,0.1604
2019-01-16,16,0.1575
2019-01-26,26,0.1532
2019-02-10,41,0.1577
2019-02-15,46,0.1562
2019-02-25,56,0.1505
2019-02-25,56,0.1487
2019-03-02,61,0.1554
2019-03-07,66,0.1489
2019-03-12,71,0.1484
2019-03-17,76,0.1536
2019-04-06,96,0.1398
2019-04-11,101,0.1176
2019-04-16,106,0.137
2019-04-26,116,0.1455
2019-05-01,121,0.1501
2019-05-06,126,0.148
2019-05-11,131,0.129
2019-05-16,136,0.1505
2019-05-31,151,0.1321
2019-06-05,156,0.1343
2019-06-10,161,0.1174
2019-06-25,176,0.1299
2019-06-30,181,0.1219
2019-07-05,186,0.1201
2019-07-10,191,0.1224
2019-07-15,196,0.1118
2019-07-20,201,0.1133
2019-07-25,206,0.1232
2019-07-30,211,0.1051
2019-08-04,216,0.1109
2019-08-09,221,0.112
2019-08-14,226,0.1129
2019-08-19,231,0.1071
2019-08-24,236,0.1125
2019-08-29,241,0.0354
2019-09-03,246,0.1196
2019-09-08,251,0.0827
2019-09-13,256,0.0832
2019-09-28,271,0.1592
2019-10-18,291,0.1301
2019-10-23,296,0.1191
2019-11-02,306,0.1354
2019-11-07,311,0.1539
2019-11-17,321,0.142
2019-11-27,331,0.1401
2019-12-02,336,0.1378
2019-12-12,346,0.1597
2019-12-22,356,0.1522
2019-12-27,361,0.1582
2020-01-01,1,0.171
2020-01-06,6,0.1612
2020-01-16,16,0.0205
2020-01-31,31,0.1612
2020-02-05,36,0.1755
2020-02-10,41,0.1753
2020-02-15,46,0.1634
2020-02-20,51,0.169
2020-02-25,56,0.1685
2020-03-01,61,0.1672
2020-03-11,71,0.1472
2020-03-21,81,0.1035
2020-03-26,86,0.1533
2020-03-31,91,0.1404
2020-04-05,96,0.1426
2020-04-05,96,0.1427
2020-04-10,101,0.1362
2020-04-30,121,0.1381
2020-05-05,126,0.1333
2020-05-10,131,0.1325
2020-05-20,141,0.1337
2020-05-25,146,0.1324
2020-05-30,151,0.1388
2020-06-04,156,0.118
2020-06-09,161,0.0814
2020-06-14,166,0.1134
2020-06-19,171,0.1236
2020-06-24,176,0.1178
2020-06-29,181,0.1094
