date,doy,ndvi_mean
2019-01-01,1,0.1788
2019-01-06,6,0.1781
2019-01-16,16,0.1774
2019-01-26,26,0.1667
2019-02-10,41,0.1602
2019-02-15,46,0.1563
2019-02-25,56,0.148
2019-02-25,56,0.1466
2019-03-02,61,0.1555
2019-03-07,66,0.1486
2019-03-12,71,0.1463
2019-03-17,76,0.1569
2019-04-06,96,0.1669
2019-04-11,101,0.1666
2019-04-16,106,0.1699
2019-04-26,116,0.1684
2019-05-01,121,0.1792
2019-05-06,126,0.169
2019-05-11,131,0.1467
2019-05-16,136,0.1673
2019-05-31,151,0.1362
2019-06-05,156,0.138
2019-06-10,161,0.1334
2019-06-25,176,0.1267
2019-06-30,181,0.1208
2019-07-05,186,0.116
2019-07-10,191,0.1211
2019-07-15,196,0.1064
2019-07-20,201,0.1111
2019-07-25,206,0.1129
2019-07-30,211,0.1002
2019-08-04,216,0.1031
2019-08-09,221,0.1106
2019-08-14,226,0.1099
2019-08-19,231,0.1065
2019-08-24,236,0.1082
2019-08-29,241,0.0495
2019-09-03,246,0.1134
2019-09-08,251,0.0659
2019-09-13,256,0.101
2019-09-28,271,0.2064
2019-10-18,291,0.166
2019-10-23,296,0.1389
2019-11-02,306,0.1544
2019-11-07,311,0.1878
2019-11-17,321,0.175
2019-11-27,331,0.1739
2019-12-02,336,0.1773
2019-12-12,346,0.2012
2019-12-22,356,0.1931
2019-12-27,361,0.2003
2020-01-01,1,0.2239
2020-01-06,6,0.2083
2020-01-16,16,0.0545
2020-01-31,31,0.2147
2020-02-05,36,0.1336
2020-02-10,41,0.2234
2020-02-15,46,0.2175
2020-02-20,51,0.2178
2020-02-25,56,0.2163
2020-03-01,61,0.21
2020-03-11,71,0.1417
2020-03-21,81,0.1573
2020-03-26,86,0.1959
2020-03-31,91,0.1759
2020-04-05,96,0.1851
2020-04-05,96,0.1853
2020-04-10,101,0.1347
2020-04-30,121,0.1642
2020-05-05,126,0.1586
2020-05-10,131,0.1448
2020-05-20,141,0.1424
2020-05-25,146,0.1425
2020-05-30,151,0.1457
2020-06-04,156,0.1234
2020-06-09,161,0.1061
2020-06-14,166,0.1172
2020-06-19,171,0.1294
2020-06-24,176,0.1277
2020-06-29,181,0.1175
2020-07-04,186,0.1194
2020-07-09,191,0.1127
2020-07-14,196,0.1081
2020-07-19,201,0.1072
2020-07-24,206,0.1195
2020-07-29,211,0.1178
2020-08-03,216,0.1091
2020-08-08,221,0.1142
2020-08-13,226,0.1078
2020-08-18,231,0.1122
2020-08-23,236,0.115
2020-08-28,241,0.1216
2020-09-07,251,0.1304
2020-09-12,256,0.1243
2020-09-17,261,0.168
2020-09-27,271,0.1917
2020-10-02,276,0.2362
2020-10-17,291,0.2453
2020-10-22,296,0.221
2020-11-01,306,0.1985
2020-11-06,311,0.1856
2020-11-11,316,0.1957
2020-11-21,326,0.1635
2020-11-26,331,0.2083
2020-12-01,336,0.1916
2020-12-06,341,0.2119
2020-12-11,346,0.2106
2020-12-16,351,0.1833
2020-12-31,366,0.204
2021-01-15,15,0.1971
2021-01-30,30,0.1956
2021-02-09,40,0.1937
2021-02-19,50,0.2022
2021-03-01,60,0.1525
2021-03-06,65,0.135
2021-03-11,70,0.1892
2021-03-16,75,0.1806
2021-03-26,85,0.1752
2021-03-31,90,0.1705
2021-04-25,115,0.1512
2021-04-25,115,0.1511
2021-05-10,130,0.1336
2021-05-15,135,0.1451
2021-05-20,140,0.1347
2021-05-25,145,0.1251
2021-05-25,145,0.1251
2021-05-30,150,0.1281
2021-06-04,155,0.1279
2021-06-09,160,0.1342
2021-06-14,165,0.1342
2021-06-19,170,0.1159
2021-06-24,175,0.109
2021-06-29,180,0.1164
2021-07-04,185,0.1213
2021-07-09,190,0.1201
2021-07-14,195,0.1139
2021-07-19,200,0.1189
2021-07-24,205,0.1297
2021-07-29,210,0.1239
2021-08-03,215,0.1145
2021-08-08,220,0.114
2021-08-13,225,0.1156
2021-08-18,230,0.1068
2021-08-23,235,0.1257
2021-08-28,240,0.1161
2021-09-02,245,0.1041
2021-09-07,250,0.1182
2021-09-12,255,0.1202
2021-09-17,260,0.122
2021-09-22,265,0.0996
2021-09-27,270,0.11
2021-10-07,280,0.1253
2021-10-12,285,0.135
2021-10-17,290,0.1236
2021-10-22,295,0.1197
2021-11-01,305,0.1218
2021-11-11,315,0.1492
2021-12-01,335,0.1487
2021-12-21,355,0.1551
2021-12-31,365,0.152
2022-01-05,5,0.1599
2022-01-15,15,0.1756
2022-01-20,20,0.1591
2022-01-30,30,0.1437
2022-02-04,35,0.1527
2022-02-09,40,0.1445
2022-03-01,60,0.1538
2022-03-11,70,0.1395
2022-03-31,90,0.118
2022-04-10,100,0.1558
2022-05-15,135,0.1476
2022-05-20,140,0.1417
2022-06-04,155,0.1352
2022-06-14,165,0.1237
2022-06-19,170,0.1145
2022-06-19,170,0.1148
2022-06-24,175,0.1236
2022-06-24,175,0.1233
2022-06-29,180,0.1116
2022-07-04,185,0.116
2022-07-09,190,0.1197
2022-07-09,190,0.118
2022-07-14,195,0.1049
2022-07-19,200,0.1255
2022-07-24,205,0.1279
2022-07-29,210,0.1115
2022-08-03,215,0.0641
2022-08-08,220,0.1174
2022-08-13,225,0.1137
2022-08-18,230,0.1155
2022-08-23,235,0.1023
2022-08-28,240,0.1062
2022-09-02,245,0.0975
2022-09-12,255,0.1034
2022-10-02,275,0.1198
2022-10-07,280,0.0698
2022-10-17,290,0.0438
2022-10-22,295,0.1222
2022-10-27,300,0.1317
2022-11-01,305,0.1229
2022-11-06,310,0.0607
2022-11-16,320,0.1266
2022-11-21,325,0.1271
2022-12-01,335,0.1285
2022-12-11,345,0.1211
2022-12-16,350,0.129
2022-12-21,355,0.1303
2022-12-26,360,0.1336
2022-12-31,365,0.1381
2023-01-05,5,0.1297
2023-01-10,10,0.1264
2023-01-15,15,0.1352
2023-01-20,20,0.1271
2023-02-04,35,0.1296
2023-02-14,45,0.1361
2023-02-19,50,0.1299
2023-02-24,55,0.1191
2023-03-01,60,0.13
2023-03-11,70,0.129
2023-03-16,75,0.1386
2023-03-26,85,0.1553
2023-03-31,90,0.1567
2023-04-10,100,0.1654
2023-04-15,105,0.1555
2023-04-25,115,0.1428
2023-05-20,140,0.1364
2023-06-14,165,0.1174
2023-06-19,170,0.122
2023-06-24,175,0.1119
2023-06-29,180,0.1126
2023-07-04,185,0.1062
2023-07-14,195,0.1259
2023-07-19,200,0.1109
2023-07-24,205,0.113
2023-07-29,210,0.1006
2023-08-03,215,0.0928
2023-08-08,220,0.1104
2023-08-13,225,0.1034
2023-08-18,230,0.1052
2023-08-23,235,0.0947
2023-09-02,245,0.09
2023-09-07,250,0.0976
2023-09-12,255,0.0967
2023-09-17,260,0.1028
2023-09-22,265,0.1054
2023-09-27,270,0.0762
2023-10-02,275,0.1083
2023-10-07,280,0.116
2023-10-12,285,0.1107
2023-10-17,290,0.1172
2023-10-22,295,0.0688
2023-10-27,300,0.1174
2023-11-11,315,0.1151
2023-11-16,320,0.1173
2023-11-21,325,0.1185
2023-11-26,330,0.1218
2023-12-11,345,0.1261
2023-12-16,350,0.1261
2023-12-21,355,0.119
2023-12-26,360,0.1418
2023-12-31,365,0.1198
2024-01-05,5,0.1439
2024-01-20,20,0.1463
2024-01-25,25,0.1649
2024-01-30,30,0.1743
2024-02-04,35,0.1783
2024-02-14,45,0.1925
2024-02-19,50,0.1942
2024-03-05,65,0.1914
2024-03-15,75,0.1765
2024-03-20,80,0.1695
2024-03-30,90,0.1587
2024-04-04,95,0.1504
2024-05-04,125,0.1266
2024-05-19,140,0.1096
2024-06-08,160,0.1077
2024-06-18,170,0.1065
2024-06-23,175,0.1013
2024-06-28,180,0.1026
2024-07-03,185,0.1068
2024-07-08,190,0.0985
2024-07-13,195,0.1024
2024-07-18,200,0.1094
2024-07-23,205,0.1
2024-07-28,210,0.1116
2024-08-07,220,0.1087
2024-08-12,225,0.1003
2024-08-22,235,0.0962
2024-08-27,240,0.1135
2024-09-06,250,0.1306
2024-09-11,255,0.0913
2024-09-16,260,0.1561
2024-09-26,270,0.2321
2024-10-01,275,0.2512
2024-10-11,285,0.2031
2024-11-05,310,0.2405
2024-11-10,315,0.2311
2024-11-15,320,0.2374
2024-11-20,325,0.2497
2024-11-30,335,0.0249
2024-12-05,340,0.2016
2024-12-25,360,0.2126
