date,doy,ndvi_mean
2019-01-01,1,0.1684
2019-01-06,6,0.1686
2019-01-16,16,0.1707
2019-01-26,26,0.1686
2019-02-10,41,0.1518
2019-02-15,46,0.1591
2019-02-25,56,0.1571
2019-02-25,56,0.1558
2019-03-02,61,0.1652
2019-03-07,66,0.1574
2019-03-12,71,0.1543
2019-03-17,76,0.1631
2019-04-06,96,0.1338
2019-04-11,101,0.1444
2019-04-16,106,0.1431
2019-04-26,116,0.1503
2019-05-01,121,0.161
2019-05-06,126,0.1563
2019-05-11,131,0.1383
2019-05-16,136,0.1572
2019-05-31,151,0.1421
2019-06-05,156,0.1421
2019-06-10,161,0.1381
2019-06-25,176,0.1386
2019-06-30,181,0.1326
2019-07-05,186,0.1274
2019-07-10,191,0.1343
2019-07-15,196,0.1185
2019-07-20,201,0.1265
2019-07-25,206,0.128
2019-07-30,211,0.1144
2019-08-04,216,0.1164
2019-08-09,221,0.1212
2019-08-14,226,0.1231
2019-08-19,231,0.1196
2019-08-24,236,0.1211
2019-08-29,241,0.1118
2019-09-03,246,0.1188
2019-09-08,251,0.0761
2019-09-13,256,0.0383
2019-09-28,271,0.1593
2019-10-18,291,0.1337
2019-10-23,296,0.1228
2019-11-02,306,0.1368
2019-11-07,311,0.1637
2019-11-17,321,0.1566
2019-11-27,331,0.1569
2019-12-02,336,0.1544
2019-12-12,346,0.1696
2019-12-22,356,0.1532
2019-12-27,361,0.1706
2020-01-01,1,0.1823
2020-01-06,6,0.1631
2020-01-16,16,0.0594
2020-01-31,31,0.1567
2020-02-05,36,0.1716
2020-02-10,41,0.1706
2020-02-15,46,0.1637
2020-02-20,51,0.1676
2020-02-25,56,0.1713
2020-03-01,61,0.1668
2020-03-11,71,0.1173
2020-03-21,81,0.1357
2020-03-26,86,0.1582
2020-03-31,91,0.1369
2020-04-05,96,0.1534
2020-04-05,96,0.1535
2020-04-10,101,0.0809
2020-04-30,121,0.1395
2020-05-05,126,0.138
2020-05-10,131,0.1341
2020-05-20,141,0.1429
2020-05-25,146,0.1454
2020-05-30,151,0.1504
2020-06-04,156,0.1282
2020-06-09,161,0.1288
2020-06-14,166,0.1245
2020-06-19,171,0.1339
2020-06-24,176,0.1335
2020-06-29,181,0.1243
2020-07-04,186,0.1291
2020-07-09,191,0.1203
2020-07-14,196,0.1214
2020-07-19,201,0.0946
2020-07-24,206,0.1336
2020-07-29,211,0.1322
2020-08-03,216,0.1254
2020-08-08,221,0.1276
2020-08-13,226,0.1214
2020-08-18,231,0.1196
2020-08-23,236,0.1248
2020-08-28,241,0.133
2020-09-07,251,0.1281
2020-09-12,256,0.1214
2020-09-17,261,0.142
2020-09-27,271,0.1449
2020-10-02,276,0.1544
2020-10-17,291,0.1686
2020-10-22,296,0.121
2020-11-01,306,0.1429
2020-11-06,311,0.151
2020-11-11,316,0.158
2020-11-21,326,0.1428
2020-11-26,331,0.1497
2020-12-01,336,0.148
2020-12-06,341,0.169
2020-12-11,346,0.1761
2020-12-16,351,0.1528
2020-12-31,366,0.1755
2021-01-15,15,0.1788
2021-01-30,30,0.1696
2021-02-09,40,0.1681
2021-02-19,50,0.1788
2021-03-01,60,0.1431
2021-03-06,65,0.1268
2021-03-11,70,0.1383
2021-03-16,75,0.148
2021-03-26,85,0.1555
2021-03-31,90,0.1541
2021-04-25,115,0.1463
2021-04-25,115,0.1463
2021-05-10,130,0.1311
2021-05-15,135,0.1428
2021-05-20,140,0.1342
2021-05-25,145,0.1252
2021-05-25,145,0.1252
2021-05-30,150,0.1298
2021-06-04,155,0.131
2021-06-09,160,0.1405
2021-06-14,165,0.1412
2021-06-19,170,0.1224
2021-06-24,175,0.1231
2021-06-29,180,0.1252
2021-07-04,185,0.1311
2021-07-09,190,0.129
2021-07-14,195,0.1241
2021-07-19,200,0.1315
2021-07-24,205,0.1406
2021-07-29,210,0.1348
2021-08-03,215,0.1254
2021-08-08,220,0.1218
2021-08-13,225,0.1233
2021-08-18,230,0.1149
2021-08-23,235,0.1363
2021-08-28,240,0.1242
2021-09-02,245,0.1101
2021-09-07,250,0.1272
2021-09-12,255,0.1269
2021-09-17,260,0.1273
2021-09-22,265,0.0965
2021-09-27,270,0.1154
2021-10-07,280,0.129
2021-10-12,285,0.146
2021-10-17,290,0.128
2021-10-22,295,0.119
2021-11-01,305,0.1375
2021-11-11,315,0.1627
2021-12-01,335,0.1527
2021-12-21,355,0.1573
2021-12-31,365,0.1537
2022-01-05,5,0.1607
2022-01-15,15,0.1759
2022-01-20,20,0.1648
2022-01-30,30,0.1522
2022-02-04,35,0.1646
2022-02-09,40,0.1535
2022-03-01,60,0.1591
2022-03-11,70,0.1484
2022-03-31,90,0.1255
2022-04-10,100,0.1406
2022-05-15,135,0.1412
2022-05-20,140,0.1434
2022-06-04,155,0.1403
2022-06-14,165,0.1335
2022-06-19,170,0.1242
2022-06-19,170,0.1243
2022-06-24,175,0.134
2022-06-24,175,0.1341
2022-06-29,180,0.1013
2022-07-04,185,0.126
2022-07-09,190,0.1297
2022-07-09,190,0.1278
2022-07-14,195,0.1291
2022-07-19,200,0.1393
2022-07-24,205,0.1421
