date,doy,ndvi_mean
2019-01-01,1,0.1675
2019-01-06,6,0.1705
2019-01-16,16,0.1707
2019-01-26,26,0.1618
2019-02-10,41,0.1556
2019-02-15,46,0.1551
2019-02-25,56,0.1562
2019-02-25,56,0.1547
2019-03-02,61,0.1661
2019-03-07,66,0.1573
2019-03-12,71,0.1573
2019-03-17,76,0.1631
2019-04-06,96,0.138
2019-04-11,101,0.1465
2019-04-16,106,0.149
2019-04-26,116,0.1548
2019-05-01,121,0.165
2019-05-06,126,0.1588
2019-05-11,131,0.1406
2019-05-16,136,0.1589
2019-05-31,151,0.1408
2019-06-05,156,0.1389
2019-06-10,161,0.1359
2019-06-25,176,0.1348
2019-06-30,181,0.1287
2019-07-05,186,0.1254
2019-07-10,191,0.1301
2019-07-15,196,0.1155
2019-07-20,201,0.1229
2019-07-25,206,0.1231
2019-07-30,211,0.1105
2019-08-04,216,0.1131
2019-08-09,221,0.119
2019-08-14,226,0.1198
2019-08-19,231,0.1169
2019-08-24,236,0.1175
2019-08-29,241,0.0877
2019-09-03,246,0.125
2019-09-08,251,0.0672
2019-09-13,256,0.1329
2019-09-28,271,0.1724
2019-10-18,291,0.1412
2019-10-23,296,0.1267
2019-11-02,306,0.1535
2019-11-07,311,0.1867
2019-11-17,321,0.1705
2019-11-27,331,0.1622
2019-12-02,336,0.1602
2019-12-12,346,0.1746
2019-12-22,356,0.1636
2019-12-27,361,0.1729
2020-01-01,1,0.1918
2020-01-06,6,0.1641
2020-01-16,16,0.0489
2020-01-31,31,0.1547
2020-02-05,36,0.1718
2020-02-10,41,0.1708
2020-02-15,46,0.1651
2020-02-20,51,0.1714
2020-02-25,56,0.1759
2020-03-01,61,0.1726
2020-03-11,71,0.1309
2020-03-21,81,0.145
2020-03-26,86,0.1731
2020-03-31,91,0.1525
2020-04-05,96,0.162
2020-04-05,96,0.1621
2020-04-10,101,0.1091
2020-04-30,121,0.1459
2020-05-05,126,0.1448
2020-05-10,131,0.1386
2020-05-20,141,0.1467
2020-05-25,146,0.1496
2020-05-30,151,0.1555
2020-06-04,156,0.1301
2020-06-09,161,0.1282
