date,doy,ndvi_mean
2019-01-01,1,0.1886
2019-01-06,6,0.1931
2019-01-16,16,0.1967
2019-01-26,26,0.1916
2019-02-10,41,0.1807
2019-02-15,46,0.181
2019-02-25,56,0.1819
2019-02-25,56,0.1787
2019-03-02,61,0.1881
2019-03-07,66,0.1757
2019-03-12,71,0.174
2019-03-17,76,0.1805
2019-04-06,96,0.1552
2019-04-11,101,0.1581
2019-04-16,106,0.1631
2019-04-26,116,0.1653
2019-05-01,121,0.177
2019-05-06,126,0.1674
2019-05-11,131,0.1487
2019-05-16,136,0.1716
2019-05-31,151,0.1524
2019-06-05,156,0.1508
2019-06-10,161,0.1446
2019-06-25,176,0.1523
2019-06-30,181,0.1455
2019-07-05,186,0.1431
2019-07-10,191,0.1472
2019-07-15,196,0.1283
2019-07-20,201,0.1403
2019-07-25,206,0.1411
2019-07-30,211,0.1256
2019-08-04,216,0.1268
2019-08-09,221,0.1334
2019-08-14,226,0.1357
2019-08-19,231,0.1314
2019-08-24,236,0.1305
2019-08-29,241,0.0883
2019-09-03,246,0.1352
2019-09-08,251,0.0778
2019-09-13,256,0.1138
2019-09-28,271,0.1959
2019-10-18,291,0.1388
2019-10-23,296,0.1345
2019-11-02,306,0.1546
2019-11-07,311,0.1873
2019-11-17,321,0.1741
2019-11-27,331,0.1794
2019-12-02,336,0.1819
2019-12-12,346,0.2057
2019-12-22,356,0.1911
2019-12-27,361,0.204
2020-01-01,1,0.2368
2020-01-06,6,0.2114
2020-01-16,16,0.0943
2020-01-31,31,0.2071
2020-02-05,36,0.2216
2020-02-10,41,0.2191
2020-02-15,46,0.2143
2020-02-20,51,0.2155
2020-02-25,56,0.2164
2020-03-01,61,0.2122
2020-03-11,71,0.1118
2020-03-21,81,0.1605
2020-03-26,86,0.1931
2020-03-31,91,0.17
2020-04-05,96,0.1786
2020-04-05,96,0.1786
2020-04-10,101,0.0726
2020-04-30,121,0.1631
2020-05-05,126,0.1603
2020-05-10,131,0.1503
2020-05-20,141,0.1572
2020-05-25,146,0.1598
2020-05-30,151,0.1716
2020-06-04,156,0.1398
2020-06-09,161,0.1335
2020-06-14,166,0.1343
2020-06-19,171,0.1451
2020-06-24,176,0.1469
2020-06-29,181,0.1346
2020-07-04,186,0.1411
2020-07-09,191,0.1328
2020-07-14,196,0.1316
2020-07-19,201,0.0259
2020-07-24,206,0.1441
2020-07-29,211,0.1425
2020-08-03,216,0.1337
2020-08-08,221,0.1395
2020-08-13,226,0.1325
2020-08-18,231,0.1341
2020-08-23,236,0.1394
2020-08-28,241,0.1499
2020-09-07,251,0.1453
2020-09-12,256,0.1484
2020-09-17,261,0.1619
2020-09-27,271,0.1622
2020-10-02,276,0.1891
2020-10-17,291,0.1967
2020-10-22,296,0.1662
2020-11-01,306,0.163
2020-11-06,311,0.1665
2020-11-11,316,0.181
2020-11-21,326,0.1604
2020-11-26,331,0.1813
2020-12-01,336,0.1695
2020-12-06,341,0.1961
2020-12-11,346,0.2063
2020-12-16,351,0.179
2020-12-31,366,0.2098
2021-01-15,15,0.2047
2021-01-30,30,0.1967
2021-02-09,40,0.1853
2021-02-19,50,0.1928
2021-03-01,60,0.1476
2021-03-06,65,0.0867
2021-03-11,70,0.1716
2021-03-16,75,0.1661
2021-03-26,85,0.1654
2021-03-31,90,0.167
2021-04-25,115,0.1538
2021-04-25,115,0.1537
2021-05-10,130,0.1401
2021-05-15,135,0.1546
2021-05-20,140,0.1425
2021-05-25,145,0.1342
2021-05-25,145,0.1342
2021-05-30,150,0.1385
2021-06-04,155,0.1393
2021-06-09,160,0.1478
2021-06-14,165,0.1505
2021-06-19,170,0.1346
2021-06-24,175,0.14
2021-06-29,180,0.1366
2021-07-04,185,0.1434
2021-07-09,190,0.1448
2021-07-14,195,0.1379
2021-07-19,200,0.1445
2021-07-24,205,0.157
2021-07-29,210,0.1476
