date,doy,ndvi_mean
2019-01-01,1,0.1836
2019-01-06,6,0.1857
2019-01-16,16,0.1892
2019-01-26,26,0.1685
2019-02-10,41,0.1697
2019-02-15,46,0.1678
2019-02-25,56,0.1688
2019-02-25,56,0.1661
2019-03-02,61,0.1792
2019-03-07,66,0.1725
2019-03-12,71,0.1693
2019-03-17,76,0.1784
2019-04-06,96,0.142
2019-04-11,101,0.1643
2019-04-16,106,0.1592
2019-04-26,116,0.1636
2019-05-01,121,0.178
2019-05-06,126,0.1689
2019-05-11,131,0.1501
2019-05-16,136,0.1715
2019-05-31,151,0.1552
2019-06-05,156,0.1505
2019-06-10,161,0.1417
2019-06-25,176,0.1467
2019-06-30,181,0.1397
2019-07-05,186,0.139
2019-07-10,191,0.1422
2019-07-15,196,0.1235
2019-07-20,201,0.1326
2019-07-25,206,0.1317
2019-07-30,211,0.1181
2019-08-04,216,0.1198
2019-08-09,221,0.1292
2019-08-14,226,0.131
2019-08-19,231,0.1258
2019-08-24,236,0.1246
2019-08-29,241,0.0455
2019-09-03,246,0.1318
2019-09-08,251,0.0625
2019-09-13,256,0.0276
2019-09-28,271,0.179
2019-10-18,291,0.1429
2019-10-23,296,0.1316
2019-11-02,306,0.1479
2019-11-07,311,0.1825
2019-11-17,321,0.1765
2019-11-27,331,0.1665
2019-12-02,336,0.1676
2019-12-12,346,0.1868
2019-12-22,356,0.1713
2019-12-27,361,0.1871
2020-01-01,1,0.2138
2020-01-06,6,0.1864
2020-01-16,16,0.0714
2020-01-31,31,0.1856
2020-02-05,36,0.1804
2020-02-10,41,0.202
2020-02-15,46,0.1969
2020-02-20,51,0.1942
2020-02-25,56,0.1963
2020-03-01,61,0.1884
2020-03-11,71,0.1315
2020-03-21,81,0.1446
2020-03-26,86,0.1805
2020-03-31,91,0.1559
2020-04-05,96,0.1637
2020-04-05,96,0.164
2020-04-10,101,0.0812
2020-04-30,121,0.1554
2020-05-05,126,0.1545
2020-05-10,131,0.1503
2020-05-20,141,0.1579
2020-05-25,146,0.1601
2020-05-30,151,0.1723
2020-06-04,156,0.1394
2020-06-09,161,0.1366
2020-06-14,166,0.1328
2020-06-19,171,0.1423
2020-06-24,176,0.1449
2020-06-29,181,0.1331
2020-07-04,186,0.1385
2020-07-09,191,0.1365
2020-07-14,196,0.1262
2020-07-19,201,0.1358
2020-07-24,206,0.1381
2020-07-29,211,0.1376
2020-08-03,216,0.1293
2020-08-08,221,0.133
2020-08-13,226,0.1263
2020-08-18,231,0.126
2020-08-23,236,0.1334
2020-08-28,241,0.1417
2020-09-07,251,0.1446
2020-09-12,256,0.1443
2020-09-17,261,0.1685
2020-09-27,271,0.169
2020-10-02,276,0.1966
2020-10-17,291,0.1848
2020-10-22,296,0.0485
2020-11-01,306,0.1833
2020-11-06,311,0.171
2020-11-11,316,0.1835
2020-11-21,326,0.1576
2020-11-26,331,0.1937
2020-12-01,336,0.178
2020-12-06,341,0.1937
2020-12-11,346,0.211
2020-12-16,351,0.1797
2020-12-31,366,0.1988
2021-01-15,15,0.1878
2021-01-30,30,0.1877
2021-02-09,40,0.1845
2021-02-19,50,0.196
2021-03-01,60,0.1613
2021-03-06,65,0.1221
2021-03-11,70,0.1761
2021-03-16,75,0.1754
2021-03-26,85,0.1735
2021-03-31,90,0.1756
2021-04-25,115,0.1662
2021-04-25,115,0.1662
2021-05-10,130,0.1488
2021-05-15,135,0.164
2021-05-20,140,0.1519
2021-05-25,145,0.1389
2021-05-25,145,0.1388
2021-05-30,150,0.1443
2021-06-04,155,0.143
2021-06-09,160,0.1525
2021-06-14,165,0.1539
2021-06-19,170,0.1324
2021-06-24,175,0.1334
2021-06-29,180,0.1314
2021-07-04,185,0.1383
2021-07-09,190,0.1416
2021-07-14,195,0.1341
2021-07-19,200,0.1395
2021-07-24,205,0.1499
2021-07-29,210,0.1432
2021-08-03,215,0.134
2021-08-08,220,0.1307
2021-08-13,225,0.1298
2021-08-18,230,0.1218
2021-08-23,235,0.1466
2021-08-28,240,0.1339
2021-09-02,245,0.1197
2021-09-07,250,0.1372
2021-09-12,255,0.1369
2021-09-17,260,0.1424
2021-09-22,265,0.1011
2021-09-27,270,0.124
2021-10-07,280,0.145
2021-10-12,285,0.1503
2021-10-17,290,0.1443
2021-10-22,295,0.0982
2021-11-01,305,0.1269
2021-11-11,315,0.163
2021-12-01,335,0.1578
2021-12-21,355,0.1617
2021-12-31,365,0.1598
2022-01-05,5,0.1674
2022-01-15,15,0.1937
2022-01-20,20,0.1745
2022-01-30,30,0.1603
2022-02-04,35,0.1694
2022-02-09,40,0.1643
2022-03-01,60,0.1774
2022-03-11,70,0.1657
2022-03-31,90,0.1501
2022-04-10,100,0.1562
2022-05-15,135,0.1513
2022-05-20,140,0.1485
2022-06-04,155,0.1436
2022-06-14,165,0.1331
2022-06-19,170,0.1239
2022-06-19,170,0.1242
2022-06-24,175,0.135
2022-06-24,175,0.1345
2022-06-29,180,0.0901
2022-07-04,185,0.1267
2022-07-09,190,0.1284
2022-07-09,190,0.1268
2022-07-14,195,0.1173
2022-07-19,200,0.1359
2022-07-24,205,0.1382
2022-07-29,210,0.1241
2022-08-03,215,0.0659
2022-08-08,220,0.1254
2022-08-13,225,0.1245
2022-08-18,230,0.127
2022-08-23,235,0.1152
2022-08-28,240,0.1213
2022-09-02,245,0.1145
2022-09-12,255,0.1196
2022-10-02,275,0.1389
2022-10-07,280,0.0601
2022-10-17,290,0.0947
2022-10-22,295,0.1398
2022-10-27,300,0.1488
2022-11-01,305,0.1392
2022-11-06,310,0.0441
2022-11-16,320,0.1459
2022-11-21,325,0.1454
2022-12-01,335,0.1464
2022-12-11,345,0.1425
2022-12-16,350,0.148
2022-12-21,355,0.1492
2022-12-26,360,0.1526
2022-12-31,365,0.1585
2023-01-05,5,0.1492
2023-01-10,10,0.1437
2023-01-15,15,0.155
2023-01-20,20,0.1459
2023-02-04,35,0.1465
2023-02-14,45,0.1504
2023-02-19,50,0.1441
2023-02-24,55,0.1361
2023-03-01,60,0.1527
2023-03-11,70,0.1519
2023-03-16,75,0.1593
2023-03-26,85,0.1736
2023-03-31,90,0.1751
2023-04-10,100,0.1599
2023-04-15,105,0.1583
2023-04-25,115,0.148
2023-05-20,140,0.0279
2023-06-14,165,0.1224
2023-06-19,170,0.1302
2023-06-24,175,0.1256
2023-06-29,180,0.1243
2023-07-04,185,0.1225
2023-07-14,195,0.1448
2023-07-19,200,0.1288
2023-07-24,205,0.1319
2023-07-29,210,0.1178
2023-08-03,215,0.1118
2023-08-08,220,0.1299
2023-08-13,225,0.1236
2023-08-18,230,0.1257
2023-08-23,235,0.1138
2023-09-02,245,0.1174
