date,doy,ndvi_mean
2019-01-01,1,0.1686
2019-01-06,6,0.171
2019-01-16,16,0.1727
2019-01-26,26,0.1737
2019-02-10,41,0.1612
2019-02-15,46,0.161
2019-02-25,56,0.1573
2019-02-25,56,0.157
2019-03-02,61,0.1672
2019-03-07,66,0.159
2019-03-12,71,0.1557
2019-03-17,76,0.164
2019-04-06,96,0.1404
2019-04-11,101,0.1526
2019-04-16,106,0.1501
2019-04-26,116,0.1552
2019-05-01,121,0.1622
2019-05-06,126,0.1584
2019-05-11,131,0.1412
2019-05-16,136,0.158
2019-05-31,151,0.1408
2019-06-05,156,0.1396
2019-06-10,161,0.1361
2019-06-25,176,0.1347
2019-06-30,181,0.129
2019-07-05,186,0.1255
2019-07-10,191,0.1306
2019-07-15,196,0.1168
2019-07-20,201,0.1237
2019-07-25,206,0.124
2019-07-30,211,0.1103
2019-08-04,216,0.1126
2019-08-09,221,0.1168
2019-08-14,226,0.1175
2019-08-19,231,0.1159
2019-08-24,236,0.1151
2019-08-29,241,0.1149
2019-09-03,246,0.1159
2019-09-08,251,0.0701
2019-09-13,256,0.0036
2019-09-28,271,0.1646
2019-10-18,291,0.1446
2019-10-23,296,0.1301
2019-11-02,306,0.1524
2019-11-07,311,0.1819
2019-11-17,321,0.1556
2019-11-27,331,0.1599
2019-12-02,336,0.1562
2019-12-12,346,0.1763
2019-12-22,356,0.1592
2019-12-27,361,0.1777
2020-01-01,1,0.1953
2020-01-06,6,0.1734
2020-01-16,16,0.0794
2020-01-31,31,0.1745
2020-02-05,36,0.1215
2020-02-10,41,0.1901
2020-02-15,46,0.186
2020-02-20,51,0.1863
2020-02-25,56,0.1859
2020-03-01,61,0.1795
2020-03-11,71,0.1644
2020-03-21,81,0.1466
2020-03-26,86,0.1698
2020-03-31,91,0.1463
2020-04-05,96,0.157
2020-04-05,96,0.157
2020-04-10,101,0.0786
2020-04-30,121,0.1449
2020-05-05,126,0.1428
2020-05-10,131,0.1356
2020-05-20,141,0.1403
2020-05-25,146,0.1435
2020-05-30,151,0.1502
2020-06-04,156,0.1265
2020-06-09,161,0.1229
2020-06-14,166,0.1219
2020-06-19,171,0.1346
2020-06-24,176,0.1325
2020-06-29,181,0.1213
2020-07-04,186,0.1255
2020-07-09,191,0.1043
2020-07-14,196,0.1184
2020-07-19,201,0.1267
2020-07-24,206,0.1292
2020-07-29,211,0.1282
2020-08-03,216,0.1225
2020-08-08,221,0.1234
2020-08-13,226,0.1185
2020-08-18,231,0.1184
2020-08-23,236,0.1227
2020-08-28,241,0.129
2020-09-07,251,0.1274
2020-09-12,256,0.1221
2020-09-17,261,0.1466
2020-09-27,271,0.0924
2020-10-02,276,0.1683
2020-10-17,291,0.1675
2020-10-22,296,0.1357
2020-11-01,306,0.1671
2020-11-06,311,0.1386
2020-11-11,316,0.1597
2020-11-21,326,0.1455
2020-11-26,331,0.1599
2020-12-01,336,0.1515
2020-12-06,341,0.1715
2020-12-11,346,0.1791
2020-12-16,351,0.1547
2020-12-31,366,0.183
2021-01-15,15,0.179
2021-01-30,30,0.171
2021-02-09,40,0.171
2021-02-19,50,0.1824
2021-03-01,60,0.1602
2021-03-06,65,0.1167
2021-03-11,70,0.153
2021-03-16,75,0.1555
2021-03-26,85,0.1557
2021-03-31,90,0.1514
2021-04-25,115,0.1458
2021-04-25,115,0.146
2021-05-10,130,0.1348
2021-05-15,135,0.1451
2021-05-20,140,0.1339
2021-05-25,145,0.1268
2021-05-25,145,0.1268
2021-05-30,150,0.1306
2021-06-04,155,0.1313
2021-06-09,160,0.138
2021-06-14,165,0.1403
2021-06-19,170,0.1228
2021-06-24,175,0.1248
2021-06-29,180,0.1234
2021-07-04,185,0.1306
2021-07-09,190,0.1263
2021-07-14,195,0.1222
2021-07-19,200,0.1293
2021-07-24,205,0.1394
2021-07-29,210,0.1322
2021-08-03,215,0.1229
2021-08-08,220,0.1201
2021-08-13,225,0.1218
2021-08-18,230,0.1137
2021-08-23,235,0.1347
2021-08-28,240,0.1232
2021-09-02,245,0.1102
2021-09-07,250,0.1252
2021-09-12,255,0.1282
2021-09-17,260,0.1268
2021-09-22,265,0.1029
2021-09-27,270,0.1148
2021-10-07,280,0.1288
2021-10-12,285,0.1372
2021-10-17,290,0.117
2021-10-22,295,0.1125
2021-11-01,305,0.1212
2021-11-11,315,0.1545
2021-12-01,335,0.1482
2021-12-21,355,0.1543
2021-12-31,365,0.1502
2022-01-05,5,0.1585
2022-01-15,15,0.1741
2022-01-20,20,0.1592
2022-01-30,30,0.1468
2022-02-04,35,0.1577
2022-02-09,40,0.1499
2022-03-01,60,0.1589
2022-03-11,70,0.1477
2022-03-31,90,0.1148
2022-04-10,100,0.1389
