date,doy,ndvi_mean
2019-01-01,1,0.1733
2019-01-06,6,0.1739
2019-01-16,16,0.1744
2019-01-26,26,0.1675
2019-02-10,41,0.164
2019-02-15,46,0.1647
2019-02-25,56,0.1607
2019-02-25,56,0.1591
2019-03-02,61,0.1671
2019-03-07,66,0.1598
2019-03-12,71,0.1573
2019-03-17,76,0.1652
2019-04-06,96,0.1521
2019-04-11,101,0.1511
2019-04-16,106,0.1507
2019-04-26,116,0.1602
2019-05-01,121,0.1736
2019-05-06,126,0.1642
2019-05-11,131,0.1477
2019-05-16,136,0.1644
2019-05-31,151,0.143
2019-06-05,156,0.1446
2019-06-10,161,0.1357
2019-06-25,176,0.1412
2019-06-30,181,0.1395
2019-07-05,186,0.1323
2019-07-10,191,0.1403
2019-07-15,196,0.1228
2019-07-20,201,0.1298
2019-07-25,206,0.1319
2019-07-30,211,0.1197
2019-08-04,216,0.1202
2019-08-09,221,0.1295
2019-08-14,226,0.127
2019-08-19,231,0.1245
2019-08-24,236,0.1239
2019-08-29,241,0.0317
2019-09-03,246,0.12
2019-09-08,251,0.0741
2019-09-13,256,0.1122
2019-09-28,271,0.1807
2019-10-18,291,0.1607
2019-10-23,296,0.1423
2019-11-02,306,0.1631
2019-11-07,311,0.1905
2019-11-17,321,0.1776
2019-11-27,331,0.1744
2019-12-02,336,0.1712
2019-12-12,346,0.1889
2019-12-22,356,0.1828
2019-12-27,361,0.1866
2020-01-01,1,0.1917
2020-01-06,6,0.1888
2020-01-16,16,0.0412
2020-01-31,31,0.1864
2020-02-05,36,0.1954
2020-02-10,41,0.2017
2020-02-15,46,0.1979
2020-02-20,51,0.2009
2020-02-25,56,0.2026
2020-03-01,61,0.1984
2020-03-11,71,0.0965
2020-03-21,81,0.146
2020-03-26,86,0.1863
2020-03-31,91,0.1653
2020-04-05,96,0.1774
2020-04-05,96,0.1775
2020-04-10,101,0.1442
2020-04-30,121,0.1425
2020-05-05,126,0.1473
2020-05-10,131,0.1414
2020-05-20,141,0.1467
2020-05-25,146,0.1502
2020-05-30,151,0.1496
2020-06-04,156,0.134
2020-06-09,161,0.1135
2020-06-14,166,0.1267
2020-06-19,171,0.1372
2020-06-24,176,0.1399
2020-06-29,181,0.1289
2020-07-04,186,0.1336
2020-07-09,191,0.131
2020-07-14,196,0.1265
2020-07-19,201,0.1275
2020-07-24,206,0.1346
2020-07-29,211,0.1312
2020-08-03,216,0.1077
2020-08-08,221,0.1275
2020-08-13,226,0.1219
2020-08-18,231,0.1219
2020-08-23,236,0.1259
2020-08-28,241,0.1327
2020-09-07,251,0.1409
2020-09-12,256,0.1422
2020-09-17,261,0.1702
2020-09-27,271,0.1913
2020-10-02,276,0.1994
2020-10-17,291,0.2008
2020-10-22,296,0.1828
2020-11-01,306,0.1826
2020-11-06,311,0.1552
2020-11-11,316,0.168
2020-11-21,326,0.1532
2020-11-26,331,0.1619
2020-12-01,336,0.1604
2020-12-06,341,0.1829
2020-12-11,346,0.1834
2020-12-16,351,0.1655
2020-12-31,366,0.1863
2021-01-15,15,0.1836
2021-01-30,30,0.18
2021-02-09,40,0.1786
2021-02-19,50,0.1875
2021-03-01,60,0.1654
2021-03-06,65,0.1287
2021-03-11,70,0.1729
2021-03-16,75,0.1646
2021-03-26,85,0.1651
2021-03-31,90,0.1625
2021-04-25,115,0.1385
2021-04-25,115,0.1378
2021-05-10,130,0.1353
2021-05-15,135,0.1469
2021-05-20,140,0.1396
2021-05-25,145,0.1297
2021-05-25,145,0.1296
2021-05-30,150,0.134
2021-06-04,155,0.1323
2021-06-09,160,0.1398
2021-06-14,165,0.1402
2021-06-19,170,0.125
2021-06-24,175,0.1141
2021-06-29,180,0.1264
2021-07-04,185,0.1213
2021-07-09,190,0.1306
2021-07-14,195,0.1251
2021-07-19,200,0.1326
2021-07-24,205,0.1405
2021-07-29,210,0.1395
2021-08-03,215,0.1269
2021-08-08,220,0.1283
2021-08-13,225,0.1262
2021-08-18,230,0.1192
2021-08-23,235,0.135
2021-08-28,240,0.1285
2021-09-02,245,0.1125
2021-09-07,250,0.1287
2021-09-12,255,0.1304
2021-09-17,260,0.1313
2021-09-22,265,0.1047
2021-09-27,270,0.1191
2021-10-07,280,0.1371
2021-10-12,285,0.1478
2021-10-17,290,0.1407
2021-10-22,295,0.1294
2021-11-01,305,0.1319
2021-11-11,315,0.1589
2021-12-01,335,0.1533
2021-12-21,355,0.157
2021-12-31,365,0.1529
2022-01-05,5,0.1611
2022-01-15,15,0.1816
2022-01-20,20,0.1689
2022-01-30,30,0.1587
2022-02-04,35,0.1725
2022-02-09,40,0.166
2022-03-01,60,0.1556
2022-03-11,70,0.1549
2022-03-31,90,0.1308
2022-04-10,100,0.1462
2022-05-15,135,0.1539
2022-05-20,140,0.1561
2022-06-04,155,0.1466
2022-06-14,165,0.1388
2022-06-19,170,0.1299
2022-06-19,170,0.1302
2022-06-24,175,0.1389
2022-06-24,175,0.1384
2022-06-29,180,0.1275
2022-07-04,185,0.1321
2022-07-09,190,0.1341
2022-07-09,190,0.1325
2022-07-14,195,0.1327
2022-07-19,200,0.139
2022-07-24,205,0.1439
2022-07-29,210,0.1266
2022-08-03,215,0.0974
2022-08-08,220,0.1297
2022-08-13,225,0.1277
2022-08-18,230,0.1268
2022-08-23,235,0.1168
2022-08-28,240,0.1212
2022-09-02,245,0.1126
2022-09-12,255,0.1186
2022-10-02,275,0.1358
2022-10-07,280,0.1075
2022-10-17,290,0.0395
2022-10-22,295,0.1351
2022-10-27,300,0.1424
2022-11-01,305,0.1391
2022-11-06,310,0.0827
2022-11-16,320,0.1413
2022-11-21,325,0.1436
2022-12-01,335,0.1472
2022-12-11,345,0.1423
2022-12-16,350,0.1439
2022-12-21,355,0.1454
2022-12-26,360,0.1477
2022-12-31,365,0.1533
2023-01-05,5,0.1447
2023-01-10,10,0.1405
2023-01-15,15,0.1498
2023-01-20,20,0.1411
2023-02-04,35,0.1437
2023-02-14,45,0.1439
2023-02-19,50,0.1411
2023-02-24,55,0.1223
2023-03-01,60,0.1527
2023-03-11,70,0.1424
2023-03-16,75,0.1484
2023-03-26,85,0.1595
2023-03-31,90,0.1609
2023-04-10,100,0.1524
2023-04-15,105,0.1489
2023-04-25,115,0.1411
2023-05-20,140,0.1445
2023-06-14,165,0.1283
2023-06-19,170,0.1374
2023-06-24,175,0.1274
2023-06-29,180,0.1297
2023-07-04,185,0.1248
2023-07-14,195,0.1417
2023-07-19,200,0.1307
2023-07-24,205,0.1304
2023-07-29,210,0.1185
2023-08-03,215,0.1119
2023-08-08,220,0.1305
2023-08-13,225,0.1223
2023-08-18,230,0.124
2023-08-23,235,0.1137
2023-09-02,245,0.0986
2023-09-07,250,0.1169
2023-09-12,255,0.127
2023-09-17,260,0.1248
2023-09-22,265,0.1252
2023-09-27,270,0.1085
2023-10-02,275,0.1229
2023-10-07,280,0.1359
2023-10-12,285,0.1296
2023-10-17,290,0.1372
2023-10-22,295,0.0681
2023-10-27,300,0.138
2023-11-11,315,0.133
2023-11-16,320,0.1351
2023-11-21,325,0.1348
2023-11-26,330,0.1428
2023-12-11,345,0.1384
2023-12-16,350,0.1436
2023-12-21,355,0.1412
2023-12-26,360,0.1493
2023-12-31,365,0.143
2024-01-05,5,0.1513
2024-01-20,20,0.151
2024-01-25,25,0.163
2024-01-30,30,0.1598
2024-02-04,35,0.1707
2024-02-14,45,0.1709
2024-02-19,50,0.1604
2024-03-05,65,0.1429
2024-03-15,75,0.1515
2024-03-20,80,0.1479
2024-03-30,90,0.1479
2024-04-04,95,0.1474
2024-05-04,125,0.1324
2024-05-19,140,0.1183
2024-06-08,160,0.1178
2024-06-18,170,0.115
2024-06-23,175,0.1138
2024-06-28,180,0.1117
2024-07-03,185,0.1201
2024-07-08,190,0.105
2024-07-13,195,0.1163
2024-07-18,200,0.1198
2024-07-23,205,0.1145
2024-07-28,210,0.1213
2024-08-07,220,0.1191
2024-08-12,225,0.1129
2024-08-22,235,0.121
2024-08-27,240,0.1243
2024-09-06,250,0.1516
2024-09-11,255,0.1289
2024-09-16,260,0.1649
2024-09-26,270,0.1956
2024-10-01,275,0.1995
2024-10-11,285,0.1877
2024-11-05,310,0.169
2024-11-10,315,0.1719
2024-11-15,320,0.1784
2024-11-20,325,0.1849
2024-11-30,335,0.0232
2024-12-05,340,0.1482
2024-12-25,360,0.1012
