date,doy,ndvi_mean
2019-01-01,1,0.1749
2019-01-06,6,0.1741
2019-01-16,16,0.1743
2019-01-26,26,0.1616
2019-02-10,41,0.1625
2019-02-15,46,0.1618
2019-02-25,56,0.1598
2019-02-25,56,0.1582
2019-03-02,61,0.166
2019-03-07,66,0.1593
2019-03-12,71,0.1593
2019-03-17,76,0.1664
2019-04-06,96,0.1585
2019-04-11,101,0.1586
2019-04-16,106,0.1594
2019-04-26,116,0.1655
2019-05-01,121,0.1795
2019-05-06,126,0.1692
2019-05-11,131,0.1519
2019-05-16,136,0.1696
2019-05-31,151,0.1494
2019-06-05,156,0.1451
2019-06-10,161,0.1307
2019-06-25,176,0.1418
2019-06-30,181,0.1391
2019-07-05,186,0.1321
2019-07-10,191,0.1398
2019-07-15,196,0.1223
2019-07-20,201,0.1299
2019-07-25,206,0.1318
2019-07-30,211,0.1191
2019-08-04,216,0.1193
2019-08-09,221,0.1287
2019-08-14,226,0.1265
2019-08-19,231,0.1236
2019-08-24,236,0.1228
2019-08-29,241,0.0602
2019-09-03,246,0.118
2019-09-08,251,0.0534
2019-09-13,256,0.0871
2019-09-28,271,0.1916
2019-10-18,291,0.165
2019-10-23,296,0.1423
2019-11-02,306,0.159
2019-11-07,311,0.1886
2019-11-17,321,0.1804
2019-11-27,331,0.1791
2019-12-02,336,0.179
2019-12-12,346,0.199
2019-12-22,356,0.1937
2019-12-27,361,0.1959
2020-01-01,1,0.2177
2020-01-06,6,0.1994
2020-01-16,16,0.0397
2020-01-31,31,0.1987
2020-02-05,36,0.1994
2020-02-10,41,0.2128
2020-02-15,46,0.2065
2020-02-20,51,0.2087
2020-02-25,56,0.2099
2020-03-01,61,0.206
2020-03-11,71,0.1265
2020-03-21,81,0.1373
2020-03-26,86,0.1892
2020-03-31,91,0.1652
2020-04-05,96,0.1788
2020-04-05,96,0.1786
2020-04-10,101,0.1571
2020-04-30,121,0.1533
2020-05-05,126,0.1541
2020-05-10,131,0.1463
2020-05-20,141,0.1499
2020-05-25,146,0.1519
2020-05-30,151,0.1528
2020-06-04,156,0.1358
2020-06-09,161,0.1199
2020-06-14,166,0.1296
2020-06-19,171,0.1414
2020-06-24,176,0.145
2020-06-29,181,0.1343
2020-07-04,186,0.1384
2020-07-09,191,0.1372
2020-07-14,196,0.1297
2020-07-19,201,0.1093
2020-07-24,206,0.1374
2020-07-29,211,0.135
2020-08-03,216,0.1129
2020-08-08,221,0.1305
2020-08-13,226,0.1247
2020-08-18,231,0.1264
2020-08-23,236,0.1295
2020-08-28,241,0.1358
2020-09-07,251,0.1388
2020-09-12,256,0.1446
2020-09-17,261,0.1695
2020-09-27,271,0.2028
2020-10-02,276,0.2088
2020-10-17,291,0.1818
2020-10-22,296,0.169
2020-11-01,306,0.182
2020-11-06,311,0.131
2020-11-11,316,0.1764
2020-11-21,326,0.1543
2020-11-26,331,0.1748
2020-12-01,336,0.1704
2020-12-06,341,0.1928
2020-12-11,346,0.1966
2020-12-16,351,0.1762
2020-12-31,366,0.1976
2021-01-15,15,0.194
2021-01-30,30,0.1921
2021-02-09,40,0.1938
2021-02-19,50,0.2003
2021-03-01,60,0.1676
2021-03-06,65,0.111
2021-03-11,70,0.183
2021-03-16,75,0.1754
2021-03-26,85,0.1666
2021-03-31,90,0.1611
2021-04-25,115,0.1421
2021-04-25,115,0.1421
2021-05-10,130,0.1375
2021-05-15,135,0.148
2021-05-20,140,0.1399
2021-05-25,145,0.1303
2021-05-25,145,0.1303
2021-05-30,150,0.1348
2021-06-04,155,0.1335
2021-06-09,160,0.1404
2021-06-14,165,0.1409
2021-06-19,170,0.1252
2021-06-24,175,0.1151
2021-06-29,180,0.1254
2021-07-04,185,0.12
2021-07-09,190,0.1294
2021-07-14,195,0.122
2021-07-19,200,0.1313
2021-07-24,205,0.14
2021-07-29,210,0.1354
2021-08-03,215,0.126
2021-08-08,220,0.1273
2021-08-13,225,0.1254
2021-08-18,230,0.1182
2021-08-23,235,0.1347
2021-08-28,240,0.1277
2021-09-02,245,0.1136
2021-09-07,250,0.1292
2021-09-12,255,0.1287
2021-09-17,260,0.1299
2021-09-22,265,0.1023
2021-09-27,270,0.1184
2021-10-07,280,0.1349
2021-10-12,285,0.1449
2021-10-17,290,0.1426
2021-10-22,295,0.1265
2021-11-01,305,0.1502
2021-11-11,315,0.1698
2021-12-01,335,0.1635
2021-12-21,355,0.1684
2021-12-31,365,0.163
2022-01-05,5,0.1704
2022-01-15,15,0.1938
2022-01-20,20,0.1831
2022-01-30,30,0.1707
2022-02-04,35,0.1803
2022-02-09,40,0.1672
2022-03-01,60,0.1783
2022-03-11,70,0.1734
2022-03-31,90,0.1445
2022-04-10,100,0.1535
2022-05-15,135,0.1497
2022-05-20,140,0.1415
2022-06-04,155,0.1459
2022-06-14,165,0.1364
2022-06-19,170,0.1272
2022-06-19,170,0.1275
2022-06-24,175,0.1364
2022-06-24,175,0.136
2022-06-29,180,0.1244
2022-07-04,185,0.1285
2022-07-09,190,0.1304
2022-07-09,190,0.1288
2022-07-14,195,0.1247
2022-07-19,200,0.1367
2022-07-24,205,0.1409
2022-07-29,210,0.124
2022-08-03,215,0.0801
2022-08-08,220,0.1295
2022-08-13,225,0.1279
2022-08-18,230,0.1268
2022-08-23,235,0.1175
2022-08-28,240,0.1205
2022-09-02,245,0.1124
2022-09-12,255,0.119
2022-10-02,275,0.137
2022-10-07,280,0.1128
2022-10-17,290,0.0515
2022-10-22,295,0.1396
2022-10-27,300,0.1452
2022-11-01,305,0.1406
2022-11-06,310,0.1185
2022-11-16,320,0.1421
2022-11-21,325,0.1443
2022-12-01,335,0.1485
2022-12-11,345,0.142
2022-12-16,350,0.1441
2022-12-21,355,0.1454
2022-12-26,360,0.1483
2022-12-31,365,0.1529
2023-01-05,5,0.145
2023-01-10,10,0.1407
2023-01-15,15,0.1492
2023-01-20,20,0.1419
2023-02-04,35,0.1453
2023-02-14,45,0.1414
2023-02-19,50,0.1387
2023-02-24,55,0.1225
2023-03-01,60,0.1468
2023-03-11,70,0.1353
2023-03-16,75,0.1493
2023-03-26,85,0.1606
2023-03-31,90,0.1607
2023-04-10,100,0.1516
2023-04-15,105,0.1488
2023-04-25,115,0.1437
2023-05-20,140,0.1364
2023-06-14,165,0.1378
2023-06-19,170,0.1502
2023-06-24,175,0.14
2023-06-29,180,0.1401
2023-07-04,185,0.1338
2023-07-14,195,0.148
2023-07-19,200,0.1352
2023-07-24,205,0.1344
2023-07-29,210,0.1219
2023-08-03,215,0.1161
2023-08-08,220,0.1329
2023-08-13,225,0.1252
2023-08-18,230,0.1266
2023-08-23,235,0.116
2023-09-02,245,0.1044
2023-09-07,250,0.1179
2023-09-12,255,0.1268
2023-09-17,260,0.1233
2023-09-22,265,0.1242
2023-09-27,270,0.1159
2023-10-02,275,0.1289
2023-10-07,280,0.1342
2023-10-12,285,0.1295
2023-10-17,290,0.1369
2023-10-22,295,0.0555
2023-10-27,300,0.1408
2023-11-11,315,0.1359
2023-11-16,320,0.1379
2023-11-21,325,0.1397
2023-11-21,325,0.1378
2023-11-26,330,0.1434
2023-12-11,345,0.1408
2023-12-16,350,0.1443
2023-12-21,355,0.1404
2023-12-26,360,0.1514
2023-12-31,365,0.1465
2024-01-05,5,0.16
2024-01-20,20,0.1581
2024-01-25,25,0.1725
2024-01-30,30,0.1696
2024-02-04,35,0.1796
2024-02-14,45,0.1847
2024-02-19,50,0.1765
2024-03-05,65,0.1183
2024-03-15,75,0.162
2024-03-20,80,0.1574
2024-03-30,90,0.1518
2024-04-04,95,0.1497
2024-05-04,125,0.1342
2024-05-19,140,0.1202
2024-06-08,160,0.1191
2024-06-18,170,0.1157
2024-06-23,175,0.1144
2024-06-28,180,0.1134
2024-07-03,185,0.1205
2024-07-08,190,0.1098
2024-07-13,195,0.117
2024-07-18,200,0.122
2024-07-23,205,0.1154
2024-07-28,210,0.1226
2024-08-07,220,0.1206
2024-08-12,225,0.1139
2024-08-22,235,0.1239
2024-08-27,240,0.128
2024-09-06,250,0.1654
2024-09-11,255,0.153
2024-09-16,260,0.1834
2024-09-26,270,0.2238
2024-10-01,275,0.2261
2024-10-11,285,0.2136
2024-11-05,310,0.1959
2024-11-10,315,0.1962
2024-11-15,320,0.1978
2024-11-20,325,0.2037
2024-11-30,335,0.029
2024-12-05,340,0.1565
2024-12-25,360,0.098
