date,doy,ndvi_mean
2019-01-01,1,0.1722
2019-01-06,6,0.1724
2019-01-16,16,0.1684
2019-01-26,26,0.1248
2019-02-10,41,0.1562
2019-02-15,46,0.1572
2019-02-25,56,0.158
2019-02-25,56,0.1565
2019-03-02,61,0.1604
2019-03-07,66,0.1525
2019-03-12,71,0.1516
2019-03-17,76,0.1574
2019-04-06,96,0.1399
2019-04-11,101,0.133
2019-04-16,106,0.1321
2019-04-26,116,0.1512
2019-05-01,121,0.1586
2019-05-06,126,0.1503
2019-05-11,131,0.1316
2019-05-16,136,0.1545
2019-05-31,151,0.1342
2019-06-05,156,0.1358
2019-06-10,161,0.1152
2019-06-25,176,0.131
2019-06-30,181,0.1237
2019-07-05,186,0.1194
2019-07-10,191,0.1302
2019-07-15,196,0.1174
2019-07-20,201,0.1182
2019-07-25,206,0.1268
2019-07-30,211,0.1106
2019-08-04,216,0.1142
2019-08-09,221,0.117
2019-08-14,226,0.1155
2019-08-19,231,0.1137
2019-08-24,236,0.1247
2019-08-29,241,0.1094
2019-09-03,246,0.1144
2019-09-08,251,0.0819
2019-09-13,256,0.1062
2019-09-28,271,0.133
2019-10-18,291,0.1339
2019-10-23,296,0.1218
2019-11-02,306,0.144
2019-11-07,311,0.1597
2019-11-17,321,0.1437
2019-11-27,331,0.1401
2019-12-02,336,0.0601
2019-12-12,346,0.1618
2019-12-22,356,0.1519
2019-12-27,361,0.1577
2020-01-01,1,0.1717
2020-01-06,6,0.1534
2020-01-16,16,0.0206
2020-01-31,31,0.1439
2020-02-05,36,0.1347
2020-02-10,41,0.1584
2020-02-15,46,0.1483
2020-02-20,51,0.1558
2020-02-25,56,0.1575
2020-03-01,61,0.1585
2020-03-11,71,0.1554
2020-03-21,81,0.1183
2020-03-26,86,0.1545
2020-03-31,91,0.1346
2020-04-05,96,0.1451
2020-04-05,96,0.1453
2020-04-10,101,0.1347
2020-04-30,121,0.1397
2020-05-05,126,0.1386
2020-05-10,131,0.1347
2020-05-20,141,0.1441
2020-05-25,146,0.1408
2020-05-30,151,0.1385
2020-06-04,156,0.1253
2020-06-09,161,0.1289
2020-06-14,166,0.1147
2020-06-19,171,0.125
2020-06-24,176,0.1295
2020-06-29,181,0.1296
2020-07-04,186,0.1315
2020-07-09,191,0.1341
2020-07-14,196,0.1221
2020-07-19,201,0.1213
2020-07-24,206,0.1333
2020-07-29,211,0.1343
2020-08-03,216,0.1267
2020-08-08,221,0.1309
2020-08-13,226,0.123
2020-08-18,231,0.1266
2020-08-23,236,0.1263
2020-08-28,241,0.1396
2020-09-07,251,0.1305
2020-09-12,256,0.1174
2020-09-17,261,0.1395
2020-09-27,271,0.1385
2020-10-02,276,0.1405
2020-10-17,291,0.1564
2020-10-22,296,0.1442
2020-11-01,306,0.146
2020-11-06,311,0.1219
2020-11-11,316,0.1519
2020-11-21,326,0.1116
2020-11-26,331,0.1462
2020-12-01,336,0.1368
2020-12-06,341,0.1635
2020-12-11,346,0.154
2020-12-16,351,0.1401
2020-12-31,366,0.161
2021-01-15,15,0.1616
2021-01-30,30,0.1571
2021-02-09,40,0.1582
2021-02-19,50,0.1755
2021-03-01,60,0.1241
2021-03-06,65,0.1413
2021-03-11,70,0.1551
