date,doy,ndvi_mean
2019-01-01,1,0.1698
2019-01-06,6,0.1717
2019-01-16,16,0.1612
2019-01-26,26,0.1598
2019-02-10,41,0.1569
2019-02-15,46,0.1584
2019-02-25,56,0.1532
2019-02-25,56,0.1518
2019-03-02,61,0.1581
2019-03-07,66,0.1507
2019-03-12,71,0.1502
2019-03-17,76,0.1567
2019-04-06,96,0.1433
2019-04-11,101,0.1363
2019-04-16,106,0.1383
2019-04-26,116,0.1492
2019-05-01,121,0.1602
2019-05-06,126,0.1536
2019-05-11,131,0.1354
2019-05-16,136,0.1586
2019-05-31,151,0.1394
2019-06-05,156,0.1398
2019-06-10,161,0.1157
2019-06-25,176,0.1347
2019-06-30,181,0.1305
2019-07-05,186,0.1257
2019-07-10,191,0.1296
2019-07-15,196,0.1178
2019-07-20,201,0.1217
2019-07-25,206,0.1298
2019-07-30,211,0.1135
2019-08-04,216,0.117
2019-08-09,221,0.1203
2019-08-14,226,0.119
2019-08-19,231,0.113
2019-08-24,236,0.1168
2019-08-29,241,0.1085
2019-09-03,246,0.1156
2019-09-08,251,0.0904
2019-09-13,256,0.1031
2019-09-28,271,0.1634
2019-10-18,291,0.1356
2019-10-23,296,0.1237
2019-11-02,306,0.1385
2019-11-07,311,0.1572
2019-11-17,321,0.1477
2019-11-27,331,0.1471
2019-12-02,336,0.0778
2019-12-12,346,0.1659
2019-12-22,356,0.1566
2019-12-27,361,0.1628
2020-01-01,1,0.1759
2020-01-06,6,0.156
2020-01-16,16,0.0186
2020-01-31,31,0.1493
2020-02-05,36,0.1358
2020-02-10,41,0.1652
2020-02-15,46,0.1564
2020-02-20,51,0.1632
2020-02-25,56,0.1655
2020-03-01,61,0.1654
2020-03-11,71,0.0841
2020-03-21,81,0.1346
2020-03-26,86,0.1613
2020-03-31,91,0.1416
2020-04-05,96,0.157
2020-04-05,96,0.1572
2020-04-10,101,0.1402
2020-04-30,121,0.1467
2020-05-05,126,0.1429
2020-05-10,131,0.1385
2020-05-20,141,0.146
2020-05-25,146,0.1435
2020-05-30,151,0.1422
2020-06-04,156,0.128
2020-06-09,161,0.1306
2020-06-14,166,0.1197
2020-06-19,171,0.1311
2020-06-24,176,0.1302
2020-06-29,181,0.1211
2020-07-04,186,0.1234
2020-07-09,191,0.1258
2020-07-14,196,0.116
2020-07-19,201,0.1015
2020-07-24,206,0.1267
2020-07-29,211,0.127
2020-08-03,216,0.1258
2020-08-08,221,0.1237
2020-08-13,226,0.1135
2020-08-18,231,0.1176
2020-08-23,236,0.122
2020-08-28,241,0.1334
2020-09-07,251,0.1357
2020-09-12,256,0.1281
2020-09-17,261,0.1546
2020-09-27,271,0.1655
2020-10-02,276,0.1641
2020-10-17,291,0.1734
2020-10-22,296,0.1597
2020-11-01,306,0.1606
2020-11-06,311,0.1506
2020-11-11,316,0.1606
2020-11-21,326,0.0908
2020-11-26,331,0.1557
2020-12-01,336,0.1445
2020-12-06,341,0.1701
2020-12-11,346,0.1649
2020-12-16,351,0.1536
2020-12-31,366,0.1712
2021-01-15,15,0.1749
2021-01-30,30,0.1694
2021-02-09,40,0.1645
2021-02-19,50,0.1735
2021-03-01,60,0.0746
2021-03-06,65,0.1249
2021-03-11,70,0.1546
2021-03-16,75,0.1555
2021-03-26,85,0.1548
2021-03-31,90,0.1486
2021-04-25,115,0.1351
2021-04-25,115,0.1351
2021-05-10,130,0.1243
2021-05-15,135,0.1404
2021-05-20,140,0.1279
2021-05-25,145,0.1207
2021-05-25,145,0.1207
2021-05-30,150,0.1218
2021-06-04,155,0.1284
2021-06-09,160,0.1325
2021-06-14,165,0.1368
2021-06-19,170,0.1154
2021-06-24,175,0.089
2021-06-29,180,0.1168
2021-07-04,185,0.1074
2021-07-09,190,0.1231
2021-07-14,195,0.1231
2021-07-19,200,0.1257
2021-07-24,205,0.1374
2021-07-29,210,0.1306
