date,doy,ndvi_mean
2019-01-01,1,0.1532
2019-01-06,6,0.1576
2019-01-16,16,0.157
2019-01-26,26,0.1492
2019-02-10,41,0.1572
2019-02-15,46,0.1555
2019-02-25,56,0.1443
2019-03-02,61,0.1485
2019-03-07,66,0.1429
2019-03-12,71,0.1363
2019-03-17,76,0.1457
2019-04-06,96,0.137
2019-04-11,101,0.126
2019-04-16,106,0.1337
2019-04-26,116,0.1428
2019-05-01,121,0.1534
2019-05-06,126,0.1491
2019-05-11,131,0.1289
2019-05-16,136,0.155
2019-05-31,151,0.1329
2019-06-05,156,0.1349
2019-06-10,161,0.1188
2019-06-25,176,0.1311
2019-06-30,181,0.1219
2019-07-05,186,0.1205
2019-07-10,191,0.1225
2019-07-15,196,0.1142
2019-07-20,201,0.1128
2019-07-25,206,0.1218
2019-07-30,211,0.1059
2019-08-04,216,0.11
2019-08-09,221,0.1118
2019-08-14,226,0.1075
2019-08-19,231,0.1052
2019-08-24,236,0.1106
2019-08-29,241,0.0831
2019-09-03,246,0.1142
2019-09-08,251,0.0857
2019-09-13,256,0.0407
2019-09-28,271,0.1456
2019-10-18,291,0.127
2019-10-23,296,0.1113
2019-11-02,306,0.1326
2019-11-07,311,0.1529
2019-11-17,321,0.1401
2019-11-27,331,0.1413
2019-12-02,336,0.076
2019-12-12,346,0.1623
2019-12-22,356,0.1567
2019-12-27,361,0.1601
2020-01-01,1,0.1775
2020-01-06,6,0.1596
2020-01-16,16,0.0537
2020-01-31,31,0.1597
2020-02-05,36,0.0989
2020-02-10,41,0.172
2020-02-15,46,0.1604
2020-02-20,51,0.1681
2020-02-25,56,0.1629
2020-03-01,61,0.1613
2020-03-11,71,0.1005
2020-03-21,81,0.119
2020-03-26,86,0.1465
2020-03-31,91,0.1324
2020-04-05,96,0.1418
2020-04-10,101,0.1325
2020-04-30,121,0.1436
2020-05-05,126,0.1396
2020-05-10,131,0.1387
2020-05-20,141,0.1396
2020-05-25,146,0.1363
2020-05-30,151,0.146
2020-06-04,156,0.1234
2020-06-09,161,0.1247
2020-06-14,166,0.1146
2020-06-19,171,0.131
2020-06-24,176,0.1261
2020-06-29,181,0.1189
2020-07-04,186,0.1199
2020-07-09,191,0.1242
2020-07-14,196,0.1131
2020-07-19,201,0.0853
2020-07-24,206,0.1251
2020-07-29,211,0.127
2020-08-03,216,0.1151
2020-08-08,221,0.1217
2020-08-13,226,0.1112
2020-08-18,231,0.1172
2020-08-23,236,0.1161
2020-08-28,241,0.1293
2020-09-07,251,0.135
2020-09-12,256,0.1257
2020-09-17,261,0.1545
2020-09-27,271,0.1851
2020-10-02,276,0.1682
2020-10-17,291,0.1701
2020-10-22,296,0.1521
2020-11-01,306,0.1504
2020-11-06,311,0.0653
2020-11-06,311,0.0658
2020-11-11,316,0.1495
2020-11-21,326,0.0965
2020-11-26,331,0.1606
2020-12-01,336,0.1504
2020-12-06,341,0.1795
2020-12-11,346,0.1838
2020-12-16,351,0.1647
2020-12-31,366,0.1806
2021-01-15,15,0.1755
2021-01-30,30,0.1642
2021-02-09,40,0.1615
2021-02-19,50,0.1681
2021-03-01,60,0.1466
2021-03-06,65,0.137
2021-03-11,70,0.1468
2021-03-16,75,0.1468
2021-03-26,85,0.1449
2021-03-31,90,0.138
2021-04-25,115,0.1349
2021-05-10,130,0.1149
2021-05-15,135,0.1315
2021-05-20,140,0.1193
2021-05-25,145,0.1095
2021-05-25,145,0.1142
2021-05-30,150,0.1154
2021-06-04,155,0.1185
2021-06-09,160,0.1245
2021-06-14,165,0.1287
2021-06-19,170,0.1102
2021-06-24,175,0.1142
2021-06-29,180,0.1117
2021-07-04,185,0.1097
2021-07-09,190,0.1156
2021-07-14,195,0.1158
2021-07-19,200,0.1209
2021-07-24,205,0.1292
2021-07-29,210,0.1262
2021-08-03,215,0.1168
2021-08-08,220,0.1129
2021-08-13,225,0.119
2021-08-18,230,0.1034
2021-08-23,235,0.1278
2021-08-28,240,0.1138
2021-09-02,245,0.1049
2021-09-07,250,0.1163
2021-09-12,255,0.1119
2021-09-17,260,0.1186
2021-09-22,265,0.0934
2021-09-27,270,0.1077
2021-10-07,280,0.123
2021-10-12,285,0.1304
2021-10-17,290,0.1248
2021-10-22,295,0.0984
2021-11-01,305,0.1166
2021-11-11,315,0.1437
2021-12-01,335,0.1399
2021-12-21,355,0.1504
2021-12-31,365,0.1444
2022-01-05,5,0.1494
2022-01-15,15,0.1682
2022-01-20,20,0.1641
2022-01-30,30,0.153
2022-02-04,35,0.1552
2022-02-09,40,0.1495
2022-03-01,60,0.1458
2022-03-11,70,0.1402
2022-03-31,90,0.1365
2022-04-10,100,0.1239
2022-05-15,135,0.1387
2022-05-20,140,0.1364
2022-06-04,155,0.1381
2022-06-14,165,0.1297
2022-06-19,170,0.1269
2022-06-19,170,0.1286
2022-06-24,175,0.1283
2022-06-24,175,0.1337
2022-06-29,180,0.08
2022-07-04,185,0.1283
2022-07-09,190,0.1332
2022-07-14,195,0.1241
2022-07-19,200,0.1392
2022-07-24,205,0.1396
2022-07-29,210,0.1285
2022-08-03,215,0.1183
2022-08-08,220,0.1289
2022-08-13,225,0.126
2022-08-18,230,0.1304
2022-08-23,235,0.116
2022-08-28,240,0.1319
2022-09-02,245,0.1037
2022-09-12,255,0.1118
2022-10-02,275,0.141
2022-10-07,280,0.1336
2022-10-17,290,0.1075
2022-10-22,295,0.1521
2022-10-27,300,0.1614
2022-11-01,305,0.1502
2022-11-06,310,0.1423
2022-11-16,320,0.1511
2022-11-21,325,0.1518
2022-12-01,335,0.1483
2022-12-11,345,0.1421
2022-12-16,350,0.1502
2022-12-21,355,0.1476
2022-12-26,360,0.1556
2022-12-31,365,0.1564
2023-01-05,5,0.151
2023-01-10,10,0.1419
2023-01-15,15,0.1549
2023-01-20,20,0.1426
2023-02-04,35,0.151
2023-02-14,45,0.1472
2023-02-19,50,0.1447
2023-02-24,55,0.1349
2023-03-01,60,0.1448
2023-03-11,70,0.131
2023-03-16,75,0.1407
2023-03-26,85,0.1502
2023-03-31,90,0.1479
2023-04-10,100,0.1417
2023-04-15,105,0.1329
2023-04-25,115,0.1309
2023-05-20,140,0.1092
2023-06-14,165,0.0611
2023-06-19,170,0.1337
2023-06-24,175,0.1282
2023-06-29,180,0.1284
2023-07-04,185,0.127
2023-07-14,195,0.1476
2023-07-19,200,0.1331
2023-07-24,205,0.1373
2023-07-29,210,0.1201
2023-08-03,215,0.1188
2023-08-08,220,0.1274
2023-08-13,225,0.129
2023-08-18,230,0.1259
2023-08-23,235,0.1236
2023-09-02,245,0.1017
2023-09-07,250,0.1186
2023-09-12,255,0.1293
2023-09-17,260,0.1249
2023-09-22,265,0.1298
2023-09-27,270,0.1206
2023-10-02,275,0.1119
2023-10-07,280,0.1239
2023-10-12,285,0.1349
2023-10-17,290,0.1382
2023-10-22,295,0.1245
2023-10-27,300,0.1385
2023-11-11,315,0.1376
2023-11-16,320,0.1346
2023-11-21,325,0.1431
2023-11-21,325,0.1419
2023-11-26,330,0.1423
2023-12-11,345,0.1457
2023-12-16,350,0.1455
2023-12-21,355,0.1076
2023-12-26,360,0.1537
2023-12-31,365,0.1496
2024-01-05,5,0.1312
2024-01-20,20,0.1495
2024-01-25,25,0.1602
2024-01-30,30,0.1673
2024-02-04,35,0.1612
2024-02-14,45,0.1613
2024-02-19,50,0.1538
2024-03-05,65,0.1216
2024-03-15,75,0.1454
2024-03-20,80,0.1445
2024-03-30,90,0.1501
2024-04-04,95,0.1444
2024-05-04,125,0.1315
2024-05-19,140,0.1268
2024-06-08,160,0.1252
2024-06-18,170,0.0917
2024-06-23,175,0.1189
2024-06-28,180,0.1218
2024-07-03,185,0.124
2024-07-08,190,0.083
2024-07-13,195,0.1201
2024-07-18,200,0.1277
2024-07-23,205,0.1177
2024-07-28,210,0.1284
2024-08-07,220,0.1261
2024-08-12,225,0.1173
2024-08-22,235,0.1333
2024-08-27,240,0.1275
2024-09-06,250,0.1161
2024-09-11,255,0.1076
2024-09-16,260,0.129
2024-09-26,270,0.1158
2024-10-01,275,0.1127
2024-10-11,285,0.1181
2024-11-05,310,0.1621
2024-11-10,315,0.1549
2024-11-15,320,0.1794
2024-11-20,325,0.1874
2024-11-30,335,0.2029
2024-12-05,340,0.2056
2024-12-25,360,0.2233
