date,doy,ndvi_mean
2019-01-01,1,0.0691
2019-01-01,1,0.0592
2019-01-06,6,0.1461
2019-01-06,6,0.1455
2019-01-16,16,0.1387
2019-01-16,16,0.1408
2019-01-21,21,0.0971
2019-01-26,26,0.1477
2019-02-10,41,0.1478
2019-02-10,41,0.1468
2019-02-15,46,0.1474
2019-02-15,46,0.1477
2019-02-20,51,0.1194
2019-02-25,56,0.1235
2019-02-25,56,0.1242
2019-02-25,56,0.1372
2019-02-25,56,0.1369
2019-03-02,61,0.1409
2019-03-02,61,0.1395
2019-03-07,66,0.1352
2019-03-07,66,0.1344
2019-03-12,71,0.1303
2019-03-12,71,0.1304
2019-03-17,76,0.1375
2019-03-17,76,0.1372
2019-04-06,96,0.1235
2019-04-06,96,0.1235
2019-04-11,101,0.1134
2019-04-11,101,0.1126
2019-04-16,106,0.1278
2019-04-16,106,0.1273
2019-04-26,116,0.1357
2019-04-26,116,0.1351
2019-05-01,121,0.1405
2019-05-01,121,0.1405
2019-05-06,126,0.1404
2019-05-06,126,0.1408
2019-05-11,131,0.1196
2019-05-11,131,0.1198
2019-05-16,136,0.145
2019-05-16,136,0.1446
2019-05-31,151,0.1234
2019-05-31,151,0.1227
2019-06-05,156,0.1268
2019-06-05,156,0.1263
2019-06-10,161,0.1028
2019-06-15,166,0.1155
2019-06-25,176,0.1223
2019-06-25,176,0.1217
2019-06-30,181,0.1125
2019-06-30,181,0.112
2019-07-05,186,0.1114
2019-07-05,186,0.1109
2019-07-10,191,0.1099
2019-07-10,191,0.1117
2019-07-15,196,0.1078
2019-07-15,196,0.1078
2019-07-20,201,0.1037
2019-07-20,201,0.1027
2019-07-25,206,0.116
2019-07-25,206,0.1155
2019-07-30,211,0.0967
2019-07-30,211,0.0964
2019-08-04,216,0.1029
2019-08-04,216,0.1034
2019-08-09,221,0.1042
2019-08-09,221,0.101
2019-08-14,226,0.1004
2019-08-14,226,0.1012
2019-08-19,231,0.0985
2019-08-19,231,0.0976
2019-08-24,236,0.109
2019-08-24,236,0.1083
2019-08-29,241,0.0155
2019-09-03,246,0.1078
2019-09-03,246,0.1084
2019-09-08,251,0.0932
2019-09-13,256,0.0823
2019-09-13,256,0.0781
2019-09-18,261,0.0285
2019-09-28,271,0.1331
2019-09-28,271,0.1298
2019-10-18,291,0.13
2019-10-18,291,0.1297
2019-10-23,296,0.1149
2019-10-23,296,0.1146
2019-11-02,306,0.1472
2019-11-02,306,0.1451
2019-11-07,311,0.1674
2019-11-07,311,0.1673
2019-11-17,321,0.1517
2019-11-17,321,0.1528
2019-11-27,331,0.1502
2019-11-27,331,0.1479
2019-12-02,336,0.0136
2019-12-02,336,0.0067
2019-12-07,341,0.1533
2019-12-12,346,0.1641
2019-12-12,346,0.1624
2019-12-22,356,0.1524
2019-12-22,356,0.1523
2019-12-27,361,0.1629
2019-12-27,361,0.1587
2020-01-01,1,0.1793
2020-01-01,1,0.1765
2020-01-06,6,0.1581
2020-01-06,6,0.1563
2020-01-16,16,0.169
2020-01-16,16,0.1662
2020-01-31,31,0.1496
2020-01-31,31,0.1478
2020-02-05,36,0.106
2020-02-05,36,0.1115
2020-02-10,41,0.1615
2020-02-10,41,0.1598
2020-02-15,46,0.1467
2020-02-15,46,0.1453
2020-02-20,51,0.1546
2020-02-20,51,0.1544
2020-02-25,56,0.1521
2020-02-25,56,0.1508
2020-03-01,61,0.1494
2020-03-01,61,0.1502
2020-03-11,71,0.0353
2020-03-21,81,0.0208
2020-03-26,86,0.1405
2020-03-26,86,0.1396
2020-03-31,91,0.1288
2020-03-31,91,0.1281
2020-04-05,96,0.1354
2020-04-05,96,0.134
2020-04-05,96,0.1339
2020-04-05,96,0.1361
2020-04-10,101,0.1315
2020-04-10,101,0.1312
2020-04-30,121,0.1289
2020-04-30,121,0.1281
2020-05-05,126,0.1237
2020-05-05,126,0.1236
2020-05-10,131,0.1274
2020-05-10,131,0.1271
2020-05-20,141,0.1282
2020-05-20,141,0.1279
2020-05-25,146,0.1217
2020-05-30,151,0.1333
2020-05-30,151,0.1328
2020-06-04,156,0.1109
2020-06-04,156,0.1104
2020-06-09,161,0.1172
2020-06-09,161,0.1169
2020-06-14,166,0.1093
2020-06-14,166,0.1123
2020-06-19,171,0.1251
2020-06-19,171,0.1249
2020-06-24,176,0.1179
2020-06-24,176,0.1174
2020-06-29,181,0.1116
2020-06-29,181,0.1114
2020-07-04,186,0.1113
2020-07-04,186,0.112
2020-07-09,191,0.1161
2020-07-09,191,0.1157
2020-07-14,196,0.1025
2020-07-14,196,0.1025
2020-07-19,201,0.1006
2020-07-19,201,0.098
2020-07-24,206,0.1129
2020-07-24,206,0.1125
2020-07-29,211,0.1174
2020-07-29,211,0.1177
2020-08-03,216,0.1046
2020-08-03,216,0.1034
2020-08-08,221,0.1155
2020-08-08,221,0.1144
2020-08-13,226,0.1033
2020-08-13,226,0.1029
2020-08-18,231,0.1126
2020-08-18,231,0.1131
2020-08-23,236,0.1091
2020-08-23,236,0.1092
2020-08-28,241,0.1226
2020-08-28,241,0.1221
2020-09-07,251,0.1255
2020-09-07,251,0.1249
2020-09-12,256,0.1077
2020-09-12,256,0.1076
2020-09-17,261,0.1348
2020-09-17,261,0.1347
2020-09-27,271,0.1583
2020-09-27,271,0.1585
2020-10-02,276,0.1552
2020-10-02,276,0.1552
2020-10-17,291,0.1639
2020-10-17,291,0.1636
2020-10-22,296,0.1467
2020-10-22,296,0.1461
2020-10-27,301,0.181
2020-11-01,306,0.1427
2020-11-01,306,0.1423
2020-11-06,311,0.13
2020-11-06,311,0.1289
2020-11-06,311,0.086
2020-11-06,311,0.0821
2020-11-11,316,0.1409
2020-11-11,316,0.1406
2020-11-21,326,0.097
2020-11-26,331,0.1408
2020-11-26,331,0.1418
2020-12-01,336,0.1307
2020-12-01,336,0.13
2020-12-06,341,0.1613
2020-12-06,341,0.1591
2020-12-11,346,0.1602
2020-12-11,346,0.1552
2020-12-16,351,0.1378
2020-12-16,351,0.1358
2020-12-31,366,0.1557
2020-12-31,366,0.1603
2021-01-15,15,0.1562
2021-01-15,15,0.1548
2021-01-30,30,0.1468
2021-01-30,30,0.1481
2021-02-09,40,0.153
2021-02-09,40,0.1505
2021-02-19,50,0.1617
2021-02-19,50,0.1601
2021-03-01,60,0.1214
2021-03-01,60,0.1242
2021-03-06,65,0.1429
2021-03-06,65,0.1408
2021-03-11,70,0.1392
2021-03-11,70,0.1364
2021-03-16,75,0.1409
2021-03-16,75,0.1406
2021-03-26,85,0.1408
2021-03-26,85,0.1417
2021-03-31,90,0.1337
2021-03-31,90,0.1331
2021-04-25,115,0.1292
2021-04-25,115,0.1269
2021-04-25,115,0.1307
2021-04-25,115,0.1303
2021-05-10,130,0.1086
2021-05-10,130,0.1082
2021-05-15,135,0.1267
2021-05-15,135,0.1269
2021-05-20,140,0.1144
2021-05-20,140,0.1136
2021-05-25,145,0.1118
2021-05-25,145,0.1112
2021-05-25,145,0.1118
2021-05-25,145,0.1114
2021-05-30,150,0.1094
2021-06-04,155,0.115
2021-06-04,155,0.115
2021-06-09,160,0.1192
2021-06-09,160,0.1187
2021-06-14,165,0.1261
2021-06-14,165,0.1258
2021-06-19,170,0.1105
2021-06-19,170,0.1067
2021-06-24,175,0.0977
2021-06-24,175,0.0994
2021-06-29,180,0.105
2021-06-29,180,0.1057
2021-07-04,185,0.1184
2021-07-04,185,0.118
2021-07-09,190,0.1033
2021-07-09,190,0.106
2021-07-14,195,0.1115
2021-07-14,195,0.111
2021-07-19,200,0.1147
2021-07-19,200,0.1143
2021-07-24,205,0.1236
2021-07-24,205,0.1234
2021-07-29,210,0.1217
2021-07-29,210,0.1213
2021-08-03,215,0.1113
2021-08-03,215,0.1108
2021-08-08,220,0.1061
2021-08-08,220,0.1057
2021-08-13,225,0.1167
2021-08-13,225,0.1171
2021-08-18,230,0.0969
2021-08-18,230,0.0966
2021-08-23,235,0.1265
2021-08-23,235,0.1236
2021-08-28,240,0.1069
2021-09-02,245,0.101
2021-09-02,245,0.1007
2021-09-07,250,0.1124
2021-09-07,250,0.1096
2021-09-12,255,0.1092
2021-09-12,255,0.1068
2021-09-17,260,0.1068
2021-09-17,260,0.1104
2021-09-22,265,0.0777
2021-09-27,270,0.1005
2021-09-27,270,0.1
2021-10-07,280,0.1081
2021-10-07,280,0.1088
2021-10-12,285,0.1224
2021-10-12,285,0.1226
2021-10-17,290,0.1129
2021-10-17,290,0.1134
2021-10-22,295,0.0492
2021-10-27,300,0.1004
2021-11-01,305,0.1058
2021-11-01,305,0.1058
2021-11-11,315,0.1343
2021-11-11,315,0.1334
2021-11-16,320,0.1187
2021-12-01,335,0.1289
2021-12-01,335,0.1281
2021-12-16,350,0.13
2021-12-21,355,0.1381
2021-12-21,355,0.1364
2021-12-31,365,0.1303
2021-12-31,365,0.1285
2022-01-05,5,0.1358
2022-01-05,5,0.1332
2022-01-15,15,0.1455
2022-01-15,15,0.1466
2022-01-20,20,0.1499
2022-01-20,20,0.1482
2022-01-30,30,0.1388
2022-01-30,30,0.1381
2022-02-04,35,0.1424
2022-02-04,35,0.1388
2022-02-09,40,0.1383
2022-02-09,40,0.1379
2022-03-01,60,0.1373
2022-03-01,60,0.136
2022-03-06,65,0.1201
2022-03-11,70,0.1263
2022-03-11,70,0.1261
2022-03-31,90,0.0973
2022-03-31,90,0.0972
2022-04-10,100,0.1091
2022-04-10,100,0.1161
2022-05-05,125,0.0993
2022-05-15,135,0.1304
2022-05-15,135,0.1308
2022-05-20,140,0.1234
2022-05-20,140,0.1209
2022-06-04,155,0.1323
2022-06-04,155,0.1315
2022-06-14,165,0.1224
2022-06-14,165,0.1221
2022-06-19,170,0.1215
2022-06-19,170,0.1223
2022-06-19,170,0.1216
2022-06-19,170,0.1224
2022-06-24,175,0.126
2022-06-24,175,0.125
2022-06-24,175,0.1262
