date,doy,ndvi_mean
2019-01-01,1,0.1068
2019-01-01,1,0.0839
2019-01-06,6,0.1555
2019-01-06,6,0.1551
2019-01-16,16,0.1453
2019-01-16,16,0.1481
2019-01-21,21,0.1055
2019-01-26,26,0.1585
2019-02-10,41,0.1555
2019-02-10,41,0.1546
2019-02-15,46,0.1554
2019-02-15,46,0.1548
2019-02-20,51,0.1237
2019-02-25,56,0.1408
2019-02-25,56,0.1414
2019-02-25,56,0.1443
2019-02-25,56,0.1445
2019-03-02,61,0.1477
2019-03-02,61,0.146
2019-03-07,66,0.1419
2019-03-07,66,0.1408
2019-03-12,71,0.136
2019-03-12,71,0.1368
2019-03-17,76,0.1445
2019-03-17,76,0.1443
2019-04-06,96,0.1305
2019-04-06,96,0.1305
2019-04-11,101,0.1291
2019-04-11,101,0.1311
2019-04-16,106,0.133
2019-04-16,106,0.1322
2019-04-26,116,0.1381
2019-04-26,116,0.1377
2019-05-01,121,0.1431
2019-05-01,121,0.1436
2019-05-06,126,0.1432
2019-05-06,126,0.1436
2019-05-11,131,0.1245
2019-05-11,131,0.1241
2019-05-16,136,0.1485
2019-05-16,136,0.1483
2019-05-31,151,0.1278
2019-05-31,151,0.1273
2019-06-05,156,0.1302
2019-06-05,156,0.1305
2019-06-10,161,0.1055
2019-06-15,166,0.1187
2019-06-25,176,0.128
2019-06-25,176,0.1277
2019-06-30,181,0.1207
2019-06-30,181,0.1201
2019-07-05,186,0.1194
2019-07-05,186,0.1189
2019-07-10,191,0.1189
2019-07-10,191,0.1167
2019-07-15,196,0.1143
2019-07-15,196,0.1142
2019-07-20,201,0.111
2019-07-20,201,0.1106
2019-07-25,206,0.1221
2019-07-25,206,0.1214
2019-07-30,211,0.1029
2019-07-30,211,0.1023
2019-08-04,216,0.108
2019-08-04,216,0.1072
2019-08-09,221,0.1058
2019-08-09,221,0.1093
2019-08-14,226,0.1063
2019-08-14,226,0.1078
2019-08-19,231,0.1029
2019-08-19,231,0.1018
2019-08-24,236,0.1125
2019-08-24,236,0.1134
2019-08-29,241,0.0105
2019-09-03,246,0.1143
2019-09-03,246,0.1145
2019-09-08,251,0.0984
2019-09-13,256,0.0959
2019-09-13,256,0.092
2019-09-18,261,0.0426
2019-09-28,271,0.1473
2019-09-28,271,0.1433
2019-10-18,291,0.1457
2019-10-18,291,0.1461
2019-10-23,296,0.1239
2019-10-23,296,0.1235
2019-11-02,306,0.158
2019-11-02,306,0.1555
2019-11-07,311,0.1783
2019-11-07,311,0.1781
2019-11-17,321,0.161
2019-11-17,321,0.1623
2019-11-27,331,0.1592
2019-11-27,331,0.1578
2019-12-02,336,0.0143
2019-12-02,336,0.0068
2019-12-07,341,0.1622
2019-12-12,346,0.1773
2019-12-12,346,0.1754
2019-12-22,356,0.1702
2019-12-22,356,0.17
2019-12-27,361,0.1779
2019-12-27,361,0.1834
2020-01-01,1,0.1977
2020-01-01,1,0.1946
2020-01-06,6,0.1808
2020-01-06,6,0.1782
2020-01-16,16,0.1989
2020-01-16,16,0.1948
2020-01-31,31,0.1785
2020-01-31,31,0.1804
2020-02-05,36,0.0828
2020-02-05,36,0.0902
2020-02-10,41,0.186
2020-02-10,41,0.1838
2020-02-15,46,0.1681
2020-02-15,46,0.1662
2020-02-20,51,0.1677
2020-02-20,51,0.1671
2020-02-25,56,0.1608
2020-02-25,56,0.1592
2020-03-01,61,0.1563
2020-03-01,61,0.1569
2020-03-11,71,0.0222
2020-03-21,81,0.0109
2020-03-26,86,0.1405
2020-03-26,86,0.1397
2020-03-31,91,0.1308
2020-03-31,91,0.1305
2020-04-05,96,0.1353
2020-04-05,96,0.1363
2020-04-05,96,0.134
2020-04-05,96,0.1341
2020-04-10,101,0.1336
2020-04-10,101,0.1333
2020-04-30,121,0.1293
2020-04-30,121,0.1287
2020-05-05,126,0.1255
2020-05-05,126,0.1256
2020-05-10,131,0.1307
2020-05-10,131,0.1303
2020-05-20,141,0.134
2020-05-20,141,0.1339
2020-05-25,146,0.1226
2020-05-30,151,0.1419
2020-05-30,151,0.1416
2020-06-04,156,0.1188
2020-06-04,156,0.118
2020-06-09,161,0.1274
2020-06-09,161,0.1279
2020-06-14,166,0.1155
2020-06-14,166,0.1179
2020-06-19,171,0.1307
2020-06-19,171,0.1303
2020-06-24,176,0.1239
2020-06-24,176,0.123
2020-06-29,181,0.1176
2020-06-29,181,0.1174
2020-07-04,186,0.1171
2020-07-04,186,0.1162
2020-07-09,191,0.1221
2020-07-09,191,0.1219
2020-07-14,196,0.108
2020-07-14,196,0.1078
2020-07-19,201,0.0955
2020-07-19,201,0.0876
2020-07-24,206,0.1163
2020-07-24,206,0.1157
2020-07-29,211,0.1207
2020-07-29,211,0.1213
2020-08-03,216,0.0933
2020-08-03,216,0.0905
2020-08-08,221,0.1172
2020-08-08,221,0.1161
2020-08-13,226,0.1061
2020-08-13,226,0.1056
2020-08-18,231,0.1185
2020-08-18,231,0.119
2020-08-23,236,0.1154
2020-08-23,236,0.1155
2020-08-28,241,0.1287
2020-08-28,241,0.1284
2020-09-07,251,0.1349
2020-09-07,251,0.1343
2020-09-12,256,0.1118
2020-09-12,256,0.1113
2020-09-17,261,0.1441
2020-09-17,261,0.1438
2020-09-27,271,0.1851
2020-09-27,271,0.1853
2020-10-02,276,0.186
2020-10-02,276,0.1853
2020-10-17,291,0.1744
2020-10-17,291,0.1741
2020-10-22,296,0.1573
2020-10-22,296,0.1565
2020-10-27,301,0.1821
2020-11-01,306,0.1533
2020-11-01,306,0.1536
2020-11-06,311,0.1408
2020-11-06,311,0.1398
2020-11-11,316,0.1547
2020-11-11,316,0.1541
2020-11-21,326,0.1408
2020-11-26,331,0.1662
2020-11-26,331,0.1643
2020-12-01,336,0.1493
2020-12-01,336,0.1501
2020-12-06,341,0.18
