date,doy,ndvi_mean
2019-01-01,1,-0.007
2019-01-01,1,-0.0074
2019-01-06,6,0.1551
2019-01-06,6,0.154
2019-01-16,16,0.1498
2019-01-16,16,0.1511
2019-01-21,21,0.1297
2019-01-26,26,0.1537
2019-02-10,41,0.152
2019-02-10,41,0.1513
2019-02-15,46,0.1519
2019-02-15,46,0.1517
2019-02-20,51,0.1419
2019-02-25,56,0.1436
2019-02-25,56,0.1432
2019-03-02,61,0.1457
2019-03-02,61,0.1468
2019-03-07,66,0.1397
2019-03-07,66,0.1411
2019-03-12,71,0.1365
2019-03-12,71,0.1367
2019-03-17,76,0.1438
2019-03-17,76,0.1436
2019-04-06,96,0.1212
2019-04-06,96,0.1211
2019-04-11,101,0.1321
2019-04-11,101,0.1317
2019-04-16,106,0.1388
2019-04-16,106,0.1394
2019-04-26,116,0.1463
2019-04-26,116,0.1456
2019-05-01,121,0.1514
2019-05-01,121,0.1514
2019-05-06,126,0.1499
2019-05-06,126,0.1494
2019-05-11,131,0.1273
2019-05-11,131,0.1276
2019-05-16,136,0.1526
2019-05-16,136,0.1522
2019-05-31,151,0.1305
2019-05-31,151,0.1299
2019-06-05,156,0.1317
2019-06-05,156,0.131
2019-06-10,161,0.0972
2019-06-15,166,0.1153
2019-06-25,176,0.1252
2019-06-25,176,0.1248
2019-06-30,181,0.1172
2019-06-30,181,0.1165
2019-07-05,186,0.1165
2019-07-05,186,0.1165
2019-07-10,191,0.1148
2019-07-10,191,0.1166
2019-07-15,196,0.1116
2019-07-15,196,0.1116
2019-07-20,201,0.1094
2019-07-20,201,0.1085
2019-07-25,206,0.1205
2019-07-25,206,0.1198
2019-07-30,211,0.1009
2019-07-30,211,0.1005
2019-08-04,216,0.1068
2019-08-04,216,0.1073
2019-08-09,221,0.1044
2019-08-09,221,0.1076
2019-08-14,226,0.1058
2019-08-14,226,0.1067
2019-08-19,231,0.1029
2019-08-19,231,0.1019
2019-08-24,236,0.1117
2019-08-24,236,0.1124
2019-08-29,241,-0.0127
2019-09-03,246,0.1185
2019-09-03,246,0.1193
2019-09-08,251,0.1004
2019-09-13,256,0.0628
2019-09-13,256,0.058
2019-09-18,261,0.034
2019-09-28,271,0.1675
2019-09-28,271,0.1639
2019-10-18,291,0.1597
2019-10-18,291,0.1601
2019-10-23,296,0.126
2019-10-23,296,0.1254
2019-11-02,306,0.1599
2019-11-02,306,0.156
2019-11-07,311,0.1792
2019-11-07,311,0.1791
2019-11-17,321,0.1635
2019-11-17,321,0.1657
2019-11-27,331,0.1606
2019-11-27,331,0.1608
2019-12-02,336,0.0136
2019-12-02,336,0.0065
