date,doy,ndvi_mean
2019-01-09,9,0.1873
2019-01-14,14,0.192
2019-01-19,19,0.1839
2019-01-29,29,0.1803
2019-02-08,39,0.1681
2019-02-13,44,0.1705
2019-02-23,54,0.1623
2019-02-28,59,0.1688
2019-03-05,64,0.1619
2019-03-15,74,0.1533
2019-03-25,84,0.163
2019-03-30,89,0.1664
2019-04-14,104,0.1989
2019-04-24,114,0.1976
2019-04-29,119,0.2009
2019-05-09,129,0.2013
2019-06-03,154,0.2051
2019-06-13,164,0.1862
2019-06-18,169,0.2066
2019-06-23,174,0.206
2019-06-28,179,0.1936
2019-07-03,184,0.1946
2019-07-08,189,0.1754
2019-07-13,194,0.1907
2019-07-23,204,0.1937
2019-07-28,209,0.1811
2019-08-02,214,0.169
2019-08-07,219,0.168
2019-08-12,224,0.1872
2019-08-17,229,0.1824
2019-08-22,234,0.1757
2019-08-22,234,0.1659
2019-08-27,239,0.1779
2019-09-01,244,0.1866
2019-09-06,249,0.1776
2019-09-16,259,0.2059
2019-09-21,264,0.1954
2019-09-26,269,0.2054
2019-10-01,274,0.221
2019-10-06,279,0.2237
2019-10-11,284,0.2169
2019-10-16,289,0.2041
2019-10-21,294,0.2093
2019-10-31,304,0.2335
2019-11-05,309,0.2188
2019-11-20,324,0.2285
2019-11-30,334,0.2172
2019-12-05,339,0.2535
2019-12-15,349,0.229
2019-12-20,354,0.2326
2019-12-25,359,0.2158
2019-12-30,364,0.2163
2020-01-04,4,0.2258
2020-01-14,14,0.2203
2020-01-19,19,0.2305
2020-01-24,24,0.2096
2020-01-29,29,0.2174
2020-02-18,49,0.2158
2020-02-23,54,0.2135
2020-02-28,59,0.2051
2020-03-04,64,0.1908
2020-03-09,69,0.2135
2020-03-14,74,0.2093
2020-04-08,99,0.2109
2020-04-23,114,0.2156
2020-04-28,119,0.2197
2020-05-03,124,0.2315
2020-05-08,129,0.2168
2020-05-18,139,0.2304
2020-05-23,144,0.2585
2020-05-28,149,0.2487
2020-06-02,154,0.2405
2020-06-07,159,0.1383
2020-06-12,164,0.2185
2020-06-22,174,0.2351
2020-07-02,184,0.2136
2020-07-07,189,0.2241
2020-07-12,194,0.2082
2020-07-17,199,0.1931
