date,doy,ndvi_mean
2019-01-06,6,0.1619
2019-01-09,9,0.0638
2019-01-14,14,0.1632
2019-01-19,19,0.1658
2019-01-29,29,0.1849
2019-02-08,39,0.1526
2019-02-10,41,0.1539
2019-02-13,44,0.1565
2019-02-15,46,0.1555
2019-02-23,54,0.1807
2019-02-25,56,0.1673
2019-02-28,59,0.159
2019-03-02,61,0.1386
2019-03-05,64,0.1565
2019-03-07,66,0.1583
2019-03-10,69,0.166
2019-03-12,71,0.1299
2019-03-15,74,0.1344
2019-03-17,76,0.14
2019-03-25,84,0.134
2019-03-30,89,0.1319
2019-04-06,96,0.1666
2019-04-11,101,0.1703
2019-04-14,104,0.172
2019-04-16,106,0.1792
2019-04-24,114,0.2264
2019-04-26,116,0.2308
2019-04-29,119,0.2315
2019-05-01,121,0.2773
2019-05-06,126,0.2463
2019-05-09,129,0.2612
2019-05-11,131,0.2411
2019-05-16,136,0.2413
2019-05-31,151,0.197
2019-06-03,154,0.2057
2019-06-05,156,0.198
2019-06-13,164,0.2039
2019-06-15,166,0.1862
2019-06-18,169,0.197
2019-06-23,174,0.1852
2019-06-25,176,0.1847
2019-06-28,179,0.1765
2019-06-30,181,0.1652
2019-07-03,184,0.1786
2019-07-05,186,0.1724
2019-07-08,189,0.164
2019-07-10,191,0.1586
2019-07-13,194,0.1695
2019-07-15,196,0.1595
2019-07-20,201,0.1475
2019-07-23,204,0.1669
2019-07-25,206,0.1582
2019-07-28,209,0.1629
2019-07-30,211,0.144
2019-08-02,214,0.1562
2019-08-04,216,0.1573
2019-08-07,219,0.159
2019-08-09,221,0.1669
2019-08-12,224,0.1779
2019-08-14,226,0.1585
2019-08-17,229,0.1773
2019-08-19,231,0.1577
2019-08-22,234,0.1859
2019-08-24,236,0.1759
2019-08-27,239,0.1839
2019-09-03,246,0.1798
2019-09-06,249,0.1813
2019-09-11,254,0.226
2019-09-13,256,0.142
2019-09-16,259,0.2114
2019-09-18,261,0.218
2019-09-23,266,0.0615
2019-09-26,269,0.3018
2019-09-28,271,0.3026
2019-10-01,274,0.3176
2019-10-06,279,0.3104
2019-10-11,284,0.3031
2019-10-16,289,0.284
2019-10-18,291,0.2656
2019-10-21,294,0.2636
2019-10-31,304,0.2835
2019-11-02,306,0.2835
2019-11-05,309,0.2885
2019-11-07,311,0.326
2019-11-17,321,0.3052
2019-11-20,324,0.3051
2019-11-27,331,0.3033
2019-11-30,334,0.3212
