date,doy,ndvi_mean
2019-01-01,1,0.0965
2019-01-06,6,0.1074
2019-01-16,16,0.0983
2019-01-21,21,0.095
2019-02-10,41,0.1211
2019-02-15,46,0.1225
2019-02-20,51,0.0838
2019-02-25,56,0.0619
2019-03-02,61,0.1153
2019-03-07,66,0.1129
2019-03-12,71,0.1083
2019-03-17,76,0.1144
2019-04-06,96,0.1167
2019-04-11,101,0.1037
2019-04-16,106,0.1064
2019-04-26,116,0.1063
2019-05-01,121,0.1035
2019-05-06,126,0.1229
2019-05-11,131,0.103
2019-05-16,136,0.1234
2019-05-16,136,0.1205
2019-05-31,151,0.1131
2019-06-05,156,0.1164
2019-06-15,166,0.1074
2019-06-25,176,0.108
2019-06-30,181,0.1017
2019-07-05,186,0.1013
2019-07-10,191,0.1035
2019-07-15,196,0.0943
2019-07-20,201,0.0983
2019-07-25,206,0.1107
2019-07-30,211,0.0909
2019-08-04,216,0.0937
2019-08-09,221,0.0862
2019-08-14,226,0.0924
2019-08-19,231,0.0961
2019-08-24,236,0.0972
2019-09-03,246,0.121
2019-09-13,256,0.0697
2019-09-18,261,0.0941
2019-09-28,271,0.1035
2019-10-18,291,0.1111
2019-10-23,296,0.1002
2019-11-02,306,0.1227
2019-11-07,311,0.1592
2019-11-17,321,0.1433
2019-11-27,331,0.1389
2019-12-02,336,0.1485
2019-12-07,341,0.1473
2019-12-12,346,0.154
2019-12-22,356,0.1485
2019-12-27,361,0.1499
2020-01-01,1,0.1573
2020-01-06,6,0.1502
2020-01-16,16,0.1585
2020-01-31,31,0.1359
2020-02-05,36,0.1339
2020-02-10,41,0.145
2020-02-15,46,0.1338
2020-02-20,51,0.1395
2020-02-25,56,0.1354
2020-03-01,61,0.1325
2020-03-26,86,0.1559
2020-03-31,91,0.1283
2020-04-05,96,0.0823
2020-04-10,101,0.1156
2020-04-30,121,0.1139
2020-05-05,126,0.1041
2020-05-10,131,0.106
2020-05-20,141,0.1124
2020-05-30,151,0.0987
2020-06-04,156,0.0999
2020-06-09,161,0.1046
2020-06-14,166,0.1006
2020-06-19,171,0.1106
2020-06-24,176,0.1054
2020-06-29,181,0.0985
2020-07-04,186,0.1016
2020-07-09,191,0.1082
2020-07-14,196,0.0933
2020-07-19,201,0.0577
2020-07-24,206,0.1044
2020-07-29,211,0.1104
2020-08-03,216,0.1024
2020-08-08,221,0.1042
2020-08-13,226,0.0925
2020-08-18,231,0.0989
2020-08-23,236,0.0976
2020-08-28,241,0.1098
2020-09-07,251,0.143
2020-09-12,256,0.1007
2020-09-17,261,0.1252
