date,doy,ndvi_mean
2019-01-01,1,0.0696
2019-01-01,1,0.0714
2019-01-06,6,0.0824
2019-01-06,6,0.0839
2019-01-16,16,0.0887
2019-01-21,21,0.0694
2019-01-21,21,0.0706
2019-01-26,26,0.0919
2019-02-10,41,0.0937
2019-02-10,41,0.0975
2019-02-15,46,0.0983
2019-02-15,46,0.0978
2019-02-20,51,0.0637
2019-02-25,56,0.0601
2019-03-02,61,0.0989
2019-03-02,61,0.0961
2019-03-07,66,0.0932
2019-03-07,66,0.0942
2019-03-12,71,0.0892
2019-03-12,71,0.089
2019-03-17,76,0.0994
2019-03-17,76,0.0986
2019-04-06,96,0.1149
2019-04-06,96,0.1155
2019-04-11,101,0.0885
2019-04-11,101,0.0906
2019-04-16,106,0.0978
2019-04-16,106,0.1001
2019-04-26,116,0.0999
2019-04-26,116,0.1006
2019-05-01,121,0.1012
2019-05-01,121,0.1007
2019-05-06,126,0.1125
2019-05-06,126,0.1121
2019-05-11,131,0.1005
2019-05-11,131,0.1007
2019-05-16,136,0.1246
2019-05-16,136,0.1235
2019-05-16,136,0.1237
2019-05-16,136,0.1268
2019-05-26,146,0.1368
2019-05-31,151,0.1448
2019-05-31,151,0.1488
2019-06-05,156,0.153
2019-06-05,156,0.1564
2019-06-10,161,0.1375
2019-06-15,166,0.1342
2019-06-15,166,0.1325
2019-06-25,176,0.1107
2019-06-25,176,0.115
2019-06-30,181,0.0984
2019-06-30,181,0.1008
2019-07-05,186,0.0944
2019-07-05,186,0.0982
2019-07-10,191,0.1005
2019-07-10,191,0.1002
2019-07-15,196,0.0911
2019-07-15,196,0.0901
2019-07-20,201,0.0921
2019-07-20,201,0.0931
2019-07-25,206,0.1054
2019-07-25,206,0.107
2019-07-30,211,0.0888
2019-07-30,211,0.0905
2019-08-04,216,0.0837
2019-08-04,216,0.0856
2019-08-09,221,0.0861
2019-08-09,221,0.0877
2019-08-14,226,0.098
2019-08-14,226,0.0976
2019-08-19,231,0.1002
2019-08-19,231,0.1023
2019-08-24,236,0.1008
2019-08-24,236,0.1039
2019-08-29,241,0.0255
2019-09-03,246,0.1143
2019-09-03,246,0.115
2019-09-08,251,0.0865
2019-09-13,256,0.0278
2019-09-13,256,0.0254
2019-09-18,261,0.1055
2019-09-18,261,0.108
2019-09-23,266,0.0203
2019-09-28,271,0.124
2019-09-28,271,0.1202
2019-10-18,291,0.1464
2019-10-18,291,0.1508
2019-10-23,296,0.1328
2019-10-23,296,0.137
2019-11-02,306,0.1763
2019-11-02,306,0.1844
2019-11-07,311,0.235
2019-11-07,311,0.2375
2019-11-17,321,0.2339
2019-11-17,321,0.2232
2019-11-27,331,0.2543
2019-11-27,331,0.2644
2019-12-02,336,0.2729
2019-12-02,336,0.2694
2019-12-07,341,0.2097
2019-12-12,346,0.2167
2019-12-12,346,0.2288
2019-12-22,356,0.199
2019-12-22,356,0.2054
2019-12-27,361,0.1956
2019-12-27,361,0.1972
2020-01-01,1,0.2017
2020-01-01,1,0.2004
2020-01-06,6,0.1776
2020-01-06,6,0.1825
2020-01-16,16,0.1639
2020-01-16,16,0.1599
2020-01-31,31,0.1336
