date,doy,ndvi_mean
2019-01-01,1,0.1348
2019-01-01,1,0.1405
2019-01-06,6,0.1537
2019-01-06,6,0.1481
2019-01-16,16,0.1214
2019-01-21,21,0.1387
2019-01-21,21,0.1305
2019-01-26,26,0.1549
2019-02-10,41,0.1452
2019-02-10,41,0.1472
2019-02-15,46,0.1431
2019-02-15,46,0.1441
2019-02-20,51,0.0976
2019-02-25,56,0.0694
2019-03-02,61,0.1425
2019-03-02,61,0.1349
2019-03-07,66,0.1321
2019-03-07,66,0.1362
2019-03-12,71,0.1247
2019-03-12,71,0.133
2019-03-17,76,0.1457
2019-03-17,76,0.1362
2019-04-06,96,0.1702
2019-04-06,96,0.1589
2019-04-11,101,0.1269
2019-04-11,101,0.1391
2019-04-16,106,0.1604
2019-04-16,106,0.1524
2019-04-26,116,0.1517
2019-04-26,116,0.1549
2019-05-01,121,0.1689
2019-05-01,121,0.1553
2019-05-06,126,0.1821
2019-05-06,126,0.1844
2019-05-11,131,0.1582
2019-05-11,131,0.166
2019-05-16,136,0.1849
2019-05-16,136,0.1703
2019-05-16,136,0.1693
2019-05-16,136,0.1877
2019-05-26,146,0.1683
2019-05-31,151,0.1652
2019-05-31,151,0.1739
2019-06-05,156,0.1629
2019-06-05,156,0.1681
2019-06-10,161,0.1522
2019-06-15,166,0.146
2019-06-15,166,0.1499
2019-06-25,176,0.1502
2019-06-25,176,0.15
2019-06-30,181,0.1547
2019-06-30,181,0.1517
2019-07-05,186,0.163
2019-07-05,186,0.1495
2019-07-10,191,0.1626
2019-07-10,191,0.1536
2019-07-15,196,0.1346
2019-07-15,196,0.1345
2019-07-20,201,0.1511
2019-07-20,201,0.1524
2019-07-25,206,0.1661
2019-07-25,206,0.1668
2019-07-30,211,0.1439
2019-07-30,211,0.1437
2019-08-04,216,0.1272
2019-08-04,216,0.138
2019-08-09,221,0.1305
2019-08-09,221,0.1288
2019-08-14,226,0.1636
2019-08-14,226,0.1439
2019-08-19,231,0.1613
2019-08-19,231,0.1556
2019-08-24,236,0.1651
2019-08-24,236,0.158
2019-08-29,241,0.0831
2019-09-03,246,0.1859
2019-09-03,246,0.1764
2019-09-08,251,0.1582
2019-09-13,256,0.0352
2019-09-13,256,0.1203
2019-09-18,261,0.1761
2019-09-18,261,0.1589
2019-09-23,266,0.0289
2019-09-28,271,0.179
2019-09-28,271,0.1835
2019-10-18,291,0.1872
2019-10-18,291,0.195
2019-10-23,296,0.1601
2019-10-23,296,0.1674
