date,doy,ndvi_mean
2019-01-14,14,0.3418
2019-01-19,19,0.724
2019-02-08,39,0.7321
2019-02-13,44,0.5367
2019-03-05,64,0.7344
2019-03-10,69,0.7306
2019-03-25,84,0.7407
2019-03-30,89,0.7313
2019-04-14,104,0.7081
2019-04-29,119,0.7331
2019-05-09,129,0.6366
2019-06-03,154,0.6159
2019-06-13,164,0.5381
2019-06-18,169,0.5339
2019-06-23,174,0.3907
2019-06-28,179,0.5195
2019-07-03,184,0.5082
2019-07-13,194,0.4698
2019-07-18,199,0.4691
2019-07-23,204,0.5192
2019-07-28,209,0.4988
2019-08-07,219,0.4151
2019-08-12,224,0.5046
2019-08-17,229,0.5268
2019-08-22,234,0.502
2019-08-27,239,0.5152
2019-09-06,249,0.5304
2019-09-16,259,0.5037
2019-09-21,264,0.4419
2019-10-01,274,0.6229
2019-10-06,279,0.6074
2019-10-11,284,0.4939
2019-10-16,289,0.6572
2019-10-26,299,0.5555
2019-10-31,304,0.6492
2019-11-05,309,0.6624
2019-11-20,324,0.7129
2019-11-30,334,0.6207
2019-12-05,339,0.7105
2019-12-25,359,0.7528
2020-01-09,9,0.7225
2020-01-14,14,0.7553
2020-01-19,19,0.745
2020-01-24,24,0.7268
2020-01-29,29,0.7386
2020-02-08,39,0.4613
2020-02-23,54,0.6508
2020-02-28,59,0.6335
2020-03-14,74,0.6501
2020-04-08,99,0.7148
2020-04-18,109,0.5841
2020-04-23,114,0.6248
2020-05-03,124,0.721
2020-05-03,124,0.6956
2020-05-08,129,0.6705
2020-05-23,144,0.5154
2020-05-28,149,0.4898
2020-06-02,154,0.4832
2020-06-07,159,0.4122
2020-06-12,164,0.4643
2020-06-17,169,0.4674
2020-06-22,174,0.4713
2020-07-02,184,0.4498
2020-07-07,189,0.4392
2020-07-12,194,0.3989
2020-07-22,204,0.4695
2020-07-27,209,0.4702
2020-08-01,214,0.4375
2020-08-06,219,0.5287
2020-08-11,224,0.4783
2020-08-16,229,0.4099
2020-08-21,234,0.3786
2020-08-26,239,0.4995
2020-09-15,259,0.3208
2020-09-25,269,0.2403
2020-09-30,274,0.4479
2020-10-10,284,0.5148
2020-10-15,289,0.4453
2020-10-20,294,0.5169
2020-10-25,299,0.5258
2020-10-30,304,0.5292
2020-11-09,314,0.5045
2020-11-14,319,0.5217
2020-12-04,339,0.6441
2020-12-14,349,0.6712
2020-12-24,359,0.7139
2020-12-29,364,0.7209
2021-01-03,3,0.7101
2021-01-08,8,0.4803
2021-02-02,33,0.7155
2021-02-12,43,0.7696
2021-02-17,48,0.761
2021-02-27,58,0.707
2021-03-14,73,0.6607
2021-03-29,88,0.7814
2021-04-03,93,0.7811
2021-04-13,103,0.8022
2021-04-28,118,0.7426
2021-05-08,128,0.6605
2021-05-13,133,0.6055
2021-05-18,138,0.521
2021-05-23,143,0.4426
2021-06-07,158,0.521
2021-06-12,163,0.5101
2021-06-22,173,0.4054
2021-07-02,183,0.2593
2021-07-07,188,0.4135
2021-07-12,193,0.4109
2021-07-22,203,0.4531
2021-08-01,213,0.3827
2021-08-06,218,0.4517
2021-08-16,228,0.4293
2021-08-21,233,0.4558
2021-08-26,238,0.2934
2021-08-31,243,0.3326
2021-09-05,248,0.4707
2021-09-25,268,0.2648
2021-09-30,273,0.4369
2021-10-15,288,0.7012
2021-10-20,293,0.5403
2021-11-14,318,0.7708
2021-11-19,323,0.8779
2021-11-24,328,0.8028
2021-12-14,348,0.8734
2021-12-19,353,0.8489
2021-12-24,358,0.7162
2022-01-03,3,0.8726
2022-01-23,23,0.8757
2022-01-28,28,0.8641
