date,doy,ndvi_mean
2019-01-14,14,0.1451
2019-01-19,19,0.5756
2019-02-08,39,0.5851
2019-02-13,44,0.5953
2019-03-05,64,0.6331
2019-03-10,69,0.6469
2019-03-25,84,0.7226
2019-03-30,89,0.7045
2019-04-14,104,0.7644
2019-04-29,119,0.7123
2019-05-09,129,0.6078
2019-06-03,154,0.4438
2019-06-13,164,0.4081
2019-06-18,169,0.405
2019-06-23,174,0.3317
2019-06-28,179,0.3984
2019-07-03,184,0.3933
2019-07-13,194,0.3734
2019-07-18,199,0.3801
2019-07-23,204,0.4091
2019-07-28,209,0.3905
2019-08-07,219,0.3362
2019-08-12,224,0.3933
2019-08-17,229,0.4137
2019-08-22,234,0.3961
2019-08-27,239,0.4068
2019-09-06,249,0.4761
2019-09-16,259,0.3911
2019-09-21,264,0.3523
2019-10-01,274,0.4847
2019-10-06,279,0.4658
2019-10-11,284,0.423
2019-10-16,289,0.5258
2019-10-26,299,0.4168
2019-10-31,304,0.5305
2019-11-05,309,0.5411
2019-11-20,324,0.6082
2019-11-30,334,0.53
2019-12-05,339,0.589
2019-12-25,359,0.6335
2020-01-09,9,0.6458
2020-01-14,14,0.6706
2020-01-19,19,0.6462
2020-01-24,24,0.6138
2020-01-29,29,0.6052
2020-02-08,39,0.4112
2020-02-23,54,0.4984
2020-02-28,59,0.4868
2020-03-14,74,0.4866
2020-04-08,99,0.5424
2020-04-18,109,0.4991
2020-04-23,114,0.536
2020-05-03,124,0.6134
2020-05-03,124,0.5915
2020-05-08,129,0.5706
2020-05-23,144,0.474
2020-05-28,149,0.4504
2020-06-02,154,0.4378
2020-06-07,159,0.3704
2020-06-12,164,0.4115
2020-06-17,169,0.4124
2020-06-22,174,0.4137
2020-07-02,184,0.3943
2020-07-07,189,0.3784
2020-07-12,194,0.3485
2020-07-22,204,0.3986
2020-07-27,209,0.3953
2020-08-01,214,0.3681
2020-08-06,219,0.4083
2020-08-11,224,0.3918
2020-08-16,229,0.2968
2020-08-21,234,0.3133
2020-08-26,239,0.4037
2020-09-15,259,0.1518
2020-09-25,269,0.1495
2020-09-30,274,0.3623
2020-10-10,284,0.3971
2020-10-15,289,0.42
2020-10-20,294,0.4027
2020-10-25,299,0.3982
2020-10-30,304,0.3917
2020-11-09,314,0.3787
2020-11-14,319,0.3932
2020-12-04,339,0.4905
2020-12-14,349,0.5165
2020-12-24,359,0.5707
2020-12-29,364,0.5782
2021-01-03,3,0.5804
2021-01-08,8,0.4165
2021-02-02,33,0.6668
2021-02-12,43,0.7277
2021-02-17,48,0.7378
2021-02-27,58,0.6985
2021-03-14,73,0.6865
2021-03-29,88,0.7355
2021-04-03,93,0.7167
2021-04-13,103,0.6677
2021-04-28,118,0.6268
2021-05-08,128,0.6217
2021-05-13,133,0.5657
2021-05-18,138,0.476
2021-05-23,143,0.3389
2021-06-07,158,0.4541
2021-06-12,163,0.449
2021-06-22,173,0.3618
2021-07-02,183,0.2063
2021-07-07,188,0.3944
2021-07-12,193,0.3651
2021-07-22,203,0.3992
2021-08-01,213,0.3383
2021-08-06,218,0.4011
2021-08-16,228,0.3783
2021-08-21,233,0.3952
2021-08-26,238,0.1963
2021-08-31,243,0.2847
2021-09-05,248,0.3886
2021-09-25,268,0.2334
2021-09-30,273,0.285
2021-10-15,288,0.4764
2021-10-20,293,0.4454
2021-11-14,318,0.5702
2021-11-19,323,0.6768
2021-11-24,328,0.6078
2021-12-14,348,0.7103
2021-12-19,353,0.6991
2021-12-24,358,0.6822
2022-01-03,3,0.7435
2022-01-23,23,0.7858
2022-01-28,28,0.784
2022-03-14,73,0.7072
2022-03-24,83,0.7441
2022-04-08,98,0.7148
2022-04-18,108,0.5453
2022-04-23,113,0.5067
2022-05-13,133,0.4957
2022-05-18,138,0.4853
2022-05-23,143,0.4523
2022-06-02,153,0.5226
2022-06-07,158,0.4461
2022-06-12,163,0.4088
2022-06-17,168,0.4013
2022-06-22,173,0.3596
2022-06-27,178,0.4002
2022-07-02,183,0.3654
2022-07-07,188,0.4441
2022-07-12,193,0.4124
2022-07-17,198,0.3935
2022-07-22,203,0.3912
2022-07-27,208,0.3492
2022-08-01,213,0.369
2022-08-06,218,0.3065
2022-08-11,223,0.3635
2022-08-21,233,0.3792
2022-08-26,238,0.3818
2022-09-05,248,0.3775
2022-09-10,253,0.3777
2022-09-15,258,0.3907
2022-09-20,263,0.4151
2022-10-05,278,0.436
2022-10-10,283,0.5224
2022-10-15,288,0.4407
2022-10-20,293,0.4311
2022-10-25,298,0.4316
2022-10-30,303,0.438
2022-11-14,318,0.4759
2022-11-24,328,0.5067
2022-12-04,338,0.5415
2022-12-14,348,0.5544
2022-12-19,353,0.1368
2023-01-03,3,0.5335
2023-01-08,8,0.5249
2023-01-28,28,0.5431
2023-02-22,53,0.4609
2023-02-22,53,0.4628
2023-02-27,58,0.4653
2023-03-24,83,0.4029
2023-03-29,88,0.3915
2023-04-08,98,0.4045
2023-04-18,108,0.3971
2023-04-28,118,0.375
2023-05-28,148,0.3862
2023-06-12,163,0.4097
2023-06-17,168,0.4348
2023-06-22,173,0.4067
2023-06-27,178,0.3946
2023-07-02,183,0.3139
2023-07-07,188,0.3686
2023-07-12,193,0.3414
2023-07-17,198,0.35
2023-07-22,203,0.3451
2023-07-27,208,0.3412
2023-08-01,213,0.3331
2023-08-11,223,0.3282
2023-08-16,228,0.3646
2023-08-21,233,0.3319
2023-08-26,238,0.3546
2023-09-10,253,0.3715
2023-09-15,258,0.3703
2023-09-30,273,0.3584
2023-10-05,278,0.3679
2023-10-10,283,0.3695
2023-10-15,288,0.3513
2023-11-04,308,0.3873
2023-11-14,318,0.4174
2023-11-19,323,0.4226
2023-11-24,328,0.4564
2023-12-24,358,0.4962
2024-02-07,38,0.5193
2024-02-22,53,0.5866
2024-03-03,63,0.6329
2024-03-13,73,0.6708
2024-03-18,78,0.6289
2024-03-23,83,0.5931
2024-03-28,88,0.5157
2024-04-07,98,0.5074
2024-04-27,118,0.4449
2024-05-07,128,0.4152
2024-05-12,133,0.4177
2024-05-22,143,0.3941
2024-05-27,148,0.3912
2024-06-06,158,0.3832
2024-06-11,163,0.342
2024-06-21,173,0.2994
2024-06-26,178,0.3551
2024-07-01,183,0.3297
2024-07-06,188,0.2702
2024-07-11,193,0.3356
2024-07-16,198,0.3298
2024-07-21,203,0.342
2024-07-26,208,0.3465
2024-07-31,213,0.3415
2024-08-05,218,0.3436
2024-08-10,223,0.3417
2024-08-20,233,0.3926
2024-08-25,238,0.3803
2024-08-30,243,0.3612
2024-09-04,248,0.344
2024-09-14,258,0.3781
2024-09-24,268,0.3778
2024-09-29,273,0.3913
2024-10-04,278,0.3974
2024-10-09,283,0.3652
2024-10-14,288,0.3857
2024-11-03,308,0.3894
2024-11-08,313,0.4436
2024-11-13,318,0.4783
2024-11-23,328,0.4526
2024-11-28,333,0.4399
2024-12-13,348,0.4685
2024-12-13,348,0.4707
2024-12-18,353,0.5081
