date,doy,ndvi_mean
2019-01-14,14,0.2648
2019-01-19,19,0.7035
2019-02-08,39,0.7283
2019-02-13,44,0.7253
2019-03-05,64,0.77
2019-03-10,69,0.7779
2019-03-25,84,0.7933
2019-03-30,89,0.7786
2019-04-14,104,0.83
2019-04-29,119,0.6854
2019-05-09,129,0.5965
2019-06-03,154,0.5651
2019-06-13,164,0.51
2019-06-18,169,0.5091
2019-06-23,174,0.3765
2019-06-28,179,0.5061
2019-07-03,184,0.4984
2019-07-13,194,0.4466
2019-07-18,199,0.4464
2019-07-23,204,0.5032
2019-07-28,209,0.4729
2019-08-07,219,0.3874
2019-08-12,224,0.4667
2019-08-17,229,0.4942
2019-08-22,234,0.4722
2019-08-27,239,0.4944
2019-09-06,249,0.4368
2019-09-16,259,0.4585
2019-09-21,264,0.4387
2019-10-01,274,0.5574
2019-10-06,279,0.5457
2019-10-11,284,0.2448
2019-10-16,289,0.6091
2019-10-26,299,0.5209
2019-10-31,304,0.6363
2019-11-05,309,0.6555
2019-11-20,324,0.718
2019-11-30,334,0.64
2019-12-05,339,0.6998
2019-12-25,359,0.7366
2020-01-09,9,0.7223
2020-01-14,14,0.7573
2020-01-19,19,0.7361
2020-01-24,24,0.7141
2020-01-29,29,0.7186
2020-02-08,39,0.4902
2020-02-23,54,0.6005
2020-02-28,59,0.5799
2020-03-14,74,0.5679
2020-04-08,99,0.593
2020-04-18,109,0.5439
2020-04-23,114,0.5892
2020-05-03,124,0.5879
2020-05-03,124,0.5673
2020-05-08,129,0.5747
2020-05-23,144,0.5323
2020-05-28,149,0.5193
2020-06-02,154,0.5157
2020-06-07,159,0.434
2020-06-12,164,0.4853
2020-06-17,169,0.4835
2020-06-22,174,0.4812
2020-07-02,184,0.4486
2020-07-07,189,0.4279
2020-07-12,194,0.4031
2020-07-22,204,0.4491
2020-07-27,209,0.4332
2020-08-01,214,0.4021
2020-08-06,219,0.4509
2020-08-11,224,0.4411
2020-08-16,229,0.3915
2020-08-21,234,0.3477
2020-08-26,239,0.4436
2020-09-15,259,0.4473
2020-09-25,269,0.1829
